event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
GUI2733,2024-01-02,1,Riots,Violent demonstration,Rioters (Guinea),,,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0,GIN
GUI2736,2024-01-02,1,Violence against civilians,Attack,Police Forces of Guinea (2021-),,Civilians (Guinea),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,1,GIN
GUI2738,2024-01-07,1,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Guinea),Labor Group (Guinea),Guinea,Kankan,Siguiri,Doko,11.7812,-8.9683,1,National,0,GIN
GUI2739,2024-01-07,1,Riots,Mob violence,Rioters (Guinea),Vigilante Group (Guinea),Police Forces of Guinea (2021-),Military Forces of Guinea (2021-) Gendarmerie; Pastoralists (Guinea),Guinea,Nzerekore,Lola,Foumbadou,8.2,-8.4167,1,National,0,GIN
GUI2740,2024-01-07,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2021-),Military Forces of Guinea (2021-) Gendarmerie,Guinea,Conakry,Conakry,Conakry,9.642,-13.5615,1,National,0,GIN
GUI2741,2024-01-09,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2021-),Military Forces of Guinea (2021-) Gendarmerie,Guinea,Conakry,Conakry,Conakry,9.642,-13.5615,1,National,0,GIN
GUI2743,2024-01-08,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2021-),Military Forces of Guinea (2021-) Gendarmerie; Military Forces of Guinea (2021-),Guinea,Conakry,Conakry,Conakry,9.642,-13.5615,1,National,1,GIN
GUI2749,2024-01-04,1,Protests,Peaceful protest,Protesters (Guinea),Women (Guinea),,,Guinea,Kindia,Kindia,Kagbelen,9.9169,-12.4396,1,National,0,GIN
GUI2750,2024-01-04,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Guinea),,Civilians (Guinea),Women (Guinea),Guinea,Kindia,Kindia,Kagbelen,9.9169,-12.4396,1,National,1,GIN
GUI2751,2024-01-12,1,Riots,Mob violence,Rioters (Guinea),Vigilante Group (Guinea),Civilians (Guinea),,Guinea,Kindia,Kindia,Kagbelen,9.9169,-12.4396,1,National,0,GIN
