event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
GUY26,2019-07-02,1,Protests,Peaceful protest,Protesters (Guyana),,,,Guyana,Pomeroon-Supenaam,,Suddie,7.1012,-58.5012,1,National,0,GUY
GUY49,2019-11-25,1,Protests,Peaceful protest,Protesters (Guyana),,,,Guyana,Barima-Waini,,Port Kaituma,7.7327,-59.8806,1,National,0,GUY
GUY50,2019-12-03,1,Protests,Peaceful protest,Protesters (Guyana),"GAWU: Guyana Agricultural and General Workers Union; NAACIE: National Association of Agricultural, Commercial and Industrial Employees; Labor Group (Guyana); Farmers (Guyana)",,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY51,2019-12-06,1,Protests,Peaceful protest,Protesters (Guyana),,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY52,2019-12-16,1,Violence against civilians,Attack,Police Forces of Guyana (2015-2020),,Civilians (Guyana),,Guyana,Essequibo Islands-West Demerara,,La Grange,6.7691,-58.1991,1,National,0,GUY
GUY25,2019-07-02,2,Violence against civilians,Attack,Police Forces of Guyana (2015-2020),,Civilians (Guyana),Prisoners (Guyana),Guyana,Pomeroon-Supenaam,,Suddie,7.1012,-58.5012,1,National,1,GUY
GUY15,2019-03-11,1,Protests,Peaceful protest,Protesters (Guyana),Farmers (Guyana),,,Guyana,East Berbice-Corentyne,,New Amsterdam,6.2479,-57.5171,3,National,0,GUY
GUY48,2019-11-07,1,Protests,Peaceful protest,Protesters (Guyana),Labor Group (Guyana); GAWU: Guyana Agricultural and General Workers Union,,,Guyana,East Berbice-Corentyne,,Port Mourant,6.246,-57.3336,2,National,0,GUY
GUY47,2019-11-03,1,Protests,Peaceful protest,Protesters (Guyana),Women (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY46,2019-11-01,1,Protests,Peaceful protest,Protesters (Guyana),Labor Group (Guyana); GAWU: Guyana Agricultural and General Workers Union,,,Guyana,Mahaica-Berbice,,Blairmont,6.257,-57.5398,1,National,0,GUY
GUY45,2019-10-13,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Essequibo Islands-West Demerara,,Cornelia Ida,6.8642,-58.2687,1,National,0,GUY
GUY44,2019-09-23,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY43,2019-09-19,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY42,2019-09-18,1,Protests,Peaceful protest,Protesters (Guyana),Labor Group (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0,GUY
GUY41,2019-09-11,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic; Women (Guyana),,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,1,National,0,GUY
GUY40,2019-08-22,1,Protests,Peaceful protest,Protesters (Guyana),MAPM: Mass Action Peoples Movement,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY39,2019-08-15,1,Protests,Peaceful protest,Protesters (Guyana),MAPM: Mass Action Peoples Movement; ADHR: Association for Democracy and Human Rights,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY38,2019-08-13,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY37,2019-07-31,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY30,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,East Berbice-Corentyne,,Corriverton,5.8928,-57.1478,1,National,0,GUY
GUY31,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY36,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Barima-Waini,,Port Kaituma,7.7327,-59.8806,1,National,0,GUY
GUY32,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Essequibo Islands-West Demerara,,La Grange,6.7691,-58.1991,1,National,0,GUY
GUY28,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,1,National,0,GUY
GUY33,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Upper Takutu-Upper Essequibo,,Lethem,3.3703,-59.8125,1,National,0,GUY
GUY34,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0,GUY
GUY29,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Cuyuni-Mazaruni,,Bartica,6.403,-58.6325,1,National,0,GUY
GUY35,2019-07-26,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,East Berbice-Corentyne,,New Amsterdam,6.2479,-57.5171,1,National,0,GUY
GUY27,2019-07-19,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY20,2019-06-21,1,Protests,Peaceful protest,Protesters (Guyana),APNU-AFC: A Partnership for National Unity-Alliance for Change,,,Guyana,Mahaica-Berbice,,Fort Wellington,6.3927,-57.6062,1,National,0,GUY
GUY21,2019-06-21,1,Protests,Peaceful protest,Protesters (Guyana),APNU-AFC: A Partnership for National Unity-Alliance for Change,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY22,2019-06-21,1,Protests,Peaceful protest,Protesters (Guyana),APNU-AFC: A Partnership for National Unity-Alliance for Change,,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0,GUY
GUY23,2019-06-21,1,Protests,Peaceful protest,Protesters (Guyana),APNU-AFC: A Partnership for National Unity-Alliance for Change,,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0,GUY
GUY24,2019-06-21,1,Protests,Peaceful protest,Protesters (Guyana),APNU-AFC: A Partnership for National Unity-Alliance for Change,,,Guyana,East Berbice-Corentyne,,New Amsterdam,6.2479,-57.5171,1,National,0,GUY
GUY19,2019-05-29,1,Protests,Peaceful protest,Protesters (Guyana),,,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,1,National,0,GUY
GUY18,2019-05-29,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,1,National,0,GUY
GUY17,2019-04-16,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,East Berbice-Corentyne,,Port Mourant,6.246,-57.3336,1,National,0,GUY
GUY16,2019-03-22,1,Protests,Peaceful protest,Protesters (Guyana),PPP/C: People's Progressive Party/Civic,,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0,GUY
GUY14,2019-03-05,1,Protests,Peaceful protest,Protesters (Guyana),,,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0,GUY
