event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
HTI6063,2024-02-06,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Centre,Cerca La Source,Thomassique,19.08,-71.8419,1,National,0,HTI
HTI6064,2024-02-06,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Centre,Hinche,Thomonde,19.017,-71.9598,1,National,0,HTI
HTI5986,2024-01-16,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Nippes,Anse-a-Veau,Petit Trou de Nippes,18.526,-73.5081,1,National,0,HTI
HTI5989,2024-01-16,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Sud,Aquin,Cavaillon,18.2981,-73.6546,1,National,0,HTI
HTI6023,2024-01-24,1,Riots,Violent demonstration,Rioters (Haiti),,,,Haiti,Nippes,Miragoane,Petite Riviere de Nippes,18.4762,-73.24,1,National,0,HTI
HTI6033,2024-01-24,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Artibonite,Gonaives,Ennery,19.4846,-72.485,1,National,0,HTI
HTI6038,2024-01-28,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Saint Raphael,Saint-Raphael,19.4393,-72.1994,1,National,0,HTI
HTI6042,2024-01-29,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Saint Raphael,Saint-Raphael,19.4393,-72.1994,1,National,0,HTI
HTI5754,2024-01-15,1,Riots,Violent demonstration,Rioters (Haiti),,,,Haiti,Ouest,Leogane,Petit-Goave,18.4312,-72.8652,1,National,0,HTI
HTI5987,2024-01-16,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Ouest,Leogane,Petit-Goave,18.4312,-72.8652,1,National,0,HTI
HTI5997,2024-01-29,1,Riots,Violent demonstration,Rioters (Haiti),,,,Haiti,Ouest,Leogane,Petit-Goave,18.4312,-72.8652,1,National,0,HTI
HTI6161,2024-02-01,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Artibonite,Gonaives,Ennery,19.4846,-72.485,1,National,0,HTI
HTI6163,2024-02-06,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Artibonite,Marmelade,Saint-Michel-de-l'Atalaye,19.3708,-72.3347,1,National,0,HTI
HTI6177,2024-02-01,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Saint Raphael,Dondon,19.5274,-72.2442,1,National,0,HTI
HTI6178,2024-02-01,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Saint Raphael,Saint-Raphael,19.4393,-72.1994,1,National,0,HTI
HTI6195,2024-02-01,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Ouest,Leogane,Vialet,18.4194,-72.9333,2,National,0,HTI
HTI6196,2024-02-04,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Ouest,Leogane,Vialet,18.4194,-72.9333,1,National,0,HTI
HTI6245,2024-02-07,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Nord-Ouest,Mole Saint Nicolas,Jean-Rabel,19.8557,-73.1924,1,National,0,HTI
HTI6246,2024-02-07,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Nord-Ouest,Saint Louis Du Nord,Saint-Louis du Nord,19.9334,-72.7209,1,National,0,HTI
HTI6257,2024-02-10,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Ouest,Leogane,Vialet,18.4194,-72.9333,1,National,0,HTI
HTI6306,2024-02-08,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Sud-Est,Jacmel,Marigot,18.2317,-72.3229,1,National,0,HTI
HTI6363,2024-02-26,1,Strategic developments,Other,Unidentified Armed Group (Haiti),,,,Haiti,Nord-Est,Trou Du Nord,Trou-du-Nord,19.6166,-72.0244,1,National,0,HTI
HTI5991,2024-01-16,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Sud-Est,Jacmel,Jacmel,18.2343,-72.5354,1,National,0,HTI
HTI6059,2024-01-25,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Sud-Est,Jacmel,Jacmel,18.2343,-72.5354,1,National,0,HTI
HTI6602,2024-03-27,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Cap Haitien,Limonade,19.6687,-72.1264,1,National,0,HTI
HTI6604,2024-03-27,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord-Est,Trou Du Nord,Trou-du-Nord,19.6166,-72.0244,1,National,0,HTI
HTI6650,2024-04-02,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Nord,Cap Haitien,Limonade,19.6687,-72.1264,1,National,0,HTI
HTI6655,2024-04-02,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Ouest,Leogane,Vialet,18.4194,-72.9333,1,National,0,HTI
HTI6807,2024-02-05,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Artibonite,Gonaives,Ennery,19.4846,-72.485,1,National,0,HTI
HTI7064,2024-02-08,2,Protests,Peaceful protest,Protesters (Haiti),Students (Haiti),,,Haiti,Sud-Est,Jacmel,Jacmel,18.2343,-72.5354,1,National,0,HTI
HTI6256,2024-02-08,1,Riots,Violent demonstration,Rioters (Haiti),,,,Haiti,Ouest,Leogane,Petit-Goave,18.4312,-72.8652,1,Other-National,0,HTI
HTI5985,2024-01-16,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI5990,2024-01-18,1,Protests,Peaceful protest,Protesters (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI6040,2024-01-29,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI6331,2024-03-01,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI6568,2024-03-21,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI6656,2024-04-03,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Grande-Anse,Corail,Carrefour Zaboca,18.4647,-73.9194,1,National,0,HTI
HTI7290,2024-06-12,1,Strategic developments,Other,Civilians (Haiti),,,,Haiti,Sud-Est,Jacmel,Jacmel,18.2343,-72.5354,1,National,0,HTI
