event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
IRL530,2022-01-20,1,Protests,Peaceful protest,Protesters (Ireland),Students (Ireland),,,Ireland,Waterford City and County,Waterford City,Waterford,52.2609,-7.1119,1,National,0,IRL
IRL545,2022-02-18,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Donegal,Inishowen,Buncrana,55.1344,-7.4628,1,National,0,IRL
IRL577,2022-04-07,1,Protests,Peaceful protest,Protesters (Ireland),IFA: Irish Farmers Association; Farmers (Ireland),,,Ireland,Monaghan,Monaghan,Monaghan,54.2475,-6.9693,1,New media,0,IRL
IRL588,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Carlow,Carlow,Carlow,52.8408,-6.9261,1,National,0,IRL
IRL595,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Westmeath,Mullingar-Kinnegad,Mullingar,53.5263,-7.3415,1,National,0,IRL
IRL596,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Wexford,Wexford,Wexford,52.3342,-6.4575,1,National,0,IRL
IRL597,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Wicklow,Bray,Bray,53.2014,-6.1114,1,National,0,IRL
IRL590,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Kilkenny,Kilkenny City,Kilkenny,52.6506,-7.2487,1,National,0,IRL
IRL592,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Louth,Drogheda,Drogheda,53.7149,-6.3524,1,National,0,IRL
IRL593,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Louth,Dundalk,Dundalk,54.0046,-6.4008,1,National,0,IRL
IRL594,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Tipperary,Clonmel,Clonmel,52.355,-7.7038,1,National,0,IRL
IRL591,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Laois,Portlaoise,Portlaoise,53.0368,-7.3013,1,National,0,IRL
IRL587,2022-04-15,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland),,,Ireland,Waterford City and County,Waterford City,Waterford,52.2609,-7.1119,1,National,0,IRL
IRL615,2022-05-10,1,Protests,Peaceful protest,Protesters (Ireland),IFA: Irish Farmers Association; Farmers (Ireland),,,Ireland,Wicklow,Baltinglass,Shillelagh,52.7538,-6.5371,1,New media,0,IRL
IRL623,2022-05-06,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Wexford,Wexford,Wexford,52.3342,-6.4575,1,National,0,IRL
IRL633,2022-05-23,1,Protests,Peaceful protest,Protesters (Ireland),Farmers (Ireland); IFA: Irish Farmers Association,,,Ireland,Cavan,Cavan-Belturbet,Cavan,53.9908,-7.3605,1,New media,0,IRL
IRL640,2022-06-11,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Wexford,Wexford,Wexford,52.3342,-6.4575,1,National,0,IRL
IRL667,2022-07-06,1,Protests,Peaceful protest,Protesters (Ireland),SIPTU: Services Industrial Professional and Technical Union; Labor Group (Ireland),,,Ireland,Waterford City and County,Waterford City,Waterford,52.2609,-7.1119,1,International,0,IRL
IRL664,2022-07-05,1,Protests,Peaceful protest,Protesters (Ireland),SIPTU: Services Industrial Professional and Technical Union; Labor Group (Ireland),,,Ireland,Clare,Ennis,Ennis,52.8436,-8.9863,3,Other,0,IRL
IRL666,2022-07-05,1,Protests,Peaceful protest,Protesters (Ireland),SIPTU: Services Industrial Professional and Technical Union; Labor Group (Ireland),,,Ireland,Kerry,Tralee,Tralee,52.2704,-9.7026,3,Other,0,IRL
