event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
IRN838,2018-04-16,1,Strategic developments,Disrupted weapons use,Police Forces of Iran (1989-),,,,Iran,Sistan and Baluchestan,Zahedan,Zahedan,29.4963,60.8629,3,National,0,IRN
IRN410,2018-01-27,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Hamadan,Malayer,Zangeneh ye Bala,34.1548,49.0112,1,International,0,IRN
IRN340,2018-01-05,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Mazandaran,Sari,Sari,36.5633,53.0601,1,National,0,IRN
IRN338,2018-01-05,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Kerman,Kerman,Kerman,30.2832,57.0788,1,National,0,IRN
IRN1161,2018-05-16,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Khuzestan,Abadan,Abadan,30.3392,48.3043,1,National,0,IRN
IRN1225,2018-05-23,2,Violence against civilians,Attack,Unidentified Armed Group (Iran),,Civilians (Iran),Police Forces of Iran (1989-),Iran,Sistan and Baluchestan,Zahedan,Zahedan,29.4963,60.8629,3,National,2,IRN
IRN1236,2018-05-26,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Khuzestan,Shush,Haft Tappeh,32.0837,48.41,1,National,0,IRN
IRN1244,2018-05-26,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Golestan,Gorgan,Gorgan,36.8427,54.4439,1,National,0,IRN
IRN1272,2018-05-29,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Yazd,Meybod,Meybod,32.2501,54.0166,1,National,0,IRN
IRN1281,2018-05-31,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,East Azerbaijan,Tabriz,Tabriz,38.08,46.2919,1,National-International,0,IRN
IRN1315,2018-06-09,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Khuzestan,Shush,Shush,32.1942,48.2436,2,National,0,IRN
IRN1373,2018-06-19,2,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Kerman,Sirjan,Pariz,29.8721,55.7496,1,National,0,IRN
IRN1379,2018-06-20,2,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Kerman,Sirjan,Pariz,29.8721,55.7496,1,National,0,IRN
IRN1387,2018-06-21,2,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Kerman,Sirjan,Pariz,29.8721,55.7496,1,National,0,IRN
IRN2211,2018-06-28,2,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Hamadan,Malayer,Malayer,34.3016,48.8217,1,National,0,IRN
IRN291,2018-01-01,1,Battles,Armed clash,Unidentified Armed Group (Iran),,Police Forces of Iran (1989-),,Iran,Isfahan,Najafabad,Najafabad,32.6344,51.3668,1,International,1,IRN
IRN312,2018-01-03,1,Battles,Armed clash,Military Forces of Iran (1989-),,Unidentified Armed Group (Iran),Kurdish Ethnic Group (Iran),Iran,West Azerbaijan,Piranshahr,Piranshahr,36.701,45.1413,1,International,3,IRN
IRN313,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Ardabil,Ardabil,Ardabil,38.2498,48.2933,1,International,0,IRN
IRN315,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Fars,Shiraz,Shiraz,29.6103,52.5311,1,National,0,IRN
IRN316,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Gilan,Rasht,Rasht,37.2761,49.5886,1,National,0,IRN
IRN317,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Hamadan,Hamadan,Hamadan,34.7992,48.5146,1,National,0,IRN
IRN319,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Isfahan,Isfahan,Isfahan,32.6525,51.6746,1,International,0,IRN
IRN322,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Kohgiluyeh and Boyer-Ahmad,Yasooj,Yasuj,30.6682,51.588,1,National,0,IRN
IRN323,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Mazandaran,Babol,Babol,36.5513,52.679,1,National,0,IRN
IRN324,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Mazandaran,Chalus,Chalus,36.655,51.4204,1,National,0,IRN
IRN325,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Razavi Khorasan,Mashhad,Mashhad,36.3156,59.568,1,International,0,IRN
IRN328,2018-01-04,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,South Khorasan,Birjand,Birjand,32.8663,59.2211,1,National,0,IRN
IRN352,2018-01-07,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Chaharmahal and Bakhtiari,Shahrekord,Shahr e Kord,32.3256,50.8644,1,National,0,IRN
IRN354,2018-01-07,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Gilan,Rasht,Rasht,37.2761,49.5886,1,National,0,IRN
IRN356,2018-01-07,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Qazvin,Qazvin,Qazvin,36.2688,50.0041,1,National,0,IRN
IRN357,2018-01-07,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Tehran,Islamshahr,Eslamshahr,35.5522,51.235,1,National,0,IRN
IRN358,2018-01-07,1,Protests,Peaceful protest,Protesters (Iran),,,,Iran,Yazd,Yazd,Yazd,31.8972,54.3675,1,National,0,IRN
IRN453,2018-02-04,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Kurdistan,Sannandaj,Sanandaj,35.315,46.9988,1,National,0,IRN
IRN457,2018-02-05,1,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),,,Iran,Semnan,Semnan,Semnan,35.5769,53.3921,1,National,0,IRN
IRN813,2018-04-12,1,Protests,Peaceful protest,Protesters (Iran),Students (Iran),,,Iran,Sistan and Baluchestan,Dalgan,Dalgan,27.4823,59.4466,2,Subnational,0,IRN
IRN828,2018-04-15,2,Protests,Peaceful protest,Protesters (Iran),Teachers (Iran),,,Iran,Qazvin,Qazvin,Qazvin,36.2688,50.0041,1,National,0,IRN
