event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
KGZ3,2018-06-04,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Bishkek,Oktyabr,Bishkek,42.8731,74.6003,1,National,0,KGZ
KGZ189,2018-12-15,2,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Civilians (Kyrgyzstan),Protestant Christian Group (Kyrgyzstan),Kyrgyzstan,Issyk-Kul,Issyk-Kul,Tamchy,42.5636,76.6593,1,International,0,KGZ
KGZ25,2018-11-01,2,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Civilians (Kyrgyzstan),Labor Group (Kyrgyzstan),Kyrgyzstan,Chui,Jayyl,Kara-Balta,42.8035,73.8546,1,National,0,KGZ
KGZ26,2018-12-18,2,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),,,Kyrgyzstan,Issyk-Kul,Issyk-Kul,Cholpon-Ata,42.6494,77.0756,1,National-International,0,KGZ
KGZ414,2018-08-10,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kyrgyzstan),,Civilians (Russia),Labor Group (Russia),Kyrgyzstan,Bishkek,Oktyabr,Bishkek,42.8731,74.6003,1,New media-International,0,KGZ
KGZ406,2018-02-01,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Toguz-Toro,Kazarman,41.4082,74.0259,1,New media,0,KGZ
KGZ412,2018-05-12,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Ala-Buka,Ala-Buka,41.4064,71.4841,1,New media,0,KGZ
KGZ408,2018-02-07,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Toguz-Toro,Kazarman,41.4082,74.0259,1,New media,0,KGZ
KGZ409,2018-02-27,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Batken,Kadamjay,Maidan,40.0603,72.0856,2,New media,0,KGZ
KGZ410,2018-03-10,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Toguz-Toro,Kazarman,41.4082,74.0259,1,New media,0,KGZ
KGZ407,2018-02-02,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Batken,Kadamjay,Maidan,40.0603,72.0856,1,New media,0,KGZ
KGZ416,2018-10-08,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Bishkek,Oktyabr,Bishkek,42.8731,74.6003,1,New media,0,KGZ
KGZ418,2018-10-24,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),SDPK: Social Democratic Party of Kyrgyzstan,,,Kyrgyzstan,Batken,Leylek,Katran,39.8396,70.0207,1,New media,0,KGZ
KGZ423,2018-12-07,1,Protests,Protest with intervention,Protesters (Kyrgyzstan),SDPK: Social Democratic Party of Kyrgyzstan,Private Security Forces (Kyrgyzstan),,Kyrgyzstan,Bishkek,Oktyabr,Bishkek,42.8731,74.6003,1,New media,0,KGZ
KGZ420,2018-12-04,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Chatkal,Buzuk,41.5101,71.1457,1,New media,0,KGZ
KGZ421,2018-12-06,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Batken,Batken,Batken,40.0639,70.8247,1,New media,0,KGZ
KGZ422,2018-12-04,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Osh,Ozgon,Kurshab,40.6675,73.1368,1,New media,0,KGZ
KGZ424,2018-12-25,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Batken,Batken,Boz-Adyr,39.9985,71.0732,1,New media,0,KGZ
KGZ425,2018-12-27,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Naryn,Naryn,Min-Bulak,41.4831,75.8531,1,New media,0,KGZ
KGZ411,2018-04-07,1,Violence against civilians,Attack,Military Forces of Uzbekistan (2016-) Border Service,,Civilians (Kyrgyzstan),,Kyrgyzstan,Jalal-Abad,Aksy,Kerben,41.4895,71.7536,2,New media,1,KGZ
