event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
KHM2467,2025-01-13,1,Protests,Peaceful protest,Protesters (Cambodia),Farmers (Cambodia); Women (Cambodia),,,Cambodia,Battambang,Moung Ruessei,Moung Ruessei,12.7745,103.4492,1,Regional,0,KHM
KHM2468,2025-01-21,1,Protests,Peaceful protest,Protesters (Cambodia),Farmers (Cambodia),,,Cambodia,Takeo,Bati,Bati,11.2729,104.8222,1,Regional,0,KHM
KHM2469,2025-01-18,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Kandal,Angk Snuol,Angk Snuol,11.5065,104.7159,1,Regional,0,KHM
KHM2470,2025-01-20,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Phnom Penh,Praek Pnov,Preaek Phnov,11.6537,104.8618,1,National-Regional,0,KHM
KHM2473,2025-02-16,1,Protests,Peaceful protest,Protesters (Cambodia),,,,Cambodia,Phnom Penh,Chbar Ampov,Kbal Kaoh,11.5019,104.9946,1,National,0,KHM
KHM2474,2025-03-02,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Banteay Meanchey,Ou Chrov,Ou Beichoan,13.7248,102.7457,1,Regional,0,KHM
KHM2471,2025-01-22,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Phnom Penh,Chraoy Chongvar,Phnom Penh - Chrouy Changvar,11.5883,104.9265,1,National,0,KHM
KHM2472,2025-02-21,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Phnom Penh,Tuol Kouk,Phnom Penh - Tuek Lak Ti Muoy,11.5694,104.8949,1,National,0,KHM
KHM2475,2025-03-06,1,Protests,Peaceful protest,Protesters (Cambodia),,,,Cambodia,Phnom Penh,Prampir Meakkakra,Phnom Penh - Ou Ruessei Ti Pir,11.5633,104.9136,1,Regional,0,KHM
KHM2476,2025-03-15,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia),,,Cambodia,Phnom Penh,Chamkar Mon,Phnom Penh - Tonle Basak,11.5501,104.9301,1,Regional,0,KHM
KHM2489,2025-03-08,1,Protests,Peaceful protest,Protesters (Cambodia),Labor Group (Cambodia); Women (Cambodia),,,Cambodia,Phnom Penh,Russey Keo,Phnom Penh - Tuol Sangke,11.591,104.9094,1,National,0,KHM
