event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
LBR1318,2017-10-30,1,Riots,Violent demonstration,Rioters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0,LBR
LBR1299,2017-05-26,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0,LBR
LBR1294,2017-05-04,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0,LBR
LBR1293,2017-04-30,2,Riots,Mob violence,Rioters (Liberia),,Civilians (Liberia),,Liberia,Sinoe,Greenville,Greenville,5.0111,-9.0388,1,National,2,LBR
LBR1324,2017-12-14,1,Protests,Peaceful protest,Protesters (Liberia),Women (Liberia),,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0,LBR
LBR1269,2017-01-07,2,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Montserrado,Greater Monrovia,Duala,6.3721,-10.7889,1,National,0,LBR
LBR1271,2017-01-13,1,Protests,Peaceful protest,Protesters (Liberia),Students (Liberia),,,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,National,0,LBR
LBR1273,2017-01-20,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0,LBR
LBR1274,2017-01-31,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,National,1,LBR
LBR1276,2017-02-01,1,Protests,Peaceful protest,Protesters (Liberia),PATEL: Patriotic Entrepreneurs of Liberia,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,2,National,0,LBR
LBR1277,2017-02-02,1,Protests,Peaceful protest,Protesters (Liberia),PATEL: Patriotic Entrepreneurs of Liberia,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,2,National,0,LBR
LBR1280,2017-02-07,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,2,National,1,LBR
LBR1281,2017-02-08,2,Battles,Armed clash,Mandingo Ethnic Militia (Liberia),,Mano Ethnic Militia (Liberia),,Liberia,Nimba,Meinpea-Mahn,Sokopa,7.0628,-9.1583,1,National,0,LBR
LBR1282,2017-02-09,2,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Margibi,Kakata,Weala,6.6875,-10.2115,1,National,0,LBR
LBR1283,2017-02-15,3,Battles,Armed clash,Krahn Ethnic Militia (Liberia),,Dan Ethnic Militia (Liberia),,Liberia,Nimba,Kparblee,Yourpea,6.7117,-8.5106,1,National,0,LBR
LBR1284,2017-02-19,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Saint Paul River,Virginia,6.4166,-10.7666,1,National,0,LBR
LBR1287,2017-02-24,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Bong,Boinsen,David Dean,6.652,-9.2999,1,National,1,LBR
LBR1288,2017-02-28,1,Riots,Mob violence,Rioters (Liberia),,Rioters (Liberia),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0,LBR
LBR1291,2017-04-15,3,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Maryland,Pleebo,Pleebo,4.5892,-7.6725,2,National,1,LBR
LBR1298,2017-05-23,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Libya),,Civilians (Liberia),,Liberia,Maryland,Harper,Harper,4.3764,-7.7013,1,National,0,LBR
LBR1309,2017-09-05,1,Riots,Violent demonstration,Rioters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0,LBR
LBR1320,2017-11-05,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Liberia),,Civilians (Liberia),,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0,LBR
LBR1297,2017-05-20,1,Violence against civilians,Attack,Military Forces of Liberia (2006-2018),,Civilians (Liberia),,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,National,0,LBR
LBR1292,2017-04-18,1,Battles,Armed clash,Military Forces of Liberia (2006-2018),,Police Forces of Liberia (2006-2018),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0,LBR
LBR1319,2017-10-30,1,Violence against civilians,Attack,Police Forces of Liberia (2006-2018),,Civilians (Liberia),,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,1,LBR
LBR1301,2017-07-12,1,Riots,Violent demonstration,Rioters (Liberia),,Police Forces of Liberia (2006-2018),,Liberia,Montserrado,Greater Monrovia,Bushrod Island,6.35,-10.78,1,National,0,LBR
LBR1289,2017-04-05,1,Riots,Mob violence,Rioters (Liberia),Prisoners (Liberia),Police Forces of Liberia (2006-2018) Prison Guards,,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,National,0,LBR
LBR1278,2017-02-03,1,Battles,Armed clash,Mano Ethnic Militia (Liberia),,Police Forces of Liberia (2006-2018),,Liberia,Nimba,Meinpea-Mahn,Sokopa,7.0628,-9.1583,1,National,0,LBR
LBR1275,2017-01-31,1,Protests,Protest with intervention,Protesters (Liberia),PATEL: Patriotic Entrepreneurs of Liberia,Police Forces of Liberia (2006-2018),,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,2,National,0,LBR
