event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SRI969,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,North Central,Anuradhapura,Anuradhapura,8.3123,80.4131,1,National,0,LKA
SRI970,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Uva,Badulla,Badulla,6.9895,81.0557,1,National,0,LKA
SRI972,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Southern,Galle,Galle,6.0367,80.217,1,National,0,LKA
SRI973,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Gampaha,Gampaha,7.0897,79.9925,1,National,0,LKA
SRI974,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Northern,Jaffna,Jaffna,9.6685,80.0074,1,National,0,LKA
SRI975,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Central,Kandy,Kandy,7.2955,80.6356,1,National,0,LKA
SRI976,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Sabaragamuwa,Kegalle,Kegalle,7.2523,80.3436,1,National,0,LKA
SRI977,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,North Western,Kurunegala,Kurunegala,7.4863,80.3623,1,National,0,LKA
SRI978,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Central,Matale,Matale,7.4698,80.6217,1,National,0,LKA
SRI979,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,North Central,Polonnaruwa,Polonnaruwa,7.9397,81.0027,1,National,0,LKA
SRI980,2017-12-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Eastern,Trincomalee,Trincomalee,8.5711,81.2335,1,National,0,LKA
SRI968,2017-12-25,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Southern,Galle,Balapitiya,6.278,80.0366,1,National,0,LKA
SRI967,2017-12-21,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI965,2017-12-18,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI964,2017-12-15,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI962,2017-12-14,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI960,2017-12-12,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI961,2017-12-12,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI959,2017-12-09,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Southern,Hambantota,Hambantota,6.1241,81.1185,1,National,0,LKA
SRI957,2017-12-01,2,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Southern,Hambantota,Hambantota,6.1241,81.1185,1,National,0,LKA
SRI955,2017-11-28,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI956,2017-11-28,2,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Sabaragamuwa,Kegalle,Kegalle,7.2523,80.3436,1,National,0,LKA
SRI953,2017-11-27,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),,,Sri Lanka,Central,Kandy,Kandy,7.2955,80.6356,1,National,0,LKA
SRI950,2017-11-22,1,Protests,Peaceful protest,Protesters (Sri Lanka),Farmers (Sri Lanka),,,Sri Lanka,Uva,Badulla,Girandurukotte,7.4693,81.0146,1,National,0,LKA
SRI951,2017-11-22,1,Protests,Peaceful protest,Protesters (Sri Lanka),Farmers (Sri Lanka),,,Sri Lanka,Sabaragamuwa,Kegalle,Moragahakanda,7.2076,80.3393,1,National,0,LKA
SRI948,2017-11-21,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Central,Kandy,Kandy,7.2955,80.6356,1,National,0,LKA
SRI947,2017-11-17,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Northern,Jaffna,Jaffna,9.6685,80.0074,1,National,0,LKA
SRI941,2017-11-14,1,Riots,Violent demonstration,Rioters (Sri Lanka),Labor Group (Sri Lanka),Rioters (Sri Lanka),,Sri Lanka,Central,Matale,Matale,7.4698,80.6217,1,National,0,LKA
SRI942,2017-11-14,1,Protests,Peaceful protest,Protesters (Sri Lanka),,,,Sri Lanka,Sabaragamuwa,Kegalle,Mawanella,7.2519,80.4453,1,National,0,LKA
SRI939,2017-11-13,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labor Group (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
SRI940,2017-11-13,1,Riots,Mob violence,Rioters (Sri Lanka),Students (Sri Lanka); Muslim Group (Sri Lanka),Rioters (Sri Lanka),Students (Sri Lanka); Muslim Group (Sri Lanka),Sri Lanka,Sabaragamuwa,Kegalle,Hemmathagama,7.1741,80.5,1,National,0,LKA
SRI938,2017-11-12,1,Violence against civilians,Attack,Unidentified Armed Group (Sri Lanka),,Civilians (Sri Lanka),,Sri Lanka,Northern,Jaffna,Jaffna,9.6685,80.0074,1,National,0,LKA
SRI907,2017-11-01,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),,,Sri Lanka,Eastern,Ampara,Ampara,7.2975,81.682,2,National,0,LKA
SRI908,2017-11-01,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),,,Sri Lanka,North Central,Anuradhapura,Anuradhapura,8.3123,80.4131,2,National,0,LKA
SRI909,2017-11-01,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),,,Sri Lanka,Uva,Badulla,Badulla,6.9895,81.0557,2,National,0,LKA
SRI911,2017-11-01,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),,,Sri Lanka,Western,Colombo,Colombo,6.9319,79.8478,1,National,0,LKA
