event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
LUX43,2021-02-26,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0,LUX
LUX46,2021-03-10,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0,LUX
LUX54,2021-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0,LUX
LUX56,2021-05-24,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Grevenmacher,,Grevenmacher,49.679,6.4426,1,New media,0,LUX
LUX58,2021-06-04,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0,LUX
LUX55,2021-05-14,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Capellen,,Capellen,49.6453,5.9876,1,New media,0,LUX
LUX44,2021-02-25,1,Protests,Peaceful protest,Protesters (Luxembourg),PCF: French Communist Party,,,Luxembourg,Esch-sur-Alzette,,Esch-sur-Alzette,49.4965,5.9838,1,National,0,LUX
LUX53,2021-05-01,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Esch-sur-Alzette,49.4965,5.9838,1,National,0,LUX
LUX39,2021-01-16,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX40,2021-01-16,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX41,2021-01-23,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX42,2021-02-11,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX45,2021-03-11,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0,LUX
LUX47,2021-03-09,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0,LUX
LUX48,2021-03-08,1,Protests,Peaceful protest,Protesters (Luxembourg),Women (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX49,2021-03-19,1,Protests,Peaceful protest,Protesters (Luxembourg),FFF: Fridays for Future; Students (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Regional,0,LUX
LUX50,2021-04-02,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX51,2021-03-27,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX52,2021-04-22,1,Protests,Peaceful protest,Protesters (Luxembourg),The Left (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX57,2021-06-01,1,Protests,Peaceful protest,Protesters (Luxembourg),Health Workers (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX59,2021-06-05,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX60,2021-06-05,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX61,2021-06-21,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0,LUX
LUX62,2021-06-30,1,Protests,Peaceful protest,Protesters (Luxembourg),Greenpeace,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Other,0,LUX
LUX63,2021-09-24,1,Protests,Peaceful protest,Protesters (Luxembourg),FFF: Fridays for Future; Students (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX64,2021-10-08,1,Protests,Peaceful protest,Protesters (Luxembourg),Christian Group (Luxembourg); Labor Group (Luxembourg); LCGB: Christian Labor Union of Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX65,2021-10-22,1,Protests,Peaceful protest,Protesters (Poland),Labor Group (Poland),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX66,2021-10-21,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Other-National,0,LUX
LUX67,2021-10-26,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0,LUX
LUX68,2021-11-17,1,Protests,Peaceful protest,Protesters (Luxembourg),Greenpeace,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX69,2021-12-04,1,Riots,Violent demonstration,Rioters (Luxembourg),,Police Forces of Luxembourg (2013-2023),,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX70,2021-12-24,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX71,2021-12-18,1,Protests,Protest with intervention,Protesters (Luxembourg),,Police Forces of Luxembourg (2013-2023),,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
LUX72,2021-12-11,1,Riots,Violent demonstration,Rioters (Luxembourg),,Police Forces of Luxembourg (2013-2023),,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0,LUX
