event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MOR1790,2019-03-29,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Nador,Zaio,34.9346,-2.7332,1,National,0,MAR
MOR1801,2019-03-31,2,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Guercif,Oulad Saleh,34.2347,-3.3199,1,National,0,MAR
MOR1841,2019-04-16,2,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Nador,Assebbab,35.134,-3.087,1,National,0,MAR
MOR1957,2019-05-27,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Jerada,Lamrija,34.0223,-2.3829,1,National,0,MAR
MOR2052,2019-07-15,2,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Jerada,Lamrija,34.0223,-2.3829,2,National,0,MAR
MOR2201,2019-09-21,1,Protests,Protest with intervention,Protesters (Morocco),,Police Forces of Morocco (1999-),,Morocco,Oriental,Berkane,Berkane,34.92,-2.32,1,National,0,MAR
MOR1980,2019-05-31,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Guercif,Guercif,34.2257,-3.3536,1,National,0,MAR
MOR2030,2019-07-11,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); FDT: Democratic Federation of Labour,,,Morocco,Oriental,Nador,Nador,35.174,-2.9287,1,National,0,MAR
MOR2046,2019-07-11,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); FDT: Democratic Federation of Labour,,,Morocco,Oriental,Taourirt,El Aioun,34.5832,-2.5061,1,National,0,MAR
MOR2278,2019-11-07,1,Protests,Peaceful protest,Protesters (Morocco),NCPD: National Coordination For People With Disabilities,,,Morocco,Oriental,Guercif,Guercif,34.2257,-3.3536,1,National,0,MAR
MOR2407,2019-12-31,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Oriental,Nador,Zaio,34.9346,-2.7332,1,National,0,MAR
MOR1905,2019-05-09,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); Government of Morocco (1999-),,,Morocco,Oriental,Jerada,Jerada,34.31,-2.16,1,Other,0,MAR
MOR1707,2019-03-10,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Draa-Tafilalet,Errachidia,Merzouga,31.0991,-4.013,1,National,0,MAR
MOR1727,2019-03-14,1,Protests,Peaceful protest,Protesters (Morocco),Students (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1730,2019-03-15,1,Protests,Protest with intervention,Protesters (Morocco),Berber Ethnic Group (Morocco),Police Forces of Morocco (1999-),,Morocco,Souss-Massa,Tiznit,Tiznit,29.6974,-9.7316,1,National,0,MAR
MOR1733,2019-03-16,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1761,2019-03-23,1,Riots,Mob violence,Rioters (Morocco),Pastoralists (Morocco),Rioters (Morocco),,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Agadir,30.4201,-9.598,2,Subnational-National,0,MAR
MOR1762,2019-03-24,1,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National-International,0,MAR
MOR1803,2019-04-02,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1809,2019-04-03,1,Protests,Peaceful protest,Protesters (Morocco),SNPM: National Moroccan Press Syndicate; Journalists (Morocco),,,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Agadir,30.4201,-9.598,1,Subnational-National,0,MAR
MOR1819,2019-04-09,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); Health Workers (Morocco),,,Morocco,Marrakech-Safi,Marrakech,Marrakech,31.6315,-8.0083,1,National,0,MAR
MOR1823,2019-04-10,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1830,2019-04-12,1,Riots,Mob violence,Rioters (Morocco),Pastoralists (Morocco),Rioters (Morocco),Farmers (Morocco),Morocco,Souss-Massa,Taroudannt,Oulad Teima,30.3947,-9.209,2,Subnational-National,0,MAR
MOR1832,2019-04-14,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Beni Mellal-Khenifra,Beni Mellal,Beni Mellal,32.3373,-6.3498,1,National,0,MAR
MOR1840,2019-04-16,1,Protests,Peaceful protest,Protesters (Morocco),Health Workers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1844,2019-04-18,1,Protests,Peaceful protest,Protesters (Morocco),Students (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1845,2019-04-18,1,Protests,Peaceful protest,Protesters (Morocco),Health Workers (Morocco),,,Morocco,Fes-Meknes,Meknes,Meknes,33.9,-5.55,1,National,0,MAR
MOR1853,2019-04-21,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1855,2019-04-22,1,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1859,2019-04-23,1,Protests,Protest with intervention,Protesters (Morocco),Teachers (Morocco),Police Forces of Morocco (1999-),,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National-International,0,MAR
MOR1861,2019-04-24,1,Protests,Excessive force against protesters,Protesters (Morocco),Teachers (Morocco),Police Forces of Morocco (1999-),,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,1,MAR
MOR1868,2019-04-25,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); UNTM: National Union of Moroccan Labour,,,Morocco,Marrakech-Safi,Marrakech,Marrakech,31.6315,-8.0083,1,National,0,MAR
MOR1871,2019-04-25,1,Protests,Protest with intervention,Protesters (Morocco),Teachers (Morocco),Police Forces of Morocco (1999-),,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National-International,0,MAR
MOR1926,2019-05-16,1,Protests,Peaceful protest,Protesters (Morocco),Islamist Group (Morocco),,,Morocco,Rabat-Sale-Kenitra,Sidi Slimane,Sidi Slimane,34.2648,-5.926,1,National,0,MAR
MOR1928,2019-05-16,1,Protests,Peaceful protest,Protesters (Morocco),Islamist Group (Morocco),,,Morocco,Rabat-Sale-Kenitra,Sale,Sale,34.0531,-6.7985,1,National,0,MAR
MOR1929,2019-05-16,1,Protests,Peaceful protest,Protesters (Morocco),Islamist Group (Morocco),,,Morocco,Tanger-Tetouan-Al Hoceima,Tetouan,Tetouan,35.5784,-5.3684,1,National,0,MAR
MOR1930,2019-05-17,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Marrakech-Safi,Essaouira,Essaouira,31.5125,-9.77,1,National,0,MAR
MOR1947,2019-05-25,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1984,2019-06-03,1,Protests,Peaceful protest,Protesters (Morocco),Health Workers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1992,2019-06-10,1,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR1994,2019-06-12,1,Protests,Peaceful protest,Protesters (Morocco),Health Workers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2001,2019-06-15,1,Protests,Peaceful protest,Protesters (Morocco),PAM: Authenticity and Modernity Party,,,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Agadir,30.4201,-9.598,1,Subnational-National,0,MAR
MOR2003,2019-06-17,1,Riots,Mob violence,Rioters (Morocco),Pastoralists (Morocco),Rioters (Morocco),,Morocco,Marrakech-Safi,Safi,Had Labkhati,32.4352,-8.6495,1,National,0,MAR
MOR2006,2019-06-19,1,Protests,Peaceful protest,Protesters (Morocco),Al Adl Wa Al Ihssane,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2018,2019-07-07,1,Protests,Peaceful protest,Protesters (Morocco),Taxi Drivers (Morocco),,,Morocco,Fes-Meknes,Fes,Fes,34.0372,-4.9998,1,National,0,MAR
MOR2026,2019-07-11,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); FDT: Democratic Federation of Labour,,,Morocco,Souss-Massa,Inezgane- Ait Melloul,Inezgane,30.3554,-9.5364,1,Subnational-National,0,MAR
MOR2065,2019-07-19,1,Riots,Violent demonstration,Rioters (Morocco),,Police Forces of Morocco (1999-),,Morocco,Laayoune-Sakia El Hamra,Laayoune,Laayoune / El Aaiun,27.1418,-13.188,1,National,1,MAR
MOR2066,2019-07-19,1,Protests,Peaceful protest,Protesters (Morocco),Women (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2073,2019-07-22,1,Battles,Armed clash,Unidentified Armed Group (Morocco),,Military Forces of Morocco (1999-),,Morocco,Laayoune-Sakia El Hamra,Laayoune,Laayoune / El Aaiun,27.1418,-13.188,2,National,1,MAR
MOR2076,2019-07-23,1,Protests,Protest with intervention,Protesters (Morocco),Street Traders (Morocco),Police Forces of Morocco (1999-),Military Forces of Morocco (1999-) Auxiliary Forces,Morocco,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,Tangier,35.7806,-5.8137,1,Subnational-National,0,MAR
MOR2085,2019-07-31,1,Protests,Protest with intervention,Protesters (Liberia),Students (Liberia),Police Forces of Morocco (1999-),,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,International,0,MAR
MOR2104,2019-08-15,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Souss-Massa,Chtouka- Ait Baha,Tassegdelt,30.1114,-9.1307,1,Subnational-National,0,MAR
MOR2106,2019-08-17,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Agadir,30.4201,-9.598,1,Subnational-National,0,MAR
MOR2107,2019-08-18,2,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Souss-Massa,Taroudannt,Oulad Berhil,30.6377,-8.4787,1,National,0,MAR
MOR2114,2019-08-22,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Fes-Meknes,Taounate,Ourtzagh,34.5348,-4.9688,1,National,0,MAR
MOR2115,2019-08-22,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Tazemmourt,30.6495,-9.848,1,Subnational-National,0,MAR
MOR2128,2019-08-30,1,Protests,Protest with intervention,Protesters (International),Migrants (International),Police Forces of Morocco (1999-),,Morocco,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Belyounech,35.8767,-5.3979,1,National,0,MAR
MOR2133,2019-09-01,1,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2148,2019-09-10,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); FNE: National Federation of Education,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2151,2019-09-11,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); UGTM: General Union of Moroccan Workers,,,Morocco,Fes-Meknes,Fes,Fes,34.0372,-4.9998,1,National,0,MAR
MOR2157,2019-09-12,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Belyounech,35.8767,-5.3979,1,Subnational-National,0,MAR
MOR2176,2019-09-20,1,Protests,Peaceful protest,Protesters (Morocco),"AESVT: Association of Earth, Life and Sciences Teachers; Teachers (Morocco)",,,Morocco,Marrakech-Safi,Marrakech,Marrakech,31.6315,-8.0083,1,National,0,MAR
MOR2178,2019-09-22,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Skhirate-Temara,Skhirat,33.8755,-7.0337,1,National,0,MAR
MOR2180,2019-09-23,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco); FNE: National Federation of Education; Private Security Forces (Morocco),,,Morocco,Beni Mellal-Khenifra,Beni Mellal,Beni Mellal,32.3373,-6.3498,1,Other-National,0,MAR
MOR2194,2019-09-27,1,Protests,Peaceful protest,Protesters (Morocco),"AESVT: Association of Earth, Life and Sciences Teachers; Greenpeace; AMCDD: Moroccan Alliance for Climate and Sustainable Development; Teachers (Morocco)",,,Morocco,Beni Mellal-Khenifra,Azilal,Demnate,31.7344,-7.0051,1,National,0,MAR
MOR2195,2019-09-27,1,Protests,Peaceful protest,Protesters (Morocco),"AESVT: Association of Earth, Life and Sciences Teachers; Greenpeace; AMCDD: Moroccan Alliance for Climate and Sustainable Development; Teachers (Morocco)",,,Morocco,Fes-Meknes,Fes,Fes,34.0372,-4.9998,1,National,0,MAR
MOR2197,2019-09-27,1,Protests,Peaceful protest,Protesters (Morocco),"AESVT: Association of Earth, Life and Sciences Teachers; Greenpeace; AMCDD: Moroccan Alliance for Climate and Sustainable Development; Teachers (Morocco)",,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National-International,0,MAR
MOR2205,2019-10-02,1,Protests,Peaceful protest,Protesters (Morocco),Lawyers (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National-International,0,MAR
MOR2212,2019-10-04,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,Tangier,35.7806,-5.8137,1,Subnational-National,0,MAR
MOR2214,2019-10-05,1,Protests,Peaceful protest,Protesters (Morocco),Al Adl Wa Al Ihssane,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2227,2019-10-16,1,Protests,Peaceful protest,Protesters (Morocco),Government of Morocco (1999-); Labor Group (Morocco),,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2239,2019-10-22,1,Protests,Peaceful protest,Protesters (Morocco),LMCDH: Moroccan Association for Citizenship and Human Rights,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2253,2019-10-27,1,Protests,Peaceful protest,Protesters (Morocco),LMCDH: Moroccan Association for Citizenship and Human Rights,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2268,2019-10-30,1,Violence against civilians,Sexual violence,Police Forces of Morocco (1999-) Prison Guards,,Civilians (Morocco),Al-Hirak Movement; Prisoners (Morocco),Morocco,Fes-Meknes,Fes,Fes,34.0372,-4.9998,1,National-International,0,MAR
MOR2343,2019-12-02,1,Protests,Protest with intervention,Protesters (Morocco),Teachers (Morocco),Police Forces of Morocco (1999-),,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,National,0,MAR
MOR2347,2019-12-03,1,Protests,Peaceful protest,Protesters (Morocco),Al Adl Wa Al Ihssane,,,Morocco,Oriental,Oujda-Angad,Oujda,34.6759,-1.9175,1,National,0,MAR
MOR2147,2019-09-09,1,Protests,Peaceful protest,Protesters (Morocco),,,,Morocco,Rabat-Sale-Kenitra,Rabat,Rabat,34.0133,-6.8326,1,International,0,MAR
MOR2249,2019-10-24,1,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco); Labor Group (Morocco),,,Morocco,Souss-Massa,Inezgane- Ait Melloul,Inezgane,30.3554,-9.5364,1,Subnational,0,MAR
MOR1858,2019-04-23,2,Protests,Peaceful protest,Protesters (Morocco),Teachers (Morocco),,,Morocco,Souss-Massa,Taroudannt,Oulad Teima,30.3947,-9.209,2,Subnational,0,MAR
MOR2210,2019-10-03,1,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco),,,Morocco,Souss-Massa,Agadir-Ida -Ou-Tanane,Agadir,30.4201,-9.598,1,Subnational,0,MAR
