event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MDA275,2019-04-04,2,Strategic developments,Other,Military Forces of Transnistria (2016-),,,,Moldova,Bender,Bender,Bender,46.8316,29.4777,2,National,0,MDA
MDA230,2019-01-20,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),,,,Moldova,Bender,Bender,Bender,46.8316,29.4777,1,National,0,MDA
MDA256,2019-03-04,2,Strategic developments,Other,Government of Moldova (2016-2019) Gagauzia Regional Government,,,,Moldova,Gagauzia,Comrat,Comrat,46.2946,28.6565,2,Subnational-National,0,MDA
MDA292,2019-05-17,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),,,,Moldova,Causeni,Chitcani,Merenesti,46.7776,29.5463,2,National,0,MDA
MDA300,2019-05-24,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),,,,Moldova,Dubasari,Cosnita,Pohrebea,47.1805,29.1675,2,National,0,MDA
MDA332,2019-06-20,2,Strategic developments,Other,Military Forces of Transnistria (2016-),,,,Moldova,Causeni,Chitcani,Chitcani,46.7851,29.6064,2,National,0,MDA
MDA260,2019-03-18,1,Protests,Peaceful protest,Protesters (Moldova),Labor Group (Moldova),,,Moldova,Hincesti,Leuseni,Leuseni,46.8219,28.1988,2,National,0,MDA
MDA435,2019-10-19,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),,,,Moldova,Bender,Bender,Bender,46.8316,29.4777,1,National,0,MDA
MDA437,2019-10-24,2,Protests,Peaceful protest,Protesters (Moldova),Labor Group (Moldova),,,Moldova,Ialoveni,Milestii Mici,Milestii Mici,46.9049,28.7964,1,National,0,MDA
MDA445,2019-10-31,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),Police Forces of Transnistria (2016-),,,Moldova,Dubasari,Cosnita,Pohrebea,47.1805,29.1675,2,National,0,MDA
MDA449,2019-11-08,2,Strategic developments,Change to group/activity,Military Forces of Transnistria (2016-),Military Forces of Russia (2000-) Operational Group of Russian Forces in Moldova,,,Moldova,Ribnita,Cobasna,Cobasna,47.7742,29.2078,2,National,0,MDA
MDA245,2019-02-19,2,Strategic developments,Other,Government of Moldova (2016-2019),,,,Moldova,Chisinau,,Chisinau,47.0056,28.8575,3,National,0,MDA
MDA339,2019-06-27,2,Strategic developments,Other,Civilians (Moldova),PDM: Democratic Party of Moldova,,,Moldova,Chisinau,,Chisinau,47.0056,28.8575,1,National,0,MDA
MDA368,2019-07-30,2,Strategic developments,Other,Government of Moldova (2019-2020),PDM: Democratic Party of Moldova,,,Moldova,Chisinau,,Chisinau,47.0056,28.8575,3,National,0,MDA
MDA342,2019-06-28,1,Protests,Peaceful protest,Protesters (Moldova),Unirea-ODIP,,,Moldova,Chisinau,Buiucani,Chisinau - Buiucani,47.0251,28.7975,1,National,0,MDA
MDA468,2019-12-19,1,Strategic developments,Arrests,Police Forces of Transnistria (2016-),,Civilians (Moldova),Military Forces of Transnistria (2016-),Moldova,Slobozia,Pervomaisc,Pervomaisk,46.7308,29.9559,1,National,0,MDA
MDA471,2019-12-27,1,Protests,Peaceful protest,Protesters (Moldova),Students (Moldova); PPDA: Dignity and Truth Platform Party,,,Moldova,Chisinau,Buiucani,Chisinau - Buiucani,47.0251,28.7975,1,National,0,MDA
MDA470,2019-12-18,1,Protests,Peaceful protest,Protesters (Moldova),Women (Moldova); OccupyGuguta; PAS: Party of Action and Solidarity,,,Moldova,Chisinau,Buiucani,Chisinau - Buiucani,47.0251,28.7975,1,National,0,MDA
MDA466,2019-12-18,1,Protests,Peaceful protest,Protesters (Moldova),Christian Group (Moldova); Orthodox Christian Group (Moldova),,,Moldova,Chisinau,,Chisinau,47.0056,28.8575,1,National,0,MDA
MDA463,2019-12-11,1,Protests,Peaceful protest,Protesters (Moldova),Labor Group (Moldova),,,Moldova,Chisinau,Buiucani,Chisinau - Buiucani,47.0251,28.7975,1,National,0,MDA
MDA461,2019-12-03,1,Strategic developments,Other,Government of Moldova (2019-2020),Judges (Moldova),Civilians (Moldova),PLDM: Liberal Democratic Party of Moldova,Moldova,Chisinau,,Chisinau,47.0056,28.8575,1,National-International,0,MDA
MDA462,2019-12-01,1,Protests,Peaceful protest,Protesters (Moldova),PLDM: Liberal Democratic Party of Moldova; USB: Save Basarabia Union; PL: Liberal Party of Moldova; Unirea-ODIP,,,Moldova,Chisinau,Buiucani,Chisinau - Buiucani,47.0251,28.7975,1,National,0,MDA
MDA458,2019-11-19,1,Protests,Peaceful protest,Protesters (Moldova),Speranta-Nadezhda Movement,,,Moldova,Chisinau,Riscani,Chisinau - Riscani,47.0531,28.864,1,National,0,MDA
MDA455,2019-11-11,1,Protests,Peaceful protest,Protesters (Moldova),Labor Group (Moldova); Our Party (Moldova),,,Moldova,Balti,Balti,Balti,47.7631,27.9293,2,National,0,MDA
