event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MAG2111,2022-01-07,2,Battles,Armed clash,Military Forces of Madagascar (2019-2025),,Dahalo Militia,,Madagascar,Atsimo Andrefana,Morombe,Maharihy,-21.8666,43.6666,2,National,3,MDG
MAG2110,2022-01-07,2,Battles,Armed clash,Military Forces of Madagascar (2019-2025),,Dahalo Militia,,Madagascar,Atsimo Andrefana,Morombe,Antanimeva,-22.2333,43.7666,2,National,3,MDG
MAG2114,2022-01-10,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),Christian Group (Madagascar),Madagascar,Anosy,Taolagnaro,Taolagnaro,-25.032,46.9897,2,National,0,MDG
MAG2115,2022-01-15,1,Riots,Violent demonstration,Rioters (Madagascar),,,,Madagascar,Vakinankaratra,Ambatolampy,Ambodivona,-19.3979,47.4546,1,National,0,MDG
MAG2128,2022-02-11,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),Albino Group (Madagascar); Women (Madagascar),Madagascar,Anosy,Taolagnaro,Manantenina,-24.2669,47.352,1,National,0,MDG
MAG2140,2022-02-17,1,Riots,Mob violence,Rioters (Madagascar),,Police Forces of Madagascar (2019-2025),,Madagascar,Vatovavy Fitovinany,Nosy-Varika,Nosy Varika,-20.5888,48.5344,1,National,0,MDG
MAG2133,2022-02-16,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),Albino Group (Madagascar); Women (Madagascar),Madagascar,Ihorombe,Ihosy,Sakalalina,-22.3333,46.4833,2,National,0,MDG
MAG2142,2022-02-23,2,Violence against civilians,Attack,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),,Madagascar,Bongolava,Fenoarivobe,Ankazoavo,-18.2833,45.7667,1,National,0,MDG
MAG2168,2022-03-26,1,Violence against civilians,Abduction/forced disappearance,Dahalo Militia,,Civilians (Madagascar),Women (Madagascar),Madagascar,Menabe,Mahabo,Andranomatavy,-20.1493,45.1833,1,National,0,MDG
MAG2185,2022-05-01,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),Albino Group (Madagascar),Madagascar,Anosy,Amboasary-Atsimo,Amboasary-Sud,-25.0385,46.3865,1,National,0,MDG
