event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MDV321,2025-01-05,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Huvadhu Atholhu Dhekunuburi,,Thinadhoo,0.5304,72.9965,1,National,0,MDV
MDV322,2025-01-21,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV323,2025-01-28,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Thiladhunmathi Dhekunuburi,,Dhidhdhoo,6.8863,73.1139,1,National,0,MDV
MDV324,2025-01-31,1,Protests,Peaceful protest,Protesters (Maldives),Government of Maldives (2023-); MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV325,2025-02-06,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV326,2025-02-08,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Huvadhu Atholhu Uthuruburi,,Viligili,0.7572,73.4349,1,National,0,MDV
MDV327,2025-02-24,1,Riots,Violent demonstration,Rioters (Maldives),,Police Forces of Maldives (2023-),,Maldives,Miladhunmadulu Dhekunuburi,,Holhudhoo,5.7549,73.2624,1,National,0,MDV
MDV328,2025-02-27,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Kolhumadulu,,Madifushi,2.3556,73.3539,1,National,0,MDV
MDV329,2025-02-23,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Miladhunmadulu Dhekunuburi,,Holhudhoo,5.7549,73.2624,1,National,0,MDV
MDV330,2025-02-27,1,Protests,Protest with intervention,Protesters (Maldives),MDP: Maldivian Democratic Party,Police Forces of Maldives (2023-),,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV331,2025-02-22,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Miladhunmadulu Dhekunuburi,,Holhudhoo,5.7549,73.2624,1,National,0,MDV
MDV332,2025-02-21,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Miladhunmadulu Dhekunuburi,,Holhudhoo,5.7549,73.2624,1,National,0,MDV
MDV333,2025-03-07,1,Protests,Protest with intervention,Protesters (Maldives),Former Government of Maldives (2023-); Government of Maldives (2023-),Police Forces of Maldives (2023-),,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV334,2025-03-07,1,Protests,Peaceful protest,Protesters (Maldives),Government of Maldives (2023-),,,Maldives,Addu City,,Hithadhoo,-0.6059,73.0882,2,Subnational-National,0,MDV
MDV335,2025-03-04,1,Protests,Peaceful protest,Protesters (Maldives),Labor Group (Maldives),,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV336,2025-03-05,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Addu City,,Feydhoo,-0.6837,73.1361,1,National,0,MDV
MDV337,2025-03-03,1,Protests,Peaceful protest,Protesters (Maldives),,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV338,2025-03-09,1,Protests,Protest with intervention,Protesters (Maldives),MDP: Maldivian Democratic Party,Police Forces of Maldives (2023-),,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV339,2025-03-12,1,Protests,Protest with intervention,Protesters (Maldives),MDP: Maldivian Democratic Party,Police Forces of Maldives (2023-),,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV340,2025-03-10,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV341,2025-03-11,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV342,2025-03-13,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV343,2025-03-08,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
MDV344,2025-03-16,1,Protests,Peaceful protest,Protesters (Maldives),MDP: Maldivian Democratic Party,,,Maldives,Male City,,Male,4.1748,73.5101,1,National,0,MDV
