event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MKD530,2020-12-26,1,Protests,Peaceful protest,Protesters (North Macedonia),,,,North Macedonia,Kochani,,Kocani,41.9164,22.4128,1,International,0,MKD
MKD525,2020-12-21,1,Protests,Peaceful protest,Protesters (North Macedonia),Labor Group (North Macedonia),,,North Macedonia,Tetovo,,Tetovo,42.0097,20.9715,1,International,0,MKD
MKD531,2020-12-19,1,Protests,Peaceful protest,Protesters (North Macedonia),,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,International,0,MKD
MKD524,2020-12-19,1,Protests,Peaceful protest,Protesters (North Macedonia),Farmers (North Macedonia),,,North Macedonia,Veles,,Veles,41.7156,21.7756,1,National,0,MKD
MKD526,2020-12-18,1,Protests,Peaceful protest,Protesters (North Macedonia),Labor Group (North Macedonia),,,North Macedonia,Tetovo,,Tetovo,42.0097,20.9715,1,National-International,0,MKD
MKD527,2020-12-18,1,Protests,Peaceful protest,Protesters (North Macedonia),Students (North Macedonia),,,North Macedonia,Berovo,,Berovo,41.7031,22.8578,1,National,0,MKD
MKD518,2020-12-12,1,Protests,Peaceful protest,Protesters (North Macedonia),Farmers (North Macedonia),,,North Macedonia,Cheshinovo-Obleshevo,,Oblesevo,41.8833,22.3339,1,International,0,MKD
MKD521,2020-12-12,1,Protests,Peaceful protest,Protesters (North Macedonia),,,,North Macedonia,Struga,,Struga,41.178,20.6778,1,National,0,MKD
MKD519,2020-12-11,1,Protests,Peaceful protest,Protesters (North Macedonia),Students (North Macedonia),,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National,0,MKD
MKD520,2020-12-07,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National,0,MKD
MKD515,2020-12-05,1,Protests,Peaceful protest,Protesters (North Macedonia),,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,International,0,MKD
MKD514,2020-12-05,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National-International,0,MKD
MKD513,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National,0,MKD
MKD508,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Tetovo,,Tetovo,42.0097,20.9715,1,National,0,MKD
MKD509,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Kavadartsi,,Kavadarci,41.4331,22.0119,1,National,0,MKD
MKD510,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Delchevo,,Delcevo,41.9654,22.7763,1,National,0,MKD
MKD511,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Ohrid,,Ohrid,41.1172,20.8019,1,National,0,MKD
MKD512,2020-12-04,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Veles,,Veles,41.7156,21.7756,1,National,0,MKD
MKD507,2020-12-03,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National,0,MKD
MKD502,2020-12-02,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National,0,MKD
MKD504,2020-12-02,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Dojran,,Dojran,41.1865,22.7203,1,National,0,MKD
MKD505,2020-12-02,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Valandovo,,Valandovo,41.3174,22.56,1,National,0,MKD
MKD506,2020-12-02,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Radovish,,Radovis,41.6383,22.4647,1,National,0,MKD
MKD503,2020-12-02,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Bitola,,Bitola,41.0314,21.3347,1,National,0,MKD
MKD501,2020-12-01,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,National-International,0,MKD
MKD490,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Kriva Palanka,,Kriva Palanka,42.2009,22.3324,1,National,0,MKD
MKD493,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Negotino,,Negotino,41.4846,22.0906,1,National,0,MKD
MKD494,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Strumitsa,,Strumica,41.4375,22.6433,1,National,0,MKD
MKD491,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Kratovo,,Kratovo,42.0784,22.1807,1,National,0,MKD
MKD496,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Struga,,Struga,41.178,20.6778,1,National,0,MKD
MKD497,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Krushevo,,Krusevo,41.3694,21.2483,1,National,0,MKD
MKD498,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Kichevo,,Kicevo,41.5127,20.9589,1,National,0,MKD
MKD499,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Makedonski Brod,,Makedonski Brod,41.5136,21.2153,1,National,0,MKD
MKD492,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Sveti Nikole,,Sveti Nikole,41.8667,21.9411,1,National,0,MKD
MKD500,2020-11-30,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Gostivar,,Gostivar,41.796,20.9082,1,National,0,MKD
MKD487,2020-11-28,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Centar,,Skopje,42.005,21.4289,1,International,0,MKD
MKD481,2020-11-27,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Kavadartsi,,Kavadarci,41.4331,22.0119,1,International,0,MKD
MKD485,2020-11-27,1,Protests,Peaceful protest,Protesters (North Macedonia),VMRO-DPMNE: Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,,,North Macedonia,Tetovo,,Tetovo,42.0097,20.9715,1,International,0,MKD
