event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MMR4905,2017-12-01,1,Strategic developments,Non-violent transfer of territory,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,,Myanmar,Shan-North,Kyaukme,Namtu,23.0766,97.4033,2,National,0,MMR
MMR4815,2017-10-29,1,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Myanmar),,,,Myanmar,Rakhine,Maungdaw,Maungdaw,20.8265,92.3661,2,National,0,MMR
MMR4660,2017-08-07,1,Violence against civilians,Attack,Unidentified Armed Group (Myanmar),,Civilians (Myanmar),,Myanmar,Rakhine,Maungdaw,Buthidaung,20.8754,92.5272,2,National,0,MMR
MMR4621,2017-07-19,1,Violence against civilians,Abduction/forced disappearance,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,Civilians (Myanmar),,Myanmar,Shan-North,Lashio,Hseni,23.2736,98.1052,2,National,0,MMR
MMR4594,2017-07-10,1,Riots,Mob violence,Rioters (Myanmar),Buddhist Group (Myanmar),Civilians (Myanmar),Muslim Group (Myanmar),Myanmar,Mandalay,Meiktila,Meiktila,20.8778,95.8584,2,National,0,MMR
MMR4537,2017-06-16,2,Protests,Peaceful protest,Protesters (Myanmar),,,,Myanmar,Mon,Thaton,Paung,16.6175,97.4585,2,Subnational,0,MMR
MMR4531,2017-06-09,1,Protests,Peaceful protest,Protesters (Myanmar),Farmers (Myanmar),,,Myanmar,Rakhine,Sittwe,Sittwe,20.1462,92.8984,1,Subnational,0,MMR
MMR4525,2017-06-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Myanmar),,Civilians (Myanmar),,Myanmar,Kachin,Myitkyina,Tanai,26.4856,96.6992,2,National,0,MMR
MMR4510,2017-05-24,1,Protests,Peaceful protest,Protesters (Myanmar),,,,Myanmar,Kayin,Hpapun,Hpapun,18.065,97.4449,2,Subnational,0,MMR
MMR4495,2017-05-15,1,Protests,Peaceful protest,Protesters (Myanmar),,,,Myanmar,Kayin,Hpapun,Hpapun,18.065,97.4449,2,Subnational,0,MMR
MMR4496,2017-05-15,1,Protests,Peaceful protest,Protesters (Myanmar),Farmers (Myanmar),,,Myanmar,Rakhine,Sittwe,Sittwe,20.1462,92.8984,1,Subnational,0,MMR
MMR4488,2017-05-13,1,Battles,Armed clash,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,,Myanmar,Shan-North,Kyaukme,Kyaukme,22.5392,97.0343,2,National,0,MMR
