event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MNE803,2022-01-07,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,International,0,MNE
MNE801,2022-01-07,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,Regional,0,MNE
MNE822,2022-01-14,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE823,2022-01-10,1,Protests,Peaceful protest,Protesters (Montenegro),SDP: Social Democratic Party (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE821,2022-01-10,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE829,2022-01-17,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE831,2022-01-18,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE832,2022-01-19,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE826,2022-01-20,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE830,2022-01-17,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0,MNE
MNE840,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE824,2022-01-19,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE838,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE841,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE844,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Herceg Novi,,Zelenika,42.4514,18.5767,1,National,0,MNE
MNE843,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE842,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0,MNE
MNE836,2022-01-20,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE833,2022-01-20,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bar,,Bar,42.1667,19.1667,1,International,0,MNE
MNE837,2022-01-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bar,,Bar,42.1667,19.1667,1,International,0,MNE
MNE828,2022-01-15,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Herceg Novi,,Meljine,42.4558,18.5619,1,National,0,MNE
MNE835,2022-01-20,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE834,2022-01-20,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE863,2022-01-26,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bar,,Bar,42.1667,19.1667,1,National,0,MNE
MNE861,2022-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE847,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Herceg Novi,,Herceg Novi,42.5067,18.5375,1,National,0,MNE
MNE845,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE864,2022-01-26,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0,MNE
MNE866,2022-01-27,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE852,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE849,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Mojkovac,,Mojkovac,42.9592,19.5883,1,National,0,MNE
MNE859,2022-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE850,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE856,2022-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0,MNE
MNE860,2022-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE853,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Tivat,,Tivat,42.4056,18.6531,1,National,0,MNE
MNE867,2022-01-27,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Tivat,,Tivat,42.4056,18.6531,1,National,0,MNE
MNE858,2022-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE854,2022-01-23,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE865,2022-01-27,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE851,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0,MNE
MNE846,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Bogetici,42.6807,18.9776,1,National,0,MNE
MNE848,2022-01-22,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE877,2022-02-03,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE872,2022-01-30,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bijelo Polje,,Bijelo Polje,43.0447,19.7433,1,National,0,MNE
MNE874,2022-01-30,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE868,2022-02-03,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Herceg Novi,,Herceg Novi,42.5067,18.5375,1,National,0,MNE
MNE870,2022-01-29,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Herceg Novi,,Herceg Novi,42.5067,18.5375,1,International,0,MNE
MNE873,2022-01-30,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE876,2022-02-02,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE871,2022-01-29,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE869,2022-02-04,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Bar,,Bar,42.1667,19.1667,1,National,0,MNE
MNE875,2022-01-31,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE879,2022-02-07,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE880,2022-02-05,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
MNE885,2022-02-12,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Montenegro),,Civilians (Montenegro),DCG: Democratic Montenegro,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0,MNE
MNE883,2022-02-14,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE882,2022-02-13,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0,MNE
MNE881,2022-02-12,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Kolasin,,Kolasin,42.8372,19.5156,1,National,0,MNE
MNE884,2022-02-16,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro; PCG: True Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE905,2022-02-21,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE906,2022-02-25,1,Protests,Peaceful protest,Protesters (Montenegro),SD: Social Democrats of Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE887,2022-02-20,1,Protests,Peaceful protest,Protesters (Montenegro),DCG: Democratic Montenegro,,,Montenegro,Zabljak,,Zabljak,43.1572,19.1233,1,National,0,MNE
MNE908,2022-02-21,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bijelo Polje,,Bijelo Polje,43.0447,19.7433,1,National,0,MNE
MNE904,2022-02-23,1,Protests,Peaceful protest,Protesters (Montenegro),GI: May 21st,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE907,2022-02-25,1,Protests,Peaceful protest,Protesters (Montenegro),Women (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0,MNE
MNE916,2022-02-28,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
MNE922,2022-03-04,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bijelo Polje,,Bijelo Polje,43.0447,19.7433,1,National,0,MNE
MNE921,2022-03-03,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
MNE923,2022-03-04,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
MNE919,2022-03-02,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
MNE918,2022-03-01,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0,MNE
