event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MNG225,2018-09-23,2,Protests,Peaceful protest,Protesters (Mongolia),Students (Mongolia); Police Forces of Mongolia (2016-),,,Mongolia,Bulgan,Bulgan,Bulgan,48.8196,103.513,1,National,0,MNG
MNG231,2018-12-18,2,Violence against civilians,Attack,Unidentified Armed Group (Mongolia),MPP: Mongolian People's Party,Civilians (Mongolia),DP: Democratic Party (Mongolia),Mongolia,Bulgan,Bulgan,Bulgan,48.8196,103.513,1,National,1,MNG
MNG227,2018-04-07,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Dornogovi,Zamyn-Uud,Zamyn-Uud,43.7163,111.9034,1,National,0,MNG
MNG186,2018-07-17,1,Protests,Peaceful protest,Protesters (Mongolia),Farmers (Mongolia),,,Mongolia,Dornod,Tsagaan-Ovoo,Tsagaan-Ovoo,48.5628,113.2167,1,National,0,MNG
MNG219,2018-12-29,1,Strategic developments,Other,Police Forces of Mongolia (2016-),Military Forces of Mongolia (2016-),Civilians (Mongolia),Labor Group (Mongolia),Mongolia,Dundgovi,Gurvansaikhan,Gurvansaikhan,45.5249,107.0456,2,National,0,MNG
MNG239,2018-08-05,1,Protests,Peaceful protest,Protesters (Mongolia),Farmers (Mongolia),,,Mongolia,Khovsgol,Burentogtokh,Burentogtokh,49.6145,99.579,1,National,0,MNG
MNG240,2018-08-01,1,Protests,Peaceful protest,Protesters (Mongolia),Farmers (Mongolia),,,Mongolia,Khovsgol,Burentogtokh,Burentogtokh,49.6145,99.579,1,National,0,MNG
MNG233,2018-06-19,1,Protests,Protest with intervention,Protesters (Mongolia),Labor Group (Mongolia),Police Forces of Mongolia (2016-),,Mongolia,Dornogovi,Zamyn-Uud,Zamyn-Uud,43.7163,111.9034,2,National,0,MNG
MNG218,2018-03-31,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Orkhon,Bayan-Ondor,Erdenet,49.0283,104.0624,1,National,0,MNG
MNG207,2018-03-07,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Khovsgol,Moron,Moron,49.6423,100.1736,1,National,0,MNG
