event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MZM2167,2021-05-07,1,Violence against civilians,Attack,Police Forces of Mozambique (1990-) Rapid Intervention Unit,,Civilians (Mozambique),Labor Group (Mozambique),Mozambique,Tete,Moatize,Moatize,-16.1153,33.7294,1,National,0,MOZ
MZM2158,2021-05-03,1,Protests,Peaceful protest,Protesters (Mozambique),Labor Group (Mozambique),,,Mozambique,Maputo,Boane,Boane,-26.0423,32.3302,1,National-International,0,MOZ
MZM2149,2021-04-28,2,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,Local partner-Other,0,MOZ
MZM2148,2021-04-27,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Malamba,-10.7097,40.442,2,Local partner-Other,0,MOZ
MZM2141,2021-04-19,2,Violence against civilians,Attack,Military Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,Local partner-Other,3,MOZ
MZM2136,2021-04-10,1,Battles,Armed clash,Unidentified Armed Group (Mozambique),,Police Forces of Mozambique (1990-),,Mozambique,Tete,Moatize,Moatize,-16.1153,33.7294,2,Local partner-Other,0,MOZ
MZM2135,2021-04-06,1,Strategic developments,Disrupted weapons use,Military Forces of Mozambique (1990-),,,,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,Local partner-Other,0,MOZ
MZM2134,2021-04-05,2,Strategic developments,Looting/property destruction,Police Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Quitunda,-10.8459,40.4774,1,National,0,MOZ
MZM2105,2021-03-17,1,Violence against civilians,Attack,Military Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,Local partner-Other,0,MOZ
MZM2100,2021-03-07,1,Violence against civilians,Attack,Police Forces of Mozambique (1990-),,Civilians (Mozambique),Labor Group (Mozambique),Mozambique,Nampula,Nampula,Nampula,-15.12,39.2647,1,National,0,MOZ
MZM2028,2021-01-09,1,Violence against civilians,Attack,RMJ: Renamo Military Junta,,Civilians (Mozambique),Labor Group (Mozambique),Mozambique,Sofala,Chibabava,Zove,-20.5587,33.8395,2,National,1,MOZ
MZM2195,2021-05-24,2,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),Labor Group (Mozambique),Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,New media-National,0,MOZ
MZM2205,2021-06-07,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),Former Police Forces of Mozambique (1990-),Mozambique,Sofala,Cidade Da Beira,Beira,-19.8436,34.8389,1,New media-National,0,MOZ
MZM2215,2021-06-17,1,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Quitunda,-10.8459,40.4774,1,Local partner-Other,0,MOZ
MZM2216,2021-03-24,2,Strategic developments,Other,Civilians (Mozambique),Refugees/IDPs (Mozambique),,,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,Local partner-Other,0,MOZ
MZM2218,2021-06-12,1,Violence against civilians,Attack,Military Forces of Mozambique (1990-),,Civilians (Mozambique),Women (Mozambique),Mozambique,Cabo Delgado,Macomia,Litamanda,-11.8966,40.1097,1,Local partner-Other,8,MOZ
MZM2231,2021-06-29,1,Violence against civilians,Attack,Police Forces of Mozambique (1990-),,Civilians (Mozambique),Journalists (Mozambique),Mozambique,Nampula,Nampula,Nampula,-15.12,39.2647,1,New media-National,0,MOZ
MZM2240,2021-07-09,2,Riots,Mob violence,Rioters (Mozambique),Vigilante Group (Mozambique),Civilians (Mozambique),,Mozambique,Inhambane,Inhambane,Inhambane,-23.865,35.3833,2,National,1,MOZ
MZM2244,2021-07-11,2,Strategic developments,Agreement,RENAMO: Mozambican National Resistance,,Government of Mozambique (1990-),,Mozambique,Tete,Moatize,Zobue,-15.5972,34.4475,1,National-International,0,MOZ
MZM2274,2021-07-23,1,Riots,Mob violence,Rioters (Mozambique),Vigilante Group (Mozambique),Civilians (Mozambique),,Mozambique,Inhambane,Maxixe,Maxixe,-23.8597,35.3472,1,New media-National,1,MOZ
MZM2291,2021-07-27,1,Violence against civilians,Attack,Police Forces of Mozambique (1990-),,Civilians (Mozambique),Journalists (Mozambique),Mozambique,Manica,Barue,Catandica,-18.0575,33.1736,2,New media-International,0,MOZ
MZM2299,2021-07-29,2,Protests,Peaceful protest,Protesters (Mozambique),Labor Group (Mozambique),,,Mozambique,Inhambane,Inhambane,Inhambane,-23.865,35.3833,2,National-International,0,MOZ
MZM2341,2021-08-20,1,Battles,Armed clash,Unidentified Armed Group (Mozambique),,Police Forces of Mozambique (1990-),,Mozambique,Niassa,Mavago,Mavago,-12.325,36.1274,2,Local partner-Other,1,MOZ
MZM2345,2021-08-17,1,Protests,Protest with intervention,Protesters (Mozambique),,Military Forces of Mozambique (1990-),,Mozambique,Tete,Tete,Chingose,-16.1078,33.6483,1,National,0,MOZ
MZM2356,2021-07-15,3,Violence against civilians,Attack,Chai Communal Militia (Mozambique),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Macomia,Chai,-11.9319,40.1103,2,National,2,MOZ
MZM2399,2021-10-10,1,Violence against civilians,Attack,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),Police Forces of Mozambique (1990-),Mozambique,Maputo,Cidade Da Matola,Matola,-25.9622,32.4589,1,National,1,MOZ
MZM2406,2021-10-15,2,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),Farmers (Mozambique),Mozambique,Cabo Delgado,Macomia,Chai,-11.9319,40.1103,1,Local partner-Other,0,MOZ
MZM2407,2021-10-15,2,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),Farmers (Mozambique),Mozambique,Cabo Delgado,Mocimboa da Praia,Chinda,-11.5813,40.0375,1,Local partner-Other,0,MOZ
MZM2408,2021-10-15,2,Strategic developments,Looting/property destruction,Military Forces of Mozambique (1990-),,Civilians (Mozambique),Farmers (Mozambique),Mozambique,Cabo Delgado,Muidumbe,Chitunda,-11.7078,39.9889,1,Local partner-Other,0,MOZ
