event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MAA537,2018-12-22,2,Riots,Violent demonstration,Rioters (Mauritania),,,,Mauritania,Brakna,Maghta Lahjar,Sangrava,17.5539,-12.8628,1,National,0,MRT
MAA539,2018-12-27,1,Protests,Protest with intervention,Protesters (Mauritania),RFD: Rally of Democratic Forces,Police Forces of Mauritania (2009-2019),,Mauritania,Dakhlet Nouadhibou,Dakhlet Nouadhibou,Nouadhibou,20.9434,-17.038,1,National,0,MRT
MAA506,2018-08-10,1,Battles,Armed clash,Unidentified Armed Group (Mauritania),,Military Forces of Mauritania (2009-2019),,Mauritania,Tiris Zemmour,Bir Moghrein,Chegga,25.37,-5.79,2,Local partner-New media,2,MRT
MAA502,2018-07-27,1,Riots,Violent demonstration,Rioters (Mauritania),,Police Forces of Mauritania (2009-2019),,Mauritania,Trarza,Rosso,Rosso,16.5103,-15.8027,2,International,0,MRT
MAA501,2018-07-18,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Dakhlet Nouadhibou,Dakhlet Nouadhibou,Nouadhibou,20.9434,-17.038,1,International,0,MRT
MAA489,2018-05-09,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Dakhlet Nouadhibou,Chami,Chami,20.0508,-15.9674,1,National,0,MRT
MAA487,2018-05-01,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Dakhlet Nouadhibou,Dakhlet Nouadhibou,Nouadhibou,20.9434,-17.038,1,Other,0,MRT
MAA529,2018-12-07,1,Battles,Armed clash,Tiguent Communal Militia (Mauritania),,Tiguent Communal Militia (Mauritania),,Mauritania,Trarza,Mederdra,Tiguent,17.2403,-16.0878,1,National-International,1,MRT
MAA519,2018-11-13,1,Protests,Protest with intervention,Protesters (Mauritania),Students (Mauritania),Police Forces of Mauritania (2009-2019),,Mauritania,Guidimakha,Selibaby,Selibaby,15.1585,-12.1843,1,National,0,MRT
MAA542,2018-12-31,1,Protests,Protest with intervention,Protesters (Mauritania),IRA: The Initiative for the Resurgence of Abolitionist Movement,Police Forces of Mauritania (2009-2019),,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA540,2018-12-27,1,Protests,Peaceful protest,Protesters (Mauritania),Muslim Group (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA541,2018-12-27,1,Protests,Peaceful protest,Protesters (Mauritania),Women (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA538,2018-12-24,1,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania); Labor Group (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA536,2018-12-20,1,Protests,Excessive force against protesters,Protesters (Mauritania),IRA: The Initiative for the Resurgence of Abolitionist Movement,Police Forces of Mauritania (2009-2019),,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National-International,0,MRT
MAA535,2018-12-18,1,Protests,Peaceful protest,Protesters (Mauritania),Students (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA525,2018-11-29,1,Protests,Peaceful protest,Protesters (Mauritania),Labor Group (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,National,0,MRT
MAA514,2018-10-08,1,Violence against civilians,Attack,Police Forces of Mauritania (2009-2019),,Civilians (Mauritania),Journalists (Mauritania),Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA513,2018-10-03,2,Protests,Protest with intervention,Protesters (Mauritania),Students (Mauritania),Police Forces of Mauritania (2009-2019),,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,Other,0,MRT
MAA512,2018-10-01,1,Protests,Peaceful protest,Protesters (Mauritania),Government of Mauritania (2009-2019),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA510,2018-09-04,1,Protests,Peaceful protest,Protesters (Mauritania),FNDU: National Forum for Democracy and Unity,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA509,2018-09-01,1,Strategic developments,Other,Government of Mauritania (2009-2019),,Civilians (Mauritania),,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA507,2018-08-13,1,Protests,Peaceful protest,Protesters (Mauritania),Journalists (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA505,2018-08-09,1,Protests,Peaceful protest,Protesters (Mauritania),Journalists (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA504,2018-08-06,1,Strategic developments,Arrests,Government of Mauritania (2009-2019),,Civilians (Mauritania),IRA: The Initiative for the Resurgence of Abolitionist Movement,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA500,2018-07-11,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,Other,0,MRT
MAA497,2018-06-06,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,Other,0,MRT
MAA496,2018-06-05,1,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA494,2018-06-04,1,Protests,Peaceful protest,Protesters (Mauritania),Teachers (Mauritania),,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA495,2018-06-04,1,Strategic developments,Change to group/activity,Military Forces of Mauritania (2009-2019),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA493,2018-05-28,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,Other,0,MRT
MAA492,2018-05-14,1,Strategic developments,Arrests,Police Forces of Mauritania (2009-2019),,Civilians (Mauritania),FNDU: National Forum for Democracy and Unity,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA491,2018-05-13,1,Protests,Peaceful protest,Protesters (Mauritania),FNDU: National Forum for Democracy and Unity,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA490,2018-05-10,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA488,2018-05-04,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA484,2018-04-05,1,Protests,Peaceful protest,Protesters (Mauritania),TPMC: Do Not Touch My Constitution Platform,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,International,0,MRT
MAA486,2018-04-03,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Nouakchott,Tevragh-Zeina,Nouakchott,18.0801,-15.9777,1,Other,0,MRT
