event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MUS225,2022-04-11,2,Protests,Peaceful protest,Protesters (Mauritius),,,,Mauritius,Black River,,Le Morne,-20.445,57.3327,1,National,0,MUS
MUS283,2022-07-21,1,Protests,Peaceful protest,Protesters (Mauritius),Farmers (Mauritius),,,Mauritius,Rodriguez,,Coromandel,-19.7138,63.475,1,National,0,MUS
MUS297,2022-09-09,1,Protests,Peaceful protest,Protesters (Mauritius),,,,Mauritius,Agalega,,Vingt Cinq,-10.3871,56.6179,2,National,0,MUS
MUS325,2022-11-28,1,Protests,Peaceful protest,Protesters (Mauritius),Labor Group (Mauritius),,,Mauritius,Rodriguez,,Port Mathurin,-19.6833,63.4166,1,National,0,MUS
MUS333,2022-12-23,1,Protests,Peaceful protest,Protesters (Mauritius),OPR: Organisation of the People of Rodrigues,,,Mauritius,Rodriguez,,Port Mathurin,-19.6833,63.4166,1,National,0,MUS
MUS334,2022-12-10,1,Riots,Mob violence,Rioters (Mauritius),Vigilante Group (Mauritius),Civilians (Mauritius),Labor Group (Mauritius),Mauritius,Black River,,La Preneuse,-20.3535,57.372,1,National,0,MUS
MUS191,2022-01-18,1,Riots,Mob violence,Rioters (Mauritius),Vigilante Group (Mauritius),Civilians (Mauritius),,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS192,2022-01-19,1,Protests,Peaceful protest,Protesters (Mauritius),Labor Group (Mauritius),,,Mauritius,Plaines Wilhems,,Quatre Bornes,-20.2643,57.48,1,National,0,MUS
MUS193,2022-01-20,1,Protests,Peaceful protest,Protesters (Mauritius),Teachers (Mauritius); UPSEE: Union of Private Secondary Education Employees,,,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS196,2022-01-20,1,Protests,Peaceful protest,Protesters (Mauritius),Labor Group (Mauritius),,,Mauritius,Plaines Wilhems,,Quatre Bornes,-20.2643,57.48,1,National,0,MUS
MUS198,2022-01-31,1,Protests,Peaceful protest,Protesters (Mauritius),Teachers (Mauritius); UPSEE: Union of Private Secondary Education Employees,,,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS203,2022-02-14,1,Protests,Peaceful protest,Protesters (Mauritius),Labor Group (Mauritius); Teachers (Mauritius),,,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS209,2022-03-03,1,Riots,Mob violence,Rioters (Mauritius),,Civilians (Mauritius),,Mauritius,Moka,,Soreze,-20.2066,57.4869,1,National,1,MUS
MUS213,2022-03-06,1,Riots,Mob violence,Rioters (Mauritius),Vigilante Group (Mauritius),Civilians (Mauritius),Men (Mauritius),Mauritius,Plaines Wilhems,,Quatre Bornes,-20.2643,57.48,1,National,0,MUS
MUS219,2022-03-26,1,Protests,Peaceful protest,Protesters (Mauritius),LPM: Linion Pep Morisien; Women (Mauritius),,,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS269,2022-06-09,1,Protests,Peaceful protest,Protesters (Mauritius),Teachers (Mauritius); UPSEE: Union of Private Secondary Education Employees,,,Mauritius,Plaines Wilhems,,Beau Bassin-Rose Hill,-20.2332,57.4661,1,National,0,MUS
MUS284,2022-07-15,1,Protests,Peaceful protest,Protesters (Mauritius),Labor Group (Mauritius),,,Mauritius,Black River,,Bambous,-20.2565,57.4144,1,National,0,MUS
