event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MAW441,2019-05-22,2,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Central,Kasungu,Kasungu,-13.0333,33.4833,1,National,0,MWI
MAW455,2019-06-07,1,Protests,Peaceful protest,Protesters (Malawi),MCP: Malawi Congress Party,,,Malawi,Northern,Karonga,Karonga,-9.9333,33.9333,1,National,0,MWI
MAW464,2019-06-20,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition; UTM: United Transformation Movement; MCP: Malawi Congress Party,,,Malawi,Southern,Zomba City,Zomba,-15.3833,35.3333,1,National,0,MWI
MAW477,2019-07-01,1,Protests,Peaceful protest,Protesters (Malawi),Women (Malawi),,,Malawi,Southern,Mangochi,Mangochi,-14.4667,35.2667,1,National,0,MWI
MAW480,2019-07-21,1,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Southern,Chiradzulu,Chiradzulu,-15.6746,35.1407,1,National,1,MWI
MAW496,2019-09-26,1,Protests,Peaceful protest,Protesters (Malawi),,,,Malawi,Northern,Mzimba,Mzuzu,-11.45,33.5833,1,National,0,MWI
MAW506,2019-10-08,1,Protests,Peaceful protest,Protesters (Malawi),Students (Malawi),,,Malawi,Southern,Machinga,Machinga,-14.9667,35.5167,1,National,0,MWI
MAW510,2019-10-16,1,Riots,Violent demonstration,Rioters (Malawi),Students (Malawi),,,Malawi,Southern,Thyolo,Thyolo,-16.0667,35.1333,1,National,0,MWI
MAW518,2019-10-29,1,Protests,Peaceful protest,Protesters (Malawi),Students (Malawi),,,Malawi,Southern,Balaka,Balaka,-14.9793,34.9558,1,National,0,MWI
MAW533,2019-12-06,1,Protests,Peaceful protest,Protesters (Malawi),Labor Group (Malawi),,,Malawi,Northern,Mzimba,Mzuzu,-11.45,33.5833,1,National,0,MWI
MAW531,2019-12-04,1,Protests,Peaceful protest,Protesters (Malawi),Women (Malawi),,,Malawi,Central,Kasungu,Kasungu,-13.0333,33.4833,1,National,0,MWI
MAW530,2019-12-03,1,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Central,Kasungu,Kasungu,-13.0333,33.4833,1,National,1,MWI
MAW529,2019-11-28,1,Protests,Peaceful protest,Protesters (Malawi),Health Workers (Malawi),,,Malawi,Central,Ntcheu,Ntcheu,-14.8167,34.6333,1,National,0,MWI
MAW528,2019-11-20,2,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Central,Dowa,Ntchisi,-13.5278,33.9149,1,National,2,MWI
MAW539,2019-12-26,1,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Northern,Karonga,Karonga,-9.9333,33.9333,1,National,3,MWI
MAW538,2019-12-24,1,Protests,Peaceful protest,Protesters (Malawi),Women (Malawi),,,Malawi,Northern,Karonga,Karonga,-9.9333,33.9333,1,National,0,MWI
MAW450,2019-06-04,1,Protests,Peaceful protest,Protesters (Malawi),MCP: Malawi Congress Party,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National-International,0,MWI
MAW468,2019-07-04,1,Riots,Violent demonstration,Rioters (Malawi),HRDC: Human Rights Defenders Coalition,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National-International,0,MWI
MAW507,2019-10-10,2,Violence against civilians,Attack,Unidentified Armed Group (Malawi),,Civilians (Malawi),HRDC: Human Rights Defenders Coalition,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Local partner-Other,0,MWI
MAW527,2019-11-20,1,Riots,Violent demonstration,Rioters (Malawi),Street Traders (Malawi),,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Subnational-National,0,MWI
MAW473,2019-07-05,1,Protests,Peaceful protest,Protesters (Malawi),,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,International,0,MWI
MAW472,2019-07-05,1,Protests,Peaceful protest,Protesters (Malawi),,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,International,0,MWI
MAW485,2019-08-06,1,Riots,Violent demonstration,Rioters (Malawi),,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,International,0,MWI
MAW534,2019-12-10,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition; Lawyers (Malawi),,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Subnational,0,MWI
MAW540,2019-12-28,1,Riots,Mob violence,Rioters (Malawi),Vigilante Group (Malawi),Civilians (Malawi),,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,2,National,2,MWI
MAW487,2019-08-07,1,Protests,Peaceful protest,Protesters (Malawi),,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW512,2019-10-25,1,Protests,Peaceful protest,Protesters (Malawi),WMM: Women Manifesto Movement; Women (Malawi),,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW532,2019-12-05,1,Riots,Violent demonstration,Rioters (Malawi),,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW514,2019-10-21,2,Protests,Peaceful protest,Protesters (Malawi),Labor Group (Malawi),,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW505,2019-10-08,1,Protests,Peaceful protest,Protesters (Malawi),Students (Malawi),,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW508,2019-10-14,1,Protests,Peaceful protest,Protesters (Malawi),Students (Malawi),,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW478,2019-07-19,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW517,2019-10-28,1,Riots,Violent demonstration,Rioters (Malawi),Students (Malawi),,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW515,2019-10-21,2,Protests,Peaceful protest,Protesters (Malawi),Labor Group (Malawi),,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW475,2019-07-19,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW451,2019-06-04,1,Protests,Peaceful protest,Protesters (Malawi),MCP: Malawi Congress Party,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW449,2019-05-31,1,Protests,Peaceful protest,Protesters (Malawi),MCP: Malawi Congress Party,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW492,2019-09-18,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition,,,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,International,0,MWI
MAW493,2019-09-18,1,Protests,Peaceful protest,Protesters (Malawi),HRDC: Human Rights Defenders Coalition,,,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Regional,0,MWI
MAW489,2019-08-22,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Malawi),,Civilians (Malawi),HRDC: Human Rights Defenders Coalition,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW488,2019-08-09,1,Strategic developments,Looting/property destruction,DPP: Democratic Progressive Party,,Civilians (Malawi),MCP: Malawi Congress Party,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National,0,MWI
MAW459,2019-06-13,1,Riots,Violent demonstration,Rioters (Malawi),MCP: Malawi Congress Party,Civilians (Malawi),DPP: Democratic Progressive Party,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,National,0,MWI
MAW513,2019-10-21,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Malawi),,Civilians (Malawi),HRCC: Human Rights Consultative Committee,Malawi,Central,Lilongwe City,Lilongwe,-13.9833,33.7833,1,Local partner-Other,0,MWI
MAW682,2019-12-15,2,Riots,Mob violence,Rioters (Malawi),,Rioters (Malawi),,Malawi,Northern,Nkhata Bay,Timbiri,-11.5462,34.1887,2,National,4,MWI
MAW469,2019-07-04,1,Protests,Excessive force against protesters,Protesters (Malawi),HRDC: Human Rights Defenders Coalition,Rioters (Malawi),DPP: Democratic Progressive Party,Malawi,Southern,Blantyre City,Blantyre,-15.7833,35.0,1,National-International,0,MWI
