event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
MYS186,2018-11-17,1,Protests,Peaceful protest,Protesters (Malaysia),UMNO: United Malays National Organization; PAS: Malaysian Islamic Party,,,Malaysia,Perak,Central Perak,Kampung Gajah,4.1864,100.9396,1,National,0,MYS
MYS94,2018-07-21,1,Protests,Peaceful protest,Protesters (Malaysia),Students (Malaysia),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0,MYS
MYS29,2018-03-24,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0,MYS
MYS34,2018-04-01,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0,MYS
MYS71,2018-06-13,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Penang,Northeast Penang Island,George Town,5.4112,100.3354,1,National,0,MYS
MYS97,2018-07-27,1,Protests,Peaceful protest,Protesters (Malaysia),Malaysian Tamilar Kural; Tamil Ethnic Group (Malaysia),Protesters (Malaysia),Muslim Group (Malaysia),Malaysia,Penang,Northeast Penang Island,George Town,5.4112,100.3354,1,National,0,MYS
MYS15,2018-02-12,2,Protests,Peaceful protest,Protesters (Malaysia),PKR: People's Justice Party,,,Malaysia,Penang,Northeast Penang Island,George Town,5.4112,100.3354,1,National,0,MYS
MYS158,2018-10-24,1,Protests,Peaceful protest,Protesters (Malaysia),DSM: Desak Sampai Masuh,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0,MYS
MYS111,2018-08-18,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Selangor,Petaling,Petaling Jaya,3.1381,101.5381,1,International,0,MYS
MYS73,2018-06-24,1,Protests,Peaceful protest,Protesters (Malaysia),Hindu Group (Malaysia),,,Malaysia,Selangor,Gombak,Batu Caves,3.238,101.682,1,National,0,MYS
MYS182,2018-11-16,1,Protests,Peaceful protest,Protesters (Malaysia),UMNO: United Malays National Organization; PAS: Malaysian Islamic Party,,,Malaysia,Perak,Kinta,Ipoh,4.5841,101.0829,1,National,0,MYS
MYS174,2018-11-09,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Selangor,Petaling,Subang Jaya,3.0438,101.5806,1,National,0,MYS
MYS209,2018-12-11,1,Protests,Peaceful protest,Protesters (Malaysia),UMNO: United Malays National Organization; PAS: Malaysian Islamic Party,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0,MYS
MYS184,2018-11-16,1,Protests,Peaceful protest,Protesters (Malaysia),UMNO: United Malays National Organization; PAS: Malaysian Islamic Party,,,Malaysia,Kelantan,Bharu,Kota Bharu,6.1332,102.2386,1,National,0,MYS
MYS63,2018-05-31,1,Protests,Peaceful protest,Protesters (Malaysia),Muslim Group (Malaysia); Tamil Ethnic Group (Malaysia),,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,National,0,MYS
MYS183,2018-11-16,1,Protests,Peaceful protest,Protesters (Malaysia),UMNO: United Malays National Organization; PAS: Malaysian Islamic Party,,,Malaysia,Pahang,Kuantan,Kuantan,3.8077,103.326,1,National,0,MYS
