event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
NIR545,2017-07-06,1,Explosions/Remote violence,Air/drone strike,Military Forces of Niger (2011-2021),,Civilians (Niger),Civilians (Nigeria),Niger,Diffa,Diffa,Abadam,13.6265,13.2516,1,Other-International,14,NER
NIR576,2017-12-31,1,Protests,Peaceful protest,Protesters (Niger),,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR575,2017-12-22,1,Protests,Protest with intervention,Protesters (Niger),,Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR574,2017-12-12,1,Protests,Peaceful protest,Protesters (Niger),Students (Niger),,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR572,2017-11-21,1,Battles,Armed clash,Unidentified Communal Militia (Niger),Farmers (Niger),Unidentified Communal Militia (Niger),Pastoralists (Niger),Niger,Maradi,Ville de Maradi,Maradi,13.5,7.1017,2,International,3,NER
NIR571,2017-11-20,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Niger),Journalists (Niger),Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR569,2017-11-02,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,,,Niger,Tillaberi,Tera,Dolbel,14.6119,0.2765,1,Local partner-New media,0,NER
NIR555,2017-08-28,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Tillaberi,Bankilare,Bankilare,14.5792,0.7222,2,New media,0,NER
NIR551,2017-08-14,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Military Forces of Niger (2011-2021),,Niger,Agadez,Bilma,Dirkou,18.98,12.85,2,Local partner-New media,4,NER
NIR546,2017-07-15,3,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Diffa,Bosso,Dagaya,13.5518,13.0635,1,Other,5,NER
NIR548,2017-07-15,3,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Pastoralists (Niger),Niger,Diffa,N'Guigmi,NGuigmi,14.2495,13.1092,1,Other,1,NER
NIR544,2017-07-05,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,Military Forces of Niger (2011-2021),Military Forces of France (2017-),Niger,Tahoua,Tassara,Midal,16.9172,4.4544,1,Local partner-New media,5,NER
NIR541,2017-05-31,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Abala,Abala,14.9321,3.4298,1,Local partner-New media,8,NER
NIR538,2017-05-10,1,Protests,Protest with intervention,Protesters (Niger),,Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR537,2017-04-30,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Tera,Foneko,14.2058,0.7438,1,Local partner-New media,2,NER
NIR536,2017-04-28,1,Battles,Armed clash,Military Forces of Niger (2011-2021),,Unidentified Armed Group (Niger),,Niger,Agadez,Aderbissinat,Ighayen,16.4397,7.9731,1,Local partner-New media,1,NER
NIR535,2017-04-15,1,Protests,Protest with intervention,Protesters (Niger),Students (Niger),Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR534,2017-04-12,2,Riots,Mob violence,Rioters (Niger),Students (Niger),Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR533,2017-04-10,1,Riots,Violent demonstration,Rioters (Niger),Students (Niger),Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,1,NER
NIR526,2017-03-06,1,Battles,Armed clash,Military Forces of Niger (2011-2021),,Islamist Militia (Niger),,Niger,Tillaberi,Tera,Dolbel,14.6119,0.2765,1,International,0,NER
NIR527,2017-03-06,1,Battles,Armed clash,Islamist Militia (Niger),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Bankilare,Bankilare,14.5792,0.7222,2,Local partner-New media,7,NER
NIR524,2017-03-04,1,Protests,Peaceful protest,Protesters (Niger),,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR522,2017-02-27,1,Battles,Armed clash,Military Forces of Niger (2011-2021),,Unidentified Armed Group (Niger),,Niger,Agadez,Tchirozerine,Agadez,16.97,7.99,2,International,6,NER
NIR519,2017-02-04,1,Protests,Peaceful protest,Protesters (Niger),,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR518,2017-01-24,1,Strategic developments,Other,MSF: Multinational Security Force,,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,3,International,0,NER
NIR515,2017-01-08,1,Protests,Peaceful protest,Protesters (Niger),PNDS: Nigerien Party for Democracy and Socialism,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR568,2017-10-29,1,Riots,Violent demonstration,Rioters (Niger),MODEN/FA-Lumana: Nigerien Democratic Movement for an African Federation,Police Forces of Niger (2011-2021),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0,NER
NIR549,2017-07-21,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Diffa,Diffa,Ngarwa-Koura,13.379,12.7569,1,Other,0,NER
NIR516,2017-01-21,1,Battles,Armed clash,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Military Forces of Niger (2011-2021),,Niger,Diffa,Diffa,Gueskerou,13.4868,12.8497,1,International,2,NER
NIR517,2017-01-21,1,Explosions/Remote violence,Air/drone strike,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Military Forces of Niger (2011-2021),,Niger,Diffa,Diffa,Gueskerou,13.4868,12.8497,2,International,3,NER
NIR529,2017-03-29,1,Battles,Armed clash,Military Forces of Niger (2011-2021),Military Forces of Chad (1990-2021),Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Niger,Diffa,Bosso,Bosso,13.6987,13.3095,2,International,4,NER
NIR532,2017-04-09,1,Battles,Armed clash,Military Forces of Niger (2011-2021),,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Niger,Diffa,Diffa,Gueskerou,13.4868,12.8497,1,Local partner-New media,57,NER
NIR542,2017-06-28,1,Violence against civilians,Attack,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Nigeria),Refugees/IDPs (Nigeria),Niger,Diffa,N'Guigmi,Kablewa,13.9768,12.9785,1,Regional-International,5,NER
NIR543,2017-07-02,1,Violence against civilians,Attack,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),Women (Nigeria),Niger,Diffa,N'Guigmi,Nglea,14.0163,13.0252,1,Other-International,9,NER
NIR552,2017-08-19,1,Battles,Armed clash,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Military Forces of Niger (2011-2021),,Niger,Diffa,N'Guigmi,Baroua Gana,13.8986,13.1544,2,Regional,20,NER
NIR553,2017-08-20,1,Battles,Armed clash,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Military Forces of Niger (2011-2021),,Niger,Diffa,N'Guigmi,Baroua Gana,13.8986,13.1544,2,Regional,20,NER
NIR556,2017-09-02,1,Violence against civilians,Attack,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,N'Guigmi,Koutou,14.2808,13.1988,1,International,1,NER
NIR557,2017-09-04,1,Violence against civilians,Abduction/forced disappearance,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,N'Guigmi,NGuigmi,14.2495,13.1092,1,International,0,NER
NIR561,2017-10-04,1,Battles,Armed clash,Islamic State in the Greater Sahara (ISGS),,Military Forces of Niger (2011-2021),Military Forces of the United States (2017-2021),Niger,Tillaberi,Ouallam,Tongo Tongo,15.0522,1.8318,1,Local partner-New media,8,NER
NIR567,2017-10-27,1,Violence against civilians,Attack,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),Teachers (Niger),Niger,Diffa,Diffa,Gueskerou,13.4868,12.8497,1,International,1,NER
NIR521,2017-02-22,1,Battles,Armed clash,Islamic State in the Greater Sahara (ISGS),,Military Forces of Niger (2011-2021),,Niger,Tillaberi,Ouallam,Mangaize,14.6806,1.9508,2,Other-National,16,NER
NIR520,2017-02-21,1,Battles,Armed clash,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Military Forces of Niger (2011-2021),,Niger,Diffa,Diffa,Diffa,13.32,12.61,3,Other,3,NER
NIR547,2017-07-15,3,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,Civilians (Nigeria),Refugees/IDPs (Nigeria); Women (Nigeria),Niger,Diffa,Diffa,Diffa,13.32,12.61,3,Other,0,NER
NIR550,2017-07-25,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Niger (2011-2021),,Civilians (Niger),,Niger,Diffa,Diffa,Diffa,13.32,12.61,3,Other,2,NER
NIR523,2017-03-03,1,Battles,Armed clash,Military Forces of Niger (2011-2021),,Police Forces of Niger (2011-2021),,Niger,Dosso,Dosso,Dosso,13.051,3.2068,1,International,1,NER
NIR525,2017-03-05,1,Battles,Armed clash,Military Forces of Niger (2011-2021) Gendarmerie,,JNIM: Group for Support of Islam and Muslims,,Niger,Tillaberi,Tillaberi,Tillaberi,14.2117,1.4531,2,Regional-International,5,NER
NIR562,2017-10-05,2,Battles,Armed clash,Military Forces of France (2017-),,Unidentified Armed Group (Niger),,Niger,Tillaberi,Tillaberi,Tillaberi,14.2117,1.4531,2,Regional,0,NER
NIR563,2017-10-12,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Tillaberi,Tera,Kolman,14.7588,0.6392,1,Local partner-New media,0,NER
NIR564,2017-10-21,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Ayerou,In-Ates,15.2333,1.3143,1,Local partner-New media,0,NER
NIR570,2017-11-06,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Mali),Health Workers (Niger),Niger,Tillaberi,Tillaberi,Dangala,14.3138,1.2997,1,National,0,NER
NIR559,2017-09-23,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Police Forces of Niger (2011-2021),Military Forces of Niger (2011-2021) Gendarmerie,Niger,Agadez,Ingall,Assamakka,19.3347,5.772,1,Local partner-New media,5,NER
NIR560,2017-09-24,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Police Forces of Niger (2011-2021),Military Forces of Niger (2011-2021) Gendarmerie,Niger,Agadez,Ingall,Assamakka,19.3347,5.772,1,Local partner-New media,5,NER
NIR540,2017-05-27,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Police Forces of Niger (2011-2021),,Niger,Tillaberi,Tera,Petelkole,14.0093,0.4148,1,Local partner-New media,3,NER
NIR539,2017-05-11,1,Battles,Armed clash,Unidentified Armed Group (Niger),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Ayerou,Ayorou,14.7342,0.9197,1,Local partner-New media,0,NER
NIR558,2017-09-06,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Mali),,Niger,Tillaberi,Ayerou,Ayorou,14.7342,0.9197,1,New media,0,NER
NIR566,2017-10-21,1,Battles,Armed clash,Islamic State in the Greater Sahara (ISGS),,Military Forces of Niger (2011-2021) Gendarmerie,,Niger,Tillaberi,Ayerou,Ayorou,14.7342,0.9197,1,Regional-International,13,NER
