event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
NIG39791,2025-01-07,2,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),,Islamic State West Africa Province (ISWAP),,Nigeria,Borno,Damboa,Damboa,11.1503,12.7599,2,National,10,NGA
NIG39795,2025-01-07,1,Protests,Peaceful protest,Protesters (Nigeria),Former Military Forces of Nigeria (2023-),,,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0,NGA
NIG39796,2025-01-03,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),Farmers (Nigeria),Nigeria,Kogi,Kabba,Odo-Ape,7.8965,6.2057,1,National,2,NGA
NIG39799,2025-01-04,1,Violence against civilians,Attack,Isu Communal Militia (Nigeria),,Civilians (Nigeria),Farmers (Nigeria),Nigeria,Cross River,Odukpani,Ukwa,5.4694,8.0112,1,National,2,NGA
NIG39803,2025-01-09,1,Battles,Armed clash,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Police Forces of Nigeria (2023-),,Nigeria,Borno,Nganzai,Gajiram,12.493,13.2091,1,National-Regional,2,NGA
NIG39804,2025-01-03,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Farmers (Nigeria),Nigeria,Jigawa,Jahun,Jahun,12.0741,9.6279,2,National-Regional,0,NGA
NIG39806,2025-01-04,2,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Nigeria,Niger,Shiroro,Alawa,10.3228,6.6542,1,National,10,NGA
NIG39807,2025-01-05,1,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,,Civilians (Nigeria),Labor Group (Nigeria),Nigeria,Imo,Orsu,Orsu,5.8615,6.9976,2,National,9,NGA
NIG39808,2025-01-05,1,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,,Civilians (Nigeria),,Nigeria,Imo,Orsu,Umuahu Okabia,5.8504,6.9831,1,National,3,NGA
NIG39809,2025-01-05,1,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,,Civilians (Nigeria),,Nigeria,Imo,Orsu,Eziawa,5.8324,6.9709,1,National,5,NGA
NIG39810,2025-01-05,1,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,,Civilians (Nigeria),,Nigeria,Imo,Orsu,Ihitte Nansa,5.8743,6.9929,1,National,5,NGA
NIG39811,2025-01-06,1,Strategic developments,Change to group/activity,Government of Nigeria (2023-),,,,Nigeria,Ondo,Owo,Owo,7.1962,5.5868,1,National,0,NGA
NIG39812,2025-01-08,1,Battles,Armed clash,Greenlanders (Nigeria),,Bobos Cult (Nigeria),,Nigeria,Bayelsa,Yenagoa,Yenagoa,4.9247,6.2642,1,National,2,NGA
NIG39813,2025-01-07,1,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State West Africa Province (ISWAP),,Civilian JTF: Civilian Joint Task Force,,Nigeria,Borno,Damboa,Wajiroko,10.9339,12.5268,2,National,1,NGA
NIG39815,2025-01-03,1,Battles,Armed clash,Hausa Ethnic Militia (Nigeria),,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Nigeria,Jigawa,Jahun,Jahun,12.0741,9.6279,2,National-Regional,5,NGA
NIG39816,2025-01-07,1,Battles,Armed clash,Islamic State West Africa Province (ISWAP),,Military Forces of Nigeria (2023-),,Nigeria,Borno,Gwoza,Yamtaji,11.1222,13.51,2,National,1,NGA
NIG39826,2025-01-05,1,Battles,Armed clash,Kaduna Communal Militia (Nigeria),,Military Forces of Nigeria (2023-),,Nigeria,Kaduna,Chikun,Kujama,10.4542,7.6368,1,National,2,NGA
NIG39833,2025-01-07,1,Battles,Armed clash,Katsina Communal Militia (Nigeria),,Katsina State Community Watch Corps (Nigeria),Safana Communal Militia (Nigeria),Nigeria,Katsina,Safana,Baure,12.6324,7.2635,1,Other-National,25,NGA
NIG39838,2025-01-04,1,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); MACBAN: Miyetti Allah Cattle Breeders Association of Nigeria; Pastoralists (Nigeria),Nigeria,Katsina,Kusada,Kusada,12.4641,7.9811,2,National,1,NGA
NIG39851,2025-01-09,1,Protests,Peaceful protest,Protesters (Nigeria),Students (Nigeria),,,Nigeria,Ogun,Abeokuta South,Abeokuta,7.15,3.35,1,Regional,0,NGA
NIG39852,2025-01-04,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Kogi,Kabba,Odo-Ape,7.8965,6.2057,1,National,0,NGA
NIG39853,2025-01-06,1,Battles,Armed clash,Military Forces of Nigeria (2023-),,Sokoto Communal Militia (Nigeria),,Nigeria,Sokoto,Sabon Birni,Tidibali,13.3951,6.1018,1,National,10,NGA
NIG39859,2025-01-06,2,Battles,Armed clash,Military Forces of Nigeria (2023-),,Unidentified Armed Group (Nigeria),,Nigeria,Rivers,Ahoada West,Egbema,4.9304,6.5474,2,National,2,NGA
NIG39860,2025-01-04,1,Battles,Armed clash,Military Forces of Nigeria (2023-),Jibia Communal Militia (Nigeria); Katsina State Community Watch Corps (Nigeria); Police Forces of Nigeria (2023-); Police Forces of Nigeria (2023-) Department of State Services,Katsina Communal Militia (Nigeria),,Nigeria,Katsina,Jibia,Jibia,13.0978,7.2225,2,National,80,NGA
NIG39861,2025-01-09,1,Battles,Armed clash,Military Forces of Nigeria (2023-),Katsina State Community Watch Corps (Nigeria); Police Forces of Nigeria (2023-); Police Forces of Nigeria (2023-) NSCDC: Nigeria Security and Civil Defence Corps,Katsina Communal Militia (Nigeria),,Nigeria,Katsina,Batsari,Batsari,12.7515,7.2447,1,National,11,NGA
NIG39869,2025-01-07,1,Violence against civilians,Attack,Unidentified Cult Militia (Nigeria),,Civilians (Nigeria),Labor Group (Nigeria),Nigeria,Ogun,Odedah,Obantoko,7.1774,3.3989,1,National,1,NGA
NIG39876,2025-01-07,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Ogun,Odedah,Obantoko,7.1774,3.3989,1,National,0,NGA
NIG39878,2025-01-09,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Kaduna,Kauru,Kauru,10.576,8.1509,1,National-Regional,0,NGA
NIG39881,2025-01-03,1,Riots,Mob violence,Rioters (Nigeria),Vigilante Group (Nigeria),Civilians (Nigeria),,Nigeria,Ebonyi,Afikpo North,Enohia Itim,5.8358,7.923,1,National,1,NGA
NIG39882,2025-01-03,1,Strategic developments,Looting/property destruction,Katsina Communal Militia (Nigeria),,Civilians (Nigeria),,Nigeria,Katsina,Kafur,Kuringafa,11.6748,7.5681,2,National,0,NGA
NIG39884,2025-01-03,1,Riots,Mob violence,Rioters (Nigeria),Ido-Osun Communal Militia (Nigeria),Civilians (Nigeria),,Nigeria,Osun,Egbedore,Ido-Osun,7.7804,4.482,1,National-Regional,0,NGA
NIG39888,2025-01-04,1,Battles,Armed clash,Police Forces of Nigeria (2023-),,Katsina Communal Militia (Nigeria),,Nigeria,Katsina,Kusada,Kofa,12.4568,7.8981,1,National,2,NGA
NIG39889,2025-01-04,1,Battles,Armed clash,Police Forces of Nigeria (2023-),,Unidentified Armed Group (Nigeria),,Nigeria,Imo,Ohaji,Umu-Okanne,5.356,6.9059,1,National,2,NGA
NIG39891,2025-01-04,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),,Nigeria,Imo,Ohaji,Umu-Okanne,5.356,6.9059,1,National,0,NGA
NIG39892,2025-01-03,1,Battles,Armed clash,Police Forces of Nigeria (2023-),,Katsina Communal Militia (Nigeria),,Nigeria,Katsina,Funtua,Funtua,11.5233,7.3081,2,National,0,NGA
NIG39893,2025-01-03,1,Battles,Armed clash,Police Forces of Nigeria (2023-),,Katsina Communal Militia (Nigeria),,Nigeria,Katsina,Malumfashi,Karfi,11.7247,7.4888,2,National,0,NGA
NIG39897,2025-01-02,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),Teachers (Nigeria),Nigeria,Kogi,Dekina,Ayangba,7.5036,7.1744,2,Regional,0,NGA
NIG39901,2025-01-06,1,Battles,Armed clash,Unidentified Cult Militia (Nigeria),,Unidentified Cult Militia (Nigeria),,Nigeria,Ondo,Owo,Owo,7.1962,5.5868,1,National-Regional,4,NGA
NIG40123,2025-01-02,1,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),,Civilians (Nigeria),Labor Group (Nigeria),Nigeria,Katsina,Batsari,Batsari,12.7515,7.2447,2,National,1,NGA
NIG40175,2025-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),,Nigeria,Edo,Uhunmwode,Ehor,6.6156,5.9838,1,National,0,NGA
NIG40238,2025-01-01,1,Riots,Mob violence,Rioters (Nigeria),,Civilians (Nigeria),PDP: People's Democratic Party,Nigeria,Kaduna,Kaduna North,Kawo,10.5777,7.4485,1,National,0,NGA
NIG39903,2025-01-07,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),Catholic Christian Group (Nigeria); Women (Nigeria),Nigeria,Anambra,Orumba North,Ufuma,6.0806,7.1929,2,National,0,NGA
NIG40267,2025-01-15,1,Protests,Peaceful protest,Protesters (Nigeria),Students (Nigeria),,,Nigeria,Ogun,Abeokuta South,Abeokuta,7.15,3.35,1,National,0,NGA
NIG40268,2025-01-12,1,Violence against civilians,Attack,Police Forces of Nigeria (2023-),,Civilians (Nigeria),Former Government of Nigeria (2023-),Nigeria,Bauchi,Bauchi,Bauchi,10.3134,9.8433,1,National,0,NGA
