event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
NEP9008,2021-01-01,1,Protests,Peaceful protest,Protesters (Nepal),RPP: National Democratic Party; Hindu Group (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9009,2021-01-01,2,Protests,Peaceful protest,Protesters (Nepal),Labor Group (Nepal),,,Nepal,Lumbini,Dang,Lamahi,27.8729,82.5228,1,National,0,NPL
NEP9013,2021-01-06,2,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Teachers (Nepal),,,Nepal,Karnali,Jajarkot,Bheri,28.7096,82.1637,1,National,0,NPL
NEP9016,2021-01-08,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Surkhet,Chhinchu,28.4307,81.7272,1,National,0,NPL
NEP9012,2021-01-06,1,Protests,Peaceful protest,Protesters (Nepal),Hindu Group (Nepal),,,Nepal,Koshi,Sunsari,Itahari,26.6637,87.274,1,National,0,NPL
NEP9015,2021-01-08,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Koshi,Morang,Kanepokhari,26.6599,87.4962,1,National,0,NPL
NEP9090,2021-01-11,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); NC: Nepali Congress,,,Nepal,Gandaki,Nawalpur,Kawasoti,27.6282,84.1056,1,National,0,NPL
NEP9164,2021-01-17,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Karnali,Dailekh,Aathbis,29.0243,81.4808,1,Local partner-National,0,NPL
NEP9165,2021-01-18,1,Protests,Peaceful protest,Protesters (Nepal),Health Workers (Nepal),,,Nepal,Koshi,Sunsari,Dharan,26.8144,87.2797,1,Local partner-National,0,NPL
NEP9178,2021-01-20,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,National,0,NPL
NEP9251,2021-01-22,1,Explosions/Remote violence,Remote explosive/landmine/IED,CPN(M)-NBC: Communist Party of Nepal (Maoist)-Netra Bikram Chand,,,,Nepal,Bagmati,Kavrepalanchok,Banepa,27.6325,85.5219,2,Local partner-National,0,NPL
NEP9254,2021-01-24,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9266,2021-02-01,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Rioters (Nepal),NCP: Nepal Communist Party,Nepal,Bagmati,Nuwakot,Bidur,27.9139,85.1428,2,Local partner-National,0,NPL
NEP9268,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,,,Nepal,Bagmati,Chitwan,Bharatpur,27.6768,84.4359,2,Local partner-National,0,NPL
NEP9269,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Civilians (Nepal),Labor Group (Nepal),Nepal,Koshi,Morang,Biratnagar,26.4551,87.2701,1,Local partner-National,0,NPL
NEP9275,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,Local partner-National,0,NPL
NEP9276,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,Protesters (Nepal),NCP: Nepal Communist Party,Nepal,Gandaki,Kaski,Pokhara,28.2669,83.9685,1,Local partner-National,0,NPL
NEP9274,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),,,Nepal,Bagmati,Lalitpur,Lalitpur,27.6743,85.3183,1,National,0,NPL
NEP9358,2021-02-09,1,Protests,Peaceful protest,Protesters (Nepal),NSU: Nepal Student Union; Students (Nepal),,,Nepal,Sudurpashchim,Kailali,Dhangadhi,28.7079,80.5961,1,Local partner-National,0,NPL
NEP9363,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); NCP: Nepal Communist Party,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9365,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),Women (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9283,2021-02-04,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Lumbini,Palpa,Tansen,27.8673,83.5467,1,National,0,NPL
NEP9277,2021-01-30,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Nuwakot,Belkotgadhi,27.8259,85.1114,2,National,0,NPL
NEP9278,2021-01-30,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Rasuwa,Rasuwa Gadhi,28.2768,85.3795,2,National,0,NPL
NEP9279,2021-02-03,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Gandaki,Myagdi,Beni,28.3454,83.5651,1,National,0,NPL
NEP9361,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),ANWA(R): All Nepal Women's Association (Revolutionary); Women (Nepal); NWA: Nepal Women Association,,,Nepal,Gandaki,Myagdi,Beni,28.3454,83.5651,1,National,0,NPL
NEP9281,2021-02-04,1,Riots,Violent demonstration,Rioters (Nepal),NCP: Nepal Communist Party,Rioters (Nepal),NCP: Nepal Communist Party,Nepal,Bagmati,Sindhuli,Kamalamai,27.15,85.9,1,National,0,NPL
NEP9357,2021-02-08,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Labor Group (Nepal),,,Nepal,Bagmati,Nuwakot,Bidur,27.9139,85.1428,1,National,0,NPL
NEP9280,2021-02-03,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,,,Nepal,Gandaki,Myagdi,Darbang,28.414,83.3876,1,National,0,NPL
NEP9369,2021-02-12,2,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Karnali,Jajarkot,Khalanga,28.7177,82.2019,1,National,0,NPL
NEP9305,2021-02-06,2,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Sudurpashchim,Baitadi,Dogadakedar,29.5913,80.529,1,National,0,NPL
NEP9356,2021-02-07,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Teachers (Nepal),,,Nepal,Sudurpashchim,Baitadi,Dasharathchand,29.5547,80.4267,1,National,0,NPL
NEP9368,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),Women (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9362,2021-02-11,1,Protests,Peaceful protest,Protesters (Nepal),NYFN: National Youth Federation Nepal,,,Nepal,Lumbini,Rupandehi,Butwal,27.7006,83.4484,1,National,0,NPL
NEP9366,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal); Women (Nepal),,,Nepal,Lumbini,Dang,Ghorahi,28.046,82.4879,1,National,0,NPL
NEP9367,2021-02-12,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9372,2021-02-13,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9442,2021-02-16,1,Riots,Mob violence,Rioters (Nepal),NCP: Nepal Communist Party; Students (Nepal); Hindu Group (Nepal),Rioters (Nepal),NCP: Nepal Communist Party; Students (Nepal); Hindu Group (Nepal),Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Local partner-National,0,NPL
NEP9441,2021-02-16,2,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,,,Nepal,Sudurpashchim,Baitadi,Dilasaini,29.6507,80.6015,2,National,0,NPL
NEP9443,2021-02-18,1,Protests,Peaceful protest,Protesters (Nepal),ANNFSU: All Nepal National Free Students' Union; Students (Nepal),,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9456,2021-02-21,1,Protests,Peaceful protest,Protesters (Nepal),ANWA: All Nepal Women's Association; Women (Nepal),,,Nepal,Karnali,Jajarkot,Khalanga,28.7177,82.2019,1,National,0,NPL
NEP9458,2021-02-21,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Urlabari,26.6699,87.6348,1,National,0,NPL
NEP9460,2021-02-22,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Urlabari,26.6699,87.6348,1,National,0,NPL
NEP9454,2021-02-20,1,Protests,Peaceful protest,Protesters (Nepal),NSU: Nepal Student Union; Students (Nepal),,,Nepal,Bagmati,Sindhupalchok,Tripurasundari,27.7521,85.952,2,National,0,NPL
NEP9469,2021-03-05,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Lalitpur,Bhaisepati,27.6505,85.3063,1,National-International,0,NPL
NEP9467,2021-03-01,2,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Dhading,Tripurasundari,28.0198,84.8714,1,National,0,NPL
NEP9465,2021-02-28,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Kerabari,26.7663,87.4125,1,National,0,NPL
NEP9463,2021-02-27,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Koshi,Morang,Kerabari,26.7663,87.4125,1,National,0,NPL
NEP9466,2021-03-01,1,Protests,Peaceful protest,Protesters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9462,2021-02-24,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,National,0,NPL
NEP9468,2021-03-04,1,Riots,Violent demonstration,Rioters (Nepal),,,,Nepal,Lumbini,Rupandehi,Butwal,27.7006,83.4484,2,National,0,NPL
