event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
OMN22,2021-05-20,1,Protests,Peaceful protest,Protesters (Oman),Protesters (Palestine),,,Oman,Muscat,Bawshar,Muscat - Hayy As Saruj,23.6086,58.4484,1,Other-Regional,0,OMN
OMN44,2021-07-29,1,Explosions/Remote violence,Air/drone strike,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,Civilians (Romania),Private Security Forces (United Kingdom),Oman,Ash Sharqiyah South,Masirah,Coast of Bandar Qurun,21.3214,59.3784,2,Other-Regional,2,OMN
OMN43,2021-07-05,2,Strategic developments,Other,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,Civilians (International),,Oman,Al Batinah North,Sohar,Coast of Sohar,24.4028,56.8522,2,International,0,OMN
OMN23,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ad Dakhiliyah,Nizwa,Nizwa,22.9333,57.5333,1,Regional-International,0,OMN
OMN24,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ad Dhahirah,Ibri,Ibri,23.2257,56.5157,1,Regional-International,0,OMN
OMN25,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Al Batinah North,Sohar,Sohar,24.3502,56.7077,1,Regional-International,0,OMN
OMN26,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Al Batinah South,Ar Rustaq,Rustaq,23.3908,57.4244,1,Regional-International,0,OMN
OMN27,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ash Sharqiyah South,Sur,Sur,22.5667,59.5289,1,Regional-International,0,OMN
OMN28,2021-05-23,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Dhofar,Salalah,Salalah,17.0151,54.0924,1,Regional-International,0,OMN
OMN29,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Ad Dakhiliyah,Nizwa,Nizwa,22.9333,57.5333,1,Regional-International,0,OMN
OMN30,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Ad Dhahirah,Ibri,Ibri,23.2257,56.5157,1,Regional-International,0,OMN
OMN31,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Al Batinah North,Sohar,Sohar,24.3502,56.7077,1,Other-Regional,0,OMN
OMN32,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Al Batinah South,Ar Rustaq,Rustaq,23.3908,57.4244,1,Regional-International,0,OMN
OMN33,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Ash Sharqiyah South,Sur,Sur,22.5667,59.5289,1,Regional-International,0,OMN
OMN34,2021-05-24,1,Riots,Violent demonstration,Rioters (Oman),Labor Group (Oman),Police Forces of Oman (2020-),,Oman,Dhofar,Salalah,Salalah,17.0151,54.0924,1,Other-Regional,0,OMN
OMN35,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ad Dakhiliyah,Nizwa,Nizwa,22.9333,57.5333,1,Regional-International,0,OMN
OMN36,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ad Dhahirah,Ibri,Ibri,23.2257,56.5157,1,Regional-International,0,OMN
OMN37,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Al Batinah North,Sohar,Sohar,24.3502,56.7077,1,Other-Regional,0,OMN
OMN38,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Al Batinah South,Ar Rustaq,Rustaq,23.3908,57.4244,1,Regional-International,0,OMN
OMN39,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Ash Sharqiyah South,Sur,Sur,22.5667,59.5289,1,Regional-International,0,OMN
OMN40,2021-05-25,1,Protests,Peaceful protest,Protesters (Oman),Labor Group (Oman),,,Oman,Dhofar,Salalah,Salalah,17.0151,54.0924,1,Other-Regional,0,OMN
