event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
PAK79773,2023-01-02,1,Battles,Armed clash,BLA: Baloch Liberation Army,,Military Forces of Pakistan (2022-),,Pakistan,Balochistan,Sibi,Sibi,29.5511,67.8322,1,Other,1,PAK
PAK79792,2023-01-04,1,Battles,Armed clash,TTP: Tehreek-i-Taliban Pakistan,,Police Forces of Pakistan (2022-),Health Workers (Pakistan),Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,31.8326,70.9024,2,National,0,PAK
PAK79797,2023-01-02,1,Violence against civilians,Attack,Police Forces of Pakistan (2022-),,Civilians (Pakistan),Prisoners (Pakistan),Pakistan,Punjab,Bahawalpur,Bahawalpur,29.3565,71.6841,1,National,1,PAK
PAK79798,2023-01-03,1,Violence against civilians,Attack,Unidentified Armed Group (Pakistan),,Civilians (Pakistan),Military Forces of Pakistan (2022-),Pakistan,Punjab,Khanewal,Pirowal,30.3352,72.0331,2,Other-National,2,PAK
PAK79816,2023-01-04,1,Violence against civilians,Attack,TTP: Tehreek-i-Taliban Pakistan,,Civilians (Pakistan),Health Workers (Pakistan),Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,31.8326,70.9024,2,National,0,PAK
PAK79845,2023-01-05,1,Riots,Mob violence,Rioters (Pakistan),,Civilians (Pakistan),Labor Group (Pakistan),Pakistan,Punjab,Kasur,Kot Radha Kishan,31.1707,74.1013,1,National,0,PAK
PAK79861,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTI: Pakistan Tehreek-i-Insaf,,,Pakistan,Punjab,Multan,Multan,30.1978,71.4697,1,National,0,PAK
PAK79866,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTI: Pakistan Tehreek-i-Insaf,,,Pakistan,Punjab,Faisalabad,Faisalabad,31.4166,73.0833,1,National,0,PAK
PAK79873,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTI: Pakistan Tehreek-i-Insaf,,,Pakistan,Punjab,Rawalpindi,Rawalpindi,33.6007,73.0679,1,National,0,PAK
PAK79878,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTI: Pakistan Tehreek-i-Insaf,,,Pakistan,Punjab,Dera Ghazi Khan,Dera Ghazi Khan,30.0374,70.6383,1,National,0,PAK
PAK79883,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTI: Pakistan Tehreek-i-Insaf,,,Pakistan,Punjab,Muzaffargarh,Muzaffargarh,30.0726,71.1938,1,National,0,PAK
PAK79890,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Punjab,Muzaffargarh,Sanawan,30.3223,70.9742,1,National,0,PAK
PAK79896,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan); Muslim Group (Pakistan),,,Pakistan,Punjab,Attock,Attock,33.7731,72.3741,1,National,0,PAK
PAK79922,2023-01-04,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Punjab,Narowal,Zafarwal,32.3463,74.8998,2,National,0,PAK
PAK79926,2023-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Punjab,Faisalabad,Samundri,31.0612,72.9585,1,National,0,PAK
PAK79936,2023-01-05,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Punjab,Kasur,Kot Radha Kishan,31.1707,74.1013,1,National,0,PAK
PAK79983,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),PTM: Pashtun Protection Movement; Pashtun Ethnic Group (Pakistan),,,Pakistan,Khyber Pakhtunkhwa,Bannu,Janikhel,32.8011,70.5083,2,National,0,PAK
PAK80071,2023-01-02,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Federal Capital Territory,Islamabad,Islamabad,33.7214,73.0432,1,National,0,PAK
PAK80076,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Tharparkar,Mithi,24.7406,69.7991,1,National,0,PAK
PAK80081,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Tharparkar,Islamkot,24.6992,70.1816,1,National,0,PAK
PAK80086,2023-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Tharparkar,Chachro,25.1113,70.2586,1,National,0,PAK
PAK80106,2023-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Balochistan,Quetta,Quetta,30.1999,67.0097,1,National,0,PAK
