event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
PAN1298,2021-01-05,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0,PAN
PAN1306,2021-01-18,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,9.3403,-82.242,3,National,0,PAN
PAN1313,2021-01-20,1,Protests,Peaceful protest,Protesters (Panama),RM: Achieving Goals,,,Panama,Los Santos,Las Tablas,Las Tablas,7.7647,-80.2748,1,National,0,PAN
PAN1305,2021-01-20,1,Protests,Peaceful protest,Protesters (Panama),RM: Achieving Goals,,,Panama,Chiriqui,Alanje,Alanje,8.3979,-82.5595,1,National,0,PAN
PAN1321,2021-01-24,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Colon,Portobelo,Maria Chiquita,9.4409,-79.7504,2,National,0,PAN
PAN1322,2021-01-24,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Chiriqui,David,San Pablo Viejo,8.443,-82.4792,1,National,0,PAN
PAN1330,2021-01-28,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Panama Oeste,La Chorrera,La Chorrera,8.8803,-79.7833,1,National,0,PAN
PAN1326,2021-01-27,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Colon,Portobelo,Maria Chiquita,9.4409,-79.7504,2,National,0,PAN
PAN1333,2021-01-28,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Panama Oeste,San Carlos,San Carlos,8.4732,-79.961,1,National,0,PAN
PAN1327,2021-01-27,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Panama Oeste,La Chorrera,La Chorrera,8.8803,-79.7833,1,National,0,PAN
PAN1325,2021-01-27,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0,PAN
PAN1323,2021-01-26,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0,PAN
PAN1336,2021-02-02,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0,PAN
PAN1337,2021-02-03,1,Protests,Peaceful protest,Protesters (Panama),Fishers (Panama),,,Panama,Chiriqui,David,Chiriqui,8.3929,-82.3199,1,National,0,PAN
PAN1347,2021-02-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Chiriqui,David,Chiriqui,8.3929,-82.3199,1,National,0,PAN
PAN1348,2021-02-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Cocle,Aguadulce,Aguadulce,8.2418,-80.5461,1,National,0,PAN
PAN1351,2021-02-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama Oeste,La Chorrera,La Chorrera,8.8803,-79.7833,1,National,0,PAN
PAN1362,2021-02-18,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Nuevo Chorrillo,8.9535,-79.6929,1,National,0,PAN
PAN1360,2021-02-18,1,Protests,Peaceful protest,Protesters (Panama),Teachers (Panama),,,Panama,Chiriqui,San Felix,San Felix,8.3026,-81.8756,1,National,0,PAN
PAN1375,2021-02-24,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Santa Isabel,Nombre de Dios,9.5333,-79.45,1,National,0,PAN
