event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
PER2153,2018-10-03,1,Riots,Mob violence,Rioters (Peru),Vigilante Group (Peru),Civilians (Peru),,Peru,Cusco,Chumbivilcas,Santo Tomas,-14.4456,-72.0842,1,National,0,PER
PER2162,2018-10-18,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0,PER
PER2163,2018-10-18,2,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Ica,Pisco,San Clemente,-13.6667,-76.15,1,National,0,PER
PER2157,2018-10-09,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Junin,Tarma,Tarma,-11.419,-75.6899,1,National,0,PER
PER2164,2018-10-20,2,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Apurimac,Andahuaylas,Pacucha,-13.6089,-73.3436,1,National,0,PER
PER1959,2018-11-07,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Tuman,-6.7465,-79.701,1,National,0,PER
PER2160,2018-10-15,2,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Lima,Canete,Chilca,-12.5211,-76.7372,3,National,0,PER
PER1955,2018-10-24,1,Riots,Violent demonstration,Rioters (Peru),Students (Peru),,,Peru,Huanuco,Leoncio Prado,Tingo Maria,-9.2953,-75.9957,1,National,0,PER
PER2158,2018-10-29,2,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0,PER
PER2146,2018-10-09,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,2,National,0,PER
PER2159,2018-10-11,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0,PER
PER2007,2018-02-01,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Pasco,Pasco,Cerro De Pasco,-10.6675,-76.2567,1,National,0,PER
PER2057,2018-06-01,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Madre de Dios,Manu,Boca Colorado,-12.6184,-70.3945,1,National,0,PER
PER1975,2018-01-11,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Huancavelica,Huancavelica,Huancavelica,-12.7826,-74.9727,2,National,0,PER
PER2096,2018-08-08,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Tuman,-6.7465,-79.701,1,National,0,PER
PER2200,2018-03-08,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru); Women (Peru),,,Peru,La Libertad,Trujillo,Trujillo,-8.116,-79.03,1,National,0,PER
PER1996,2018-01-31,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Apurimac,Abancay,Abancay,-13.6339,-72.8814,1,National,0,PER
PER2229,2018-04-24,1,Riots,Violent demonstration,Rioters (Peru),Labor Group (Peru),,,Peru,La Libertad,Trujillo,Trujillo,-8.116,-79.03,1,National,0,PER
PER2185,2018-09-04,1,Riots,Violent demonstration,Rioters (Peru),Labor Group (Peru),Civilians (Peru),Labor Group (Peru),Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0,PER
PER2230,2018-04-25,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Cajamarca,Cajamarca,Cajamarca,-7.1638,-78.5003,1,National,0,PER
PER1974,2018-01-11,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Junin,Huancayo,El Tambo,-12.0667,-75.2167,1,National,0,PER
PER2129,2018-09-19,1,Protests,Peaceful protest,Protesters (Peru),Teachers (Peru),,,Peru,Cusco,Cusco,Cusco,-13.5226,-71.9673,1,National,0,PER
PER2199,2018-03-08,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru); Women (Peru),,,Peru,Tacna,Tacna,Tacna,-18.0147,-70.2536,1,National,0,PER
PER2020,2018-02-08,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Ancash,Huaraz,Huaraz,-9.5278,-77.5278,1,National,0,PER
PER2231,2018-04-25,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Ancash,Huaraz,Huaraz,-9.5278,-77.5278,1,National,0,PER
PER1976,2018-01-11,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Huanuco,Huanuco,Huanuco,-9.9306,-76.2422,2,National,0,PER
PER2100,2018-08-10,1,Violence against civilians,Attack,Unidentified Armed Group (Peru),,Civilians (Peru),,Peru,Junin,Huancayo,El Tambo,-12.0667,-75.2167,1,National,0,PER
PER2232,2018-04-25,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Lambayeque,Lambayeque,-6.7011,-79.9061,1,National,0,PER
PER2204,2018-03-12,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,San Martin,El Dorado,San Martin,-6.5108,-76.7403,1,National,0,PER
PER2179,2018-12-07,1,Riots,Violent demonstration,Rioters (Peru),,,,Peru,Loreto,Datem del Maranon,Puerto Alegria,-4.3261,-77.2158,1,National,0,PER
PER2089,2018-08-03,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Tuman,-6.7465,-79.701,1,National,0,PER
PER2191,2018-03-07,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,San Martin,El Dorado,San Martin,-6.5108,-76.7403,1,National,0,PER
PER2105,2018-08-13,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Tuman,-6.7465,-79.701,1,National,0,PER
PER2079,2018-07-20,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Tuman,-6.7465,-79.701,1,National,0,PER
PER2076,2018-07-19,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru); Lawyers (Peru),,,Peru,Ancash,Huaraz,Huaraz,-9.5278,-77.5278,1,National,0,PER
PER2131,2018-09-21,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,National,0,PER
PER1977,2018-01-11,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Junin,Chanchamayo,La Merced,-11.0615,-75.3351,1,National,0,PER
PER2056,2018-06-01,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,National,0,PER
