event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
PHL7155,2019-01-30,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Philippines),,Civilians (Philippines),,Philippines,Zamboanga Peninsula,Zamboanga del Sur,Zamboanga City,6.9102,122.0738,1,National,2,PHL
PHL8466,2019-05-12,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),,Philippines,Central Visayas,Cebu,Cebu City,10.3167,123.8907,1,National,0,PHL
PHL8405,2019-05-01,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Bicol Region,Sorsogon,Sorsogon City,12.9738,123.9933,1,National,0,PHL
PHL8401,2019-05-01,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Central Visayas,Cebu,Cebu City,10.3167,123.8907,1,National,0,PHL
PHL8406,2019-05-01,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Bicol Region,Masbate,Masbate City,12.3716,123.6249,1,National,0,PHL
PHL8305,2019-04-10,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Students (Philippines); Journalists (Philippines); Labor Group (Philippines),Philippines,Central Visayas,Cebu,Cebu City,10.3167,123.8907,1,National,2,PHL
PHL8763,2019-07-22,1,Protests,Peaceful protest,Protesters (Philippines),,,,Philippines,Bicol Region,Masbate,Masbate City,12.3716,123.6249,1,National,0,PHL
PHL8764,2019-07-22,1,Protests,Peaceful protest,Protesters (Philippines),,,,Philippines,Bicol Region,Sorsogon,Sorsogon City,12.9738,123.9933,1,National,0,PHL
PHL8767,2019-07-22,1,Protests,Peaceful protest,Protesters (Philippines),Students (Philippines); Farmers (Philippines); Labor Group (Philippines); Christian Group (Philippines),,,Philippines,Western Visayas,Iloilo,Iloilo City,10.6969,122.5644,1,National,0,PHL
PHL8768,2019-07-22,1,Protests,Peaceful protest,Protesters (Philippines),Students (Philippines); Farmers (Philippines); Labor Group (Philippines); Christian Group (Philippines),,,Philippines,Western Visayas,Capiz,Roxas City,11.5852,122.7511,1,National,0,PHL
PHL8774,2019-07-22,1,Protests,Peaceful protest,Protesters (Philippines),Manobo Ethnic Group (Philippines); Lumad Ethnic Group (Philippines),,,Philippines,Davao Region,Davao del Sur,Davao City,7.0731,125.6128,1,National,0,PHL
PHL9342,2019-09-25,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Central Visayas,Cebu,Cebu City,10.3167,123.8907,1,Subnational,0,PHL
PHL9777,2019-12-10,1,Protests,Peaceful protest,Protesters (Philippines),,,,Philippines,Western Visayas,Capiz,Roxas City,11.5852,122.7511,1,National,0,PHL
PHL9766,2019-12-10,1,Protests,Peaceful protest,Protesters (Philippines),,,,Philippines,Davao Region,Davao del Sur,Davao City,7.0731,125.6128,1,National,0,PHL
PHL8621,2019-06-15,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),KARAPATAN: Alliance for the Advancement of People's Rights; Students (Philippines),Philippines,Bicol Region,Sorsogon,Sorsogon City,12.9738,123.9933,1,Local partner-Other,2,PHL
PHL9580,2019-11-04,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Makabayan: Patriotic Coalition of the People; Farmers (Philippines); Labor Group (Philippines),Philippines,Calabarzon,Laguna,Cabuyao,14.2726,121.1262,1,Local partner-Other,1,PHL
PHL10031,2019-03-01,1,Violence against civilians,Attack,RPA-ABB: Revolutionary Proletarian Army-Alex Boncayao Brigade,,Civilians (Philippines),Farmers (Philippines); Unidentified Tribal Group (Philippines),Philippines,Western Visayas,Negros Occidental,Bagong Silang,10.6052,123.2827,1,Local partner-Other,1,PHL
PHL8785,2019-07-24,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),Former NPA: New People's Army; Farmers (Philippines),Philippines,Central Visayas,Negros Oriental,Poblacion,9.1004,123.1992,1,Subnational-National,2,PHL
PHL8826,2019-07-25,2,Strategic developments,Other,Civilians (Philippines),Refugees/IDPs (Philippines),,,Philippines,Soccsksargen,Cotabato,Pikit,7.0544,124.6719,2,National,0,PHL
PHL9400,2019-10-04,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Philippines),,Civilians (Philippines),Civilians (United Kingdom),Philippines,Zamboanga Peninsula,Zamboanga del Sur,Alindahaw,7.8564,123.5634,1,National-International,0,PHL
PHL9720,2019-12-02,1,Battles,Armed clash,Unidentified Armed Group (Philippines),,MILF: Moro Islamic Liberation Front,,Philippines,Soccsksargen,Cotabato,Ilian,7.1064,124.9215,1,National,1,PHL
PHL9814,2019-12-22,1,Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,,Civilians (Philippines),,Philippines,Soccsksargen,Cotabato,Poblacion,7.2404,124.5103,1,Subnational-National,0,PHL
PHL9130,2019-08-20,2,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),,Philippines,Central Visayas,Cebu,Cansomoroy,10.4748,123.7562,1,Subnational,1,PHL
PHL9809,2019-12-21,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),Former NPA: New People's Army,Philippines,Central Visayas,Negros Oriental,Talalak,9.3336,122.925,1,Subnational,1,PHL
PHL8453,2019-04-15,3,Battles,Armed clash,Unidentified Armed Group (Philippines),,Unidentified Armed Group (Philippines),,Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Malabang,7.5903,124.0703,2,Other,0,PHL
PHL8039,2019-02-08,1,Strategic developments,Looting/property destruction,NPA: New People's Army,,Civilians (Philippines),Labor Group (Philippines),Philippines,Calabarzon,Quezon,Magsaysay,14.7072,121.5964,1,National,0,PHL
PHL8064,2019-02-17,1,Battles,Armed clash,Unidentified Armed Group (Philippines),,MILF: Moro Islamic Liberation Front,,Philippines,Soccsksargen,Cotabato,Gaunan,6.9135,124.8398,1,National,1,PHL
PHL7120,2019-01-21,1,Strategic developments,Looting/property destruction,NPA: New People's Army,,Civilians (Philippines),Labor Group (Philippines),Philippines,Calabarzon,Quezon,Maragondon,14.5173,121.5769,1,National,0,PHL
PHL8059,2019-02-16,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Students (Philippines); Teachers (Philippines),Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Tanum,6.0735,121.0636,1,National,0,PHL
PHL8284,2019-04-01,2,Violence against civilians,Abduction/forced disappearance,NPA: New People's Army,,Civilians (Philippines),,Philippines,Mimaropa Region,Oriental Mindoro,Bongabong,12.7464,121.4874,2,National,0,PHL
PHL8587,2019-06-08,1,Violence against civilians,Attack,Private Security Forces (Philippines),,Civilians (Philippines),,Philippines,Central Luzon,Bataan,Sumalo,14.8064,120.4819,1,National,1,PHL
PHL7132,2019-01-24,1,Violence against civilians,Abduction/forced disappearance,NPA: New People's Army,,Civilians (Philippines),Labor Group (Philippines),Philippines,Calabarzon,Quezon,Maragondon,14.5173,121.5769,1,National,0,PHL
PHL9314,2019-09-22,1,Protests,Peaceful protest,Protesters (Philippines),Students (Philippines),,,Philippines,Central Luzon,Bataan,Limay,14.5619,120.5983,2,National,0,PHL
