event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
POR1492,2023-03-09,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal); STAL: National Union of Local and Regional Administration Workers,,,Portugal,Beja,Beja,Beja,38.021,-7.8662,1,National,0,PRT
POR1571,2023-04-06,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Castelo Branco,Castelo Branco,Castelo Branco,39.8254,-7.4951,1,National,0,PRT
POR1615,2023-05-04,1,Protests,Peaceful protest,Protesters (Portugal),Teachers (Portugal); FENPROF: National Teachers Federation,,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,National,0,PRT
POR1574,2023-04-06,1,Protests,Peaceful protest,Protesters (Portugal),"CESP: Portuguese Workers' Union of Offices, Services and Commerce; Health Workers (Portugal); Labor Group (Portugal)",,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0,PRT
POR1658,2023-06-10,1,Protests,Peaceful protest,Protesters (Portugal),BE: Left Bloc,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,International,0,PRT
POR1870,2023-11-17,1,Protests,Peaceful protest,Protesters (Portugal),Students (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,International,0,PRT
POR1872,2023-11-19,1,Protests,Peaceful protest,Protesters (Portugal),Students (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,International,0,PRT
POR1714,2023-07-24,1,Protests,Peaceful protest,Protesters (Portugal),APG/GNR: Association of Guard Professionals; ASPP/PSP: Union of Police Professionals; Labor Group (Portugal); Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024) Prison Guards,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0,PRT
POR1881,2023-11-19,1,Protests,Protest with intervention,Protesters (Portugal),Students (Portugal),Police Forces of Portugal (2015-2024),,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,International,0,PRT
POR1643,2023-05-29,1,Protests,Peaceful protest,Protesters (Portugal),FENPROF: National Teachers Federation; Teachers (Portugal),,,Portugal,Beja,Aljustrel,Aljustrel,37.8762,-8.1655,2,National,0,PRT
