event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
PSE65223,2025-01-07,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),Palestine,West Bank,Tubas,Al Farsiyah,32.3425,35.5114,1,Other,0,PSE
PSE65678,2025-01-03,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Hebron,Shi'b Al Batim,31.3942,35.1365,1,National,0,PSE
PSE64987,2025-01-05,1,Battles,Armed clash,Hamas Movement,PIJ: Palestinian Islamic Jihad,Military Forces of Israel (2022-),,Palestine,Gaza Strip,North Gaza,Beit Lahiya,31.5541,34.5016,2,National,0,PSE
PSE64989,2025-01-04,2,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,Hamas Movement,,Palestine,Gaza Strip,North Gaza,Beit Hanoun,31.5405,34.5402,2,New media-Regional,0,PSE
PSE64990,2025-01-06,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),Refugees/IDPs (Palestine),Palestine,Gaza Strip,Deir El Balah,An Nusayrat - North,31.4591,34.3923,1,National,0,PSE
PSE64991,2025-01-08,1,Riots,Mob violence,Rioters (Palestine),,Civilians (Israel),Settlers (Israel),Palestine,West Bank,Al Quds,Al Quds - Anata,31.8092,35.259,2,National,0,PSE
PSE64993,2025-01-07,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,Gaza City,Gaza - Sabra,31.5086,34.4493,1,Local partner-New media,0,PSE
PSE64994,2025-01-10,1,Riots,Violent demonstration,Rioters (Palestine),,Military Forces of Israel (2022-),,Palestine,West Bank,Qalqilya,Kafr Qaddum,32.2216,35.1447,1,National,0,PSE
PSE65001,2025-01-10,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,Deir El Balah,Al Burayj,31.4394,34.4031,1,National,0,PSE
PSE65002,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,PFLP: Popular Front for the Liberation of Palestine,,Military Forces of Israel (2022-),,Palestine,Gaza Strip,Gaza City,Gaza - Nezarim,31.484,34.4056,2,National,0,PSE
PSE65003,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Al Aqsa Martyrs Brigade,,Military Forces of Israel (2022-),,Palestine,Gaza Strip,Gaza City,Gaza - Nezarim,31.484,34.4056,2,National,0,PSE
PSE65008,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),Aid Workers (Palestine); Palestinian Red Crescent Society,Palestine,Gaza Strip,Khan Yunis,Khan Yunis - Al Amal,31.3544,34.3007,1,National,3,PSE
PSE65009,2025-01-09,1,Protests,Peaceful protest,Protesters (Palestine),Commission of Detainees and Ex-Detainees Affairs; Health Workers (Palestine); Palestinian National and Islamic Forces,,,Palestine,West Bank,Hebron,Hebron,31.5294,35.0938,1,National,0,PSE
PSE65010,2025-01-06,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Nablus,Yitzhar,32.1667,35.2333,2,Other,0,PSE
PSE65011,2025-01-09,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Qalqilya,Kedumim,32.2129,35.1574,1,Other,0,PSE
PSE65012,2025-01-10,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Qalqilya,Kedumim,32.2129,35.1574,1,Other,0,PSE
PSE65014,2025-01-08,1,Riots,Mob violence,Rioters (Palestine),Civilians (Palestine); Students (Palestine); Teachers (Palestine),Military Forces of Israel (2022-),,Palestine,West Bank,Bethlehem,Kisan,31.6108,35.2245,1,Other-National,0,PSE
PSE65015,2025-01-09,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,West Bank,Qalqilya,Azzun,32.175,35.0575,1,National,0,PSE
PSE65016,2025-01-10,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),,,Palestine,West Bank,Hebron,Yuta,31.4459,35.0944,1,National,0,PSE
PSE65017,2025-01-10,1,Battles,Armed clash,Military Forces of Palestine (1994-),,PIJ: Katibat Jenin,,Palestine,West Bank,Jenin,Jenin - Jenin Camp,32.4605,35.2882,1,National-International,0,PSE
PSE65019,2025-01-07,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Qalqilya,Immatin,32.1916,35.1584,1,National,0,PSE
PSE65022,2025-01-08,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,Palestine,West Bank,Nablus,Shiloh,32.0547,35.299,1,National,0,PSE
PSE65030,2025-01-06,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),Refugees/IDPs (Palestine),Palestine,Gaza Strip,Deir El Balah,An Nusayrat,31.4486,34.3925,1,National,1,PSE
PSE65032,2025-01-08,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,Gaza Strip,Gaza City,Gaza - Shujaiyya,31.4988,34.4699,1,National,1,PSE
PSE65042,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,North Gaza,Jabalya Camp,31.536,34.4907,1,National,1,PSE
PSE65043,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Palestine (1994-),,PIJ: Katibat Jenin,,Palestine,West Bank,Jenin,Jenin - Jenin Camp,32.4605,35.2882,1,National,0,PSE
PSE65044,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,Deir El Balah,Al Brawk,31.4204,34.339,2,National,0,PSE
PSE65045,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),Refugees/IDPs (Palestine),Palestine,Gaza Strip,Deir El Balah,Al Burayj,31.4394,34.4031,1,National,4,PSE
PSE65046,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,Deir El Balah,Al Burayj,31.4394,34.4031,2,National,0,PSE
PSE65047,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,Gaza Strip,Deir El Balah,Al Musaddar,31.4105,34.378,2,National,2,PSE
PSE65049,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,,,Palestine,Gaza Strip,Deir El Balah,An Nusayrat - North,31.4591,34.3923,1,National,0,PSE
PSE65050,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),Refugees/IDPs (Palestine),Palestine,Gaza Strip,Deir El Balah,Deir al Balah,31.4178,34.3503,1,New media-National,3,PSE
PSE65052,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,Gaza Strip,Deir El Balah,Deir al Balah Camp,31.4249,34.34,2,National,3,PSE
PSE65054,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,Gaza Strip,Gaza City,Gaza,31.5045,34.4743,1,National,5,PSE
PSE65055,2025-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,Civilians (Palestine),,Palestine,Gaza Strip,Gaza City,Gaza - Ad Darraj,31.5172,34.4642,1,National,3,PSE
