event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ROU2047,2023-01-19,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2048,2023-01-19,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2050,2023-01-25,1,Protests,Peaceful protest,Protesters (Moldova),Journalists (Moldova); Journalists (Romania); Journalists (Ukraine); Protesters (Romania); Protesters (Ukraine),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,Regional,0,ROU
ROU2051,2023-01-23,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Gorj,Matasari,Matasari,44.8477,23.0886,2,National,0,ROU
ROU2052,2023-01-25,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2055,2023-01-30,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2057,2023-02-01,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania); Teachers (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2059,2023-01-31,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2061,2023-02-06,1,Protests,Peaceful protest,Protesters (Romania),Health Workers (Romania); Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2062,2023-02-07,1,Protests,Peaceful protest,Protesters (Romania),Health Workers (Romania); Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2063,2023-02-08,1,Protests,Peaceful protest,Protesters (Romania),Health Workers (Romania); Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2065,2023-02-15,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Brasov,Fagaras,Fagaras,45.8449,24.9703,1,National,0,ROU
ROU2067,2023-02-21,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2070,2023-02-23,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Buzau,Buzau,Buzau,45.15,26.8333,1,National,0,ROU
ROU2073,2023-03-03,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Alba,Cugir,Cugir,45.836,23.3738,1,National,0,ROU
ROU2074,2023-03-04,1,Protests,Peaceful protest,Protesters (Romania),Greenpeace,,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2076,2023-03-09,1,Protests,Peaceful protest,Protesters (Moldova),Labor Group (Moldova),,,Romania,Vaslui,Dranceni,Albita,46.7973,28.145,1,International,0,ROU
ROU2077,2023-03-10,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Mures,Targu Mures,Targu Mures,46.55,24.5667,1,National,0,ROU
ROU2078,2023-03-08,1,Protests,Peaceful protest,Protesters (Romania),Women (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2079,2023-02-25,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Arges,Nucsoara,Gruiu,45.3266,24.764,1,National,0,ROU
ROU2081,2023-03-06,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Vaslui,Pungesti,Pungesti,46.7074,27.3422,1,National,0,ROU
ROU2082,2023-03-10,1,Protests,Peaceful protest,Protesters (Romania),,,,Romania,Timis,Timisoara,Timisoara,45.7494,21.2272,1,National,0,ROU
ROU2084,2023-03-16,1,Protests,Peaceful protest,Protesters (Romania),Teachers (Romania); Labor Group (Romania),,,Romania,Buzau,Buzau,Buzau,45.15,26.8333,1,National,0,ROU
ROU2085,2023-03-16,1,Protests,Peaceful protest,Protesters (Romania),Teachers (Romania); Labor Group (Romania),,,Romania,Prahova,Ploiesti,Ploiesti,44.95,26.0167,1,National,0,ROU
ROU2086,2023-03-18,1,Protests,Peaceful protest,Protesters (Romania),Greenpeace,,,Romania,Prahova,Sinaia,Sinaia,45.3456,25.5479,1,National,0,ROU
ROU2087,2023-03-21,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
ROU2088,2023-03-23,1,Protests,Peaceful protest,Protesters (Romania),Labor Group (Romania),,,Romania,Bucharest,Municipality of Bucharest,Bucharest,44.4333,26.1,1,National,0,ROU
