event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
RWA871,2025-01-27,1,Strategic developments,Other,Civilians (Democratic Republic of Congo),MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-); Refugees/IDPs (Democratic Republic of Congo),,,Rwanda,West,Rubavu,Rubavu,-1.6894,29.3025,2,National,0,RWA
RWA873,2025-01-26,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of the Democratic Republic of Congo (2019-),,Civilians (Rwanda),,Rwanda,West,Rubavu,Cyanzarwe,-1.6442,29.3268,1,National,0,RWA
RWA877,2025-01-26,1,Strategic developments,Other,Military Forces of the Democratic Republic of Congo (2019-),,,,Rwanda,West,Rubavu,Busasamana,-1.6045,29.3528,1,National,0,RWA
RWA874,2025-01-27,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of the Democratic Republic of Congo (2019-),,Civilians (Rwanda),,Rwanda,West,Rubavu,Rubavu,-1.6894,29.3025,2,National,13,RWA
RWA878,2025-02-06,1,Violence against civilians,Attack,Police Forces of Rwanda (1994-),,Civilians (Rwanda),,Rwanda,West,Nyamasheke,Kasenjara,-2.3922,28.9805,1,National,1,RWA
RWA872,2025-01-27,1,Strategic developments,Agreement,Military Forces of the Democratic Republic of Congo (2019-),Alliance of Resistants and Patriots (ARP) Wazalendo,Military Forces of Rwanda (1994-),,Rwanda,West,Rubavu,Rubavu,-1.6894,29.3025,2,National,0,RWA
RWA879,2025-02-12,2,Strategic developments,Other,Civilians (Democratic Republic of Congo),Refugees/IDPs (Democratic Republic of Congo),,,Rwanda,West,Rusizi,Rusizi,-2.5702,29.0754,1,International,0,RWA
RWA880,2025-01-26,1,Strategic developments,Agreement,Military Forces of the Democratic Republic of Congo (2019-),Police Forces of the Democratic Republic of Congo (2019-),Military Forces of Rwanda (1994-),,Rwanda,West,Rubavu,Rubavu,-1.6894,29.3025,2,International,0,RWA
RWA881,2025-01-28,1,Battles,Armed clash,Military Forces of the Democratic Republic of Congo (2019-),Alliance of Resistants and Patriots (ARP) Wazalendo,Military Forces of Rwanda (1994-),,Rwanda,West,Rubavu,Gisenyi,-1.7008,29.2633,2,New media-Regional,0,RWA
RWA883,2025-02-27,1,Protests,Peaceful protest,Protesters (Rwanda),Street Traders (Rwanda),,,Rwanda,Kigali City,Nyarugenge,Kiyovu,-1.9542,30.0707,1,National,0,RWA
RWA882,2025-02-25,2,Riots,Mob violence,Rioters (Rwanda),Vigilante Group (Rwanda),Civilians (Rwanda),,Rwanda,West,Nyamasheke,Nyamasheke,-2.3436,29.0994,2,National,1,RWA
RWA876,2025-01-26,1,Violence against civilians,Attack,Military Forces of the Democratic Republic of Congo (2019-),,Civilians (Rwanda),,Rwanda,West,Rubavu,Murambi,-1.6495,29.2652,1,National,1,RWA
RWA888,2025-03-15,1,Violence against civilians,Attack,Police Forces of Rwanda (1994-),,Civilians (Rwanda),,Rwanda,Kigali City,Kicukiro,Masaka,-2.0222,30.2031,1,Other,1,RWA
RWA893,2025-01-29,1,Strategic developments,Agreement,Mercenaries (Romania),,Military Forces of Rwanda (1994-),M23: March 23 Movement,Rwanda,West,Rubavu,Rubavu,-1.6894,29.3025,2,National,0,RWA
