event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SUD11681,2018-08-09,1,Battles,Armed clash,Fur Ethnic Militia (Sudan),Farmers (Sudan),Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Sudan,South Darfur,Sharg Aj Jabal,Feina,12.8825,24.4881,2,Other,4,SDN
SUD11004,2018-01-05,1,Violence against civilians,Abduction/forced disappearance,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),Women (Sudan),Sudan,North Darfur,Tawila,Tawila,13.5157,24.8653,1,National,0,SDN
SUD11009,2018-01-05,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,Kassala,Halfa Aj Jadeedah,New Halfa,15.3269,35.6081,1,National,0,SDN
SUD11372,2018-06-15,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Fatatat,11.2929,31.2629,1,National,1,SDN
SUD11011,2018-01-05,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,Sennar,Sennar,Sennar,13.5422,33.6172,1,National,0,SDN
SUD11166,2018-03-28,1,Riots,Mob violence,NCP: National Congress Party,,Rioters (Sudan),Students (Sudan),Sudan,White Nile,Rabak,Geziret Aba,13.3333,32.6167,1,National,0,SDN
SUD11031,2018-01-10,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),,Sudan,North Darfur,Tawila,Tawila,13.5157,24.8653,2,National,1,SDN
SUD11371,2018-06-15,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Abu Jubaiha,11.4544,31.236,2,National,1,SDN
SUD11302,2018-05-16,2,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,North Kordofan,Sheikan,El Obeid,13.1842,30.2167,1,National,0,SDN
SUD11169,2018-03-29,1,Riots,Mob violence,NCP: National Congress Party,,Rioters (Sudan),Students (Sudan),Sudan,White Nile,Rabak,Geziret Aba,13.3333,32.6167,1,National,0,SDN
SUD11010,2018-01-05,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,River Nile,Atbara,Atbara,17.6949,33.9852,1,National,0,SDN
SUD11088,2018-02-13,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan),Sudan,South Darfur,Beliel,Marla,11.8506,25.2776,1,National,0,SDN
SUD11469,2018-08-26,2,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),,Sudan,East Darfur,Bahr Al Arab,Gubba,10.1333,26.8167,1,National,4,SDN
SUD11014,2018-01-06,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,Blue Nile,Ed Damazine,Ed Damazin,11.7898,34.3599,1,National,0,SDN
SUD11376,2018-06-16,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Abu Jubaiha,11.4544,31.236,2,National,0,SDN
SUD11377,2018-06-16,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Fatatat,11.2929,31.2629,1,National,0,SDN
SUD11016,2018-01-06,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,Sennar,Sennar,Sennar,13.5422,33.6172,1,National,0,SDN
SUD11015,2018-01-06,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,River Nile,Atbara,Atbara,17.6949,33.9852,1,National,0,SDN
SUD11388,2018-06-18,2,Violence against civilians,Attack,Kenana Ethnic Militia (Sudan),,Civilians (Sudan),Kenana Ethnic Group (Sudan),Sudan,South Kordofan,Abu Jubayhah,Abu Jubaiha,11.4544,31.236,2,National,1,SDN
SUD11075,2018-02-08,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),Farmers (Sudan),Sudan,South Darfur,Beliel,Shataya,12.0804,25.2039,1,National,1,SDN
SUD11183,2018-04-08,1,Strategic developments,Looting/property destruction,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),,,Sudan,Central Darfur,Shamal Jabal Marrah,Daya,13.2127,24.3748,2,National,0,SDN
SUD11029,2018-01-10,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Sudan),,Civilians (Sudan),,Sudan,North Darfur,Al Fasher,El Fasher,13.6264,25.3559,1,National,1,SDN
SUD11107,2018-02-27,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),,Civilians (Sudan),,Sudan,North Darfur,Tawila,Tawila,13.5157,24.8653,1,National,3,SDN
SUD11069,2018-02-06,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),,,Sudan,North Kordofan,Sheikan,El Obeid,13.1842,30.2167,1,National,0,SDN
SUD11513,2018-09-17,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),Farmers (Sudan),Sudan,North Darfur,Dar As Salam,Arashu,12.9599,25.0928,2,National,0,SDN
SUD11370,2018-06-14,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Fatatat,11.2929,31.2629,1,National,0,SDN
SUD11501,2018-09-06,1,Protests,Peaceful protest,Protesters (Sudan),Nubian Ethnic Group (Sudan),,,Sudan,Northern,Delgo,Delgo,20.1228,30.5614,1,National,0,SDN
SUD11473,2018-08-27,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),,,Sudan,Gedaref,Madeinat Al Gedaref,Gedaref,14.0479,35.3884,1,National,0,SDN
SUD11080,2018-02-11,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),Farmers (Sudan),Sudan,North Darfur,Tawila,Tawila,13.5157,24.8653,2,National,0,SDN
SUD11071,2018-02-07,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),,,Sudan,North Kordofan,Sheikan,El Obeid,13.1842,30.2167,1,National,0,SDN
SUD11516,2018-09-23,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,Civilians (Sudan),,Sudan,Central Darfur,Bendasi,Tur,12.5658,23.0114,1,National,0,SDN
SUD11224,2018-05-04,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,Civilians (Sudan),Farmers (Sudan),Sudan,Central Darfur,Gharb Jabal Marrah,Saga,13.3661,23.8936,2,National,0,SDN
SUD10996,2018-01-03,1,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Pastoralists (Sudan),Civilians (Sudan),,Sudan,North Darfur,Tawila,Tawila,13.5157,24.8653,2,National,2,SDN
SUD11084,2018-02-15,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan),Sudan,West Darfur,Sirba,Sirba,13.8057,22.5067,1,National,1,SDN
SUD11511,2018-09-16,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,Civilians (Sudan),Farmers (Sudan),Sudan,Central Darfur,Shamal Jabal Marrah,Daya,13.2127,24.3748,2,National,0,SDN
SUD11369,2018-06-14,1,Battles,Armed clash,Kenana Ethnic Militia (Sudan),,Kenana Ethnic Militia (Sudan),,Sudan,South Kordofan,Abu Jubayhah,Abu Jubaiha,11.4544,31.236,2,National,0,SDN
SUD11067,2018-02-03,1,Strategic developments,Change to group/activity,Aheimer Militia,,,,Sudan,Central Darfur,Mukjar,Abu Ajura,11.6667,23.6667,1,National,0,SDN
SUD11504,2018-09-07,1,Protests,Peaceful protest,Protesters (Sudan),Nubian Ethnic Group (Sudan),,,Sudan,Northern,Delgo,Delgo,20.1228,30.5614,1,National,0,SDN
SUD11042,2018-01-13,1,Violence against civilians,Sexual violence,Unidentified Communal Militia (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),Sudan,Central Darfur,Zalingi,Hamidiya,12.9169,23.4831,1,National,0,SDN
