event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SEN976,2017-11-27,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Tambacounda,Tambacounda,Tambacounda,13.7715,-13.6696,1,National,0,SEN
SEN973,2017-11-01,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Fatick,Foundiougne,Foundiougne,14.1333,-16.4667,1,National,0,SEN
SEN970,2017-10-07,1,Protests,Peaceful protest,Protesters (Senegal),Teachers (Senegal); Students (Senegal),,,Senegal,Ziguinchor,Bignona,Koubalan,12.6603,-16.1703,2,National,0,SEN
SEN968,2017-09-19,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Louga,Kebemer,Gueoul,15.4833,-16.35,1,National,0,SEN
SEN967,2017-09-17,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Sedhiou,Sedhiou,Sefa,12.7828,-15.5461,1,National,0,SEN
SEN963,2017-08-30,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Senegal),,Civilians (Senegal),,Senegal,Ziguinchor,Bignona,Sindian,12.9631,-16.1819,2,International,0,SEN
SEN961,2017-07-30,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Diourbel,Mbacke,Touba,14.8606,-15.8709,1,National-International,0,SEN
SEN958,2017-07-19,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Kaolack,Kaolack,Kaolack,14.15,-16.0666,1,National,0,SEN
SEN959,2017-07-19,1,Riots,Mob violence,Rioters (Senegal),,Civilians (Senegal),,Senegal,Dakar,Rufisque,Rufisque,14.725,-17.2709,1,National,0,SEN
SEN954,2017-06-10,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Sedhiou,Goudomp,Goudomp,12.5778,-15.8722,2,National,0,SEN
SEN955,2017-06-10,1,Protests,Peaceful protest,Protesters (Senegal),Women (Senegal),,,Senegal,Sedhiou,Goudomp,Tanaff,12.6497,-15.4261,1,National,0,SEN
SEN951,2017-06-02,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Sedhiou,Goudomp,Goudomp,12.5778,-15.8722,1,National,0,SEN
SEN948,2017-05-22,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Matam,Matam,Ouro Sogui,15.6065,-13.3211,1,National,0,SEN
SEN938,2017-03-24,1,Riots,Mob violence,Rioters (Senegal),APR: Alliance for the Republic,Rioters (Senegal),APR: Alliance for the Republic,Senegal,Dakar,Pikine,Pikine,14.7646,-17.3907,1,National,0,SEN
SEN936,2017-03-13,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Kolda,Kolda,Kolda,12.8833,-14.95,1,National,0,SEN
SEN930,2017-02-12,1,Riots,Mob violence,Rioters (Senegal),APR: Alliance for the Republic,Rioters (Senegal),APR: Alliance for the Republic,Senegal,Ziguinchor,Ziguinchor,Ziguinchor,12.5833,-16.2666,1,National,0,SEN
SEN929,2017-02-06,2,Riots,Mob violence,Rioters (Senegal),APR: Alliance for the Republic,Rioters (Senegal),APR: Alliance for the Republic,Senegal,Dakar,Pikine,Mbao,14.73,-17.32,1,National,0,SEN
SEN927,2017-01-18,1,Riots,Mob violence,Rioters (Senegal),Muslim Group (Senegal),Rioters (Senegal),,Senegal,Louga,Kebemer,Keur Samba Laobe,15.5167,-16.5833,2,National,0,SEN
SEN942,2017-04-20,1,Protests,Peaceful protest,Protesters (Senegal),Students (Senegal),,,Senegal,Thies,Thies,Thies,14.7915,-16.9256,1,National,0,SEN
SEN971,2017-10-16,1,Violence against civilians,Attack,Police Forces of Mauritania (2009-2019),,Civilians (Senegal),Fishers (Senegal),Senegal,Saint Louis,Saint Louis,Saint Louis,16.028,-16.5049,2,National,0,SEN
SEN932,2017-02-24,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Dakar,Dakar,Dakar,14.6763,-17.441,1,National,0,SEN
SEN933,2017-02-25,1,Protests,Peaceful protest,Protesters (Senegal),Students (Senegal),,,Senegal,Dakar,Dakar,Dakar,14.6763,-17.441,1,National,0,SEN
SEN934,2017-02-27,1,Protests,Peaceful protest,Protesters (Morocco),Students (Morocco),,,Senegal,Dakar,Dakar,Dakar,14.6763,-17.441,1,International,0,SEN
SEN939,2017-03-28,1,Riots,Violent demonstration,Rioters (Senegal),,,,Senegal,Dakar,Dakar,Dakar,14.6763,-17.441,1,National,0,SEN
SEN940,2017-04-07,1,Protests,Peaceful protest,Protesters (Senegal),PDS: Senegalese Democratic Party,,,Senegal,Dakar,Dakar,Dakar,14.6763,-17.441,1,International,0,SEN
