event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SLV4336,2025-01-07,1,Protests,Peaceful protest,Protesters (El Salvador),,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4337,2025-01-08,1,Riots,Mob violence,Rioters (El Salvador),MS-13: Mara Salvatrucha; Prisoners (El Salvador); Unidentified Gang (El Salvador),Rioters (El Salvador),MS-13: Mara Salvatrucha; Prisoners (El Salvador); Unidentified Gang (El Salvador),El Salvador,Sonsonate,Izalco,Izalco,13.7447,-89.6731,1,National,0,SLV
SLV4339,2025-01-12,1,Strategic developments,Looting/property destruction,Military Forces of El Salvador (2019-),,Unidentified Gang (Ecuador),Unidentified Gang (Colombia),El Salvador,La Paz,San Luis la Herradura,Coast of San Rafael Tasajera,13.2749,-88.8798,2,National,0,SLV
SLV4340,2025-01-16,1,Protests,Peaceful protest,Protesters (El Salvador),FMLN: Farabundo Marti National Liberation Front,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4341,2025-01-12,1,Protests,Peaceful protest,Protesters (El Salvador),MOVIR: Movement of Victims of the Regime,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4342,2025-01-14,1,Protests,Peaceful protest,Protesters (El Salvador),BRP: Popular Resistence Block; MOVIR: Movement of Victims of the Regime; UNIDEHC: Unit for the Defense of Human And Communal Rights,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4343,2025-01-16,1,Protests,Peaceful protest,Protesters (El Salvador),BRP: Popular Resistence Block; UNIDEHC: Unit for the Defense of Human And Communal Rights,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4344,2025-01-10,1,Protests,Peaceful protest,Protesters (El Salvador),,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4346,2025-01-23,1,Riots,Mob violence,Rioters (El Salvador),Labor Group (El Salvador),Police Forces of El Salvador (2019-),,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
SLV4347,2025-01-19,1,Protests,Peaceful protest,Protesters (El Salvador),Catholic Christian Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0,SLV
