event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SSD8181,2022-01-06,2,Battles,Armed clash,Shilluk Ethnic Militia (South Sudan),,Unidentified Ethnic Militia (South Sudan),,South Sudan,Upper Nile,Manyo,Meganis,11.9476,32.1064,2,International,2,SSD
SSD8190,2022-01-05,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,NAS: National Salvation Front,,South Sudan,Central Equatoria,Juba,Lobonok,4.2964,31.6188,2,Regional,0,SSD
SSD8218,2022-01-21,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,Military Forces of South Sudan (2011-),,South Sudan,Warrap,Gogrial East,Liet-nhom,8.598,28.4738,2,International,4,SSD
SSD8231,2022-01-26,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,NAS: National Salvation Front,,South Sudan,Central Equatoria,Lainya,Loka West,4.2539,30.9999,2,Regional,0,SSD
SSD8245,2022-02-03,2,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,Military Forces of South Sudan (2011-),,South Sudan,Jonglei,Fangak,Old Fangak,9.0675,30.8811,2,National,0,SSD
SSD8260,2022-02-02,2,Violence against civilians,Attack,Padang Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Military Forces of South Sudan (2011-),Civilians (South Sudan),Shilluk Ethnic Group (South Sudan); Fishers (South Sudan),South Sudan,Jonglei,Canal/Pigi,Canal,9.3646,31.5487,2,International,0,SSD
SSD8298,2022-01-15,3,Violence against civilians,Abduction/forced disappearance,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,Civilians (South Sudan),,South Sudan,Central Equatoria,Yei,Yei,4.0947,30.6772,2,National,0,SSD
SSD8297,2022-01-15,3,Violence against civilians,Abduction/forced disappearance,NAS: National Salvation Front,,Civilians (South Sudan),,South Sudan,Central Equatoria,Lainya,Mukaya,4.2408,30.7163,2,National,0,SSD
SSD8288,2022-02-23,2,Battles,Armed clash,Unidentified Communal Militia (South Sudan),Pastoralists (South Sudan),Lokoya Ethnic Militia (South Sudan),,South Sudan,Eastern Equatoria,Torit,Lowoi,4.4899,32.1676,1,National,0,SSD
SSD8358,2022-03-07,2,Riots,Mob violence,Rioters (South Sudan),Malual Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Government of South Sudan (2011-),Rioters (South Sudan),Malual Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Government of South Sudan (2011-),South Sudan,Northern Bahr el Ghazal,Aweil West,Aweil,8.767,27.3966,1,National,0,SSD
SSD8372,2022-01-01,2,Violence against civilians,Attack,Dongotono Ethnic Militia (South Sudan),,Civilians (South Sudan),Lotuko Ethnic Group (South Sudan),South Sudan,Eastern Equatoria,Ikotos,Lobira,4.3983,33.0598,2,Other,3,SSD
SSD8347,2022-02-26,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (South Sudan),,Civilians (South Sudan),Civilians (Uganda); Labor Group (Uganda),South Sudan,Western Equatoria,Tambura,Mabia,5.5296,27.5717,2,National,0,SSD
SSD8192,2022-01-06,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,Civilians (South Sudan),,South Sudan,Eastern Equatoria,Torit,Idolu Bridge,4.4867,32.7452,2,National,1,SSD
SSD8412,2022-03-27,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,Civilians (South Sudan),Military Forces of South Sudan (2011-),South Sudan,Eastern Equatoria,Torit,Idolu,4.5235,32.7368,2,National,1,SSD
SSD8213,2022-01-16,1,Strategic developments,Agreement,SPLM-In Opposition-Kitgweng: Sudan People's Liberation Movement-In Opposition (Kitgweng faction),SPLM-In Opposition-Aguelek: Sudan People's Liberation Movement-In Opposition (Aguelek Faction),Government of South Sudan (2011-),,South Sudan,Upper Nile,Manyo,Meganis,11.9476,32.1064,3,National-International,0,SSD
SSD8224,2022-01-23,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (South Sudan),,Civilians (South Sudan),Lotuko Ethnic Group (South Sudan),South Sudan,Eastern Equatoria,Torit,Loronyo,4.6474,32.6486,2,National,1,SSD
SSD8240,2022-01-29,1,Violence against civilians,Attack,Bul Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan); Pastoralists (South Sudan),Civilians (South Sudan),Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan); Rek Clan Group (South Sudan),South Sudan,Warrap,Gogrial East,Liet-nhom,8.598,28.4738,2,National,1,SSD
SSD8286,2022-02-23,1,Violence against civilians,Attack,Bor Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),Civilians (South Sudan),Lokoya Ethnic Group (South Sudan),South Sudan,Eastern Equatoria,Torit,Chomboro,4.2831,32.1883,2,National,0,SSD
SSD8340,2022-02-27,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,Bor Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),South Sudan,Eastern Equatoria,Torit,Agoro,4.2802,32.1909,2,National-Regional,13,SSD
