event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SVK476,2023-01-08,1,Protests,Peaceful protest,Protesters (Slovakia),Romani Ethnic Group (Slovakia); LSNS: People's Party Our Slovakia,,,Slovakia,Kosicky,Michalovce,Michalovce,48.7519,21.9212,1,National,0,SVK
SVK478,2023-02-14,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,Subnational,0,SVK
SVK489,2023-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),Journalists (Slovakia); Labor Group (Slovakia); For Decent Slovakia,,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0,SVK
SVK490,2023-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),Journalists (Slovakia); Labor Group (Slovakia); For Decent Slovakia,,,Slovakia,Presovsky,Presov,Presov,48.9973,21.2421,1,National,0,SVK
SVK496,2023-03-08,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia); LGBTQ+ (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0,SVK
SVK497,2023-03-14,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0,SVK
SVK498,2023-03-16,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trenciansky,Trencin,Mnichova Lehota,48.8355,18.0617,1,National,0,SVK
SVK503,2023-03-23,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0,SVK
SVK505,2023-03-25,1,Protests,Peaceful protest,Protesters (Slovakia),LGBTQ+ (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0,SVK
SVK479,2023-02-16,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,,,Slovakia,Trnavsky,Piestany,Piestany,48.5902,17.8246,1,International,0,SVK
SVK480,2023-02-07,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0,SVK
SVK481,2023-02-07,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Kosicky,Michalovce,Michalovce,48.7519,21.9212,1,National,0,SVK
SVK482,2023-02-08,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Presovsky,Presov,Presov,48.9973,21.2421,1,National,0,SVK
SVK483,2023-02-10,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Banskobystricky,Lucenec,Lucenec,48.3298,19.6624,1,National,0,SVK
SVK485,2023-02-14,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Malacky,Malacky,48.4354,17.0225,1,National,0,SVK
SVK486,2023-02-14,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Zilina,Zilina,49.2198,18.7351,1,National,0,SVK
SVK493,2023-02-24,1,Protests,Peaceful protest,Protesters (Slovakia),Protesters (Ukraine),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,International,0,SVK
SVK494,2023-02-24,1,Protests,Peaceful protest,Protesters (Slovakia),Protesters (Ukraine),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0,SVK
SVK495,2023-03-03,1,Protests,Peaceful protest,Protesters (Slovakia),,Protesters (Slovakia),Protesters (Ukraine),Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,International,0,SVK
SVK499,2023-03-20,1,Protests,Peaceful protest,Protesters (Slovakia),,Protesters (Slovakia),,Slovakia,Kosicky,Michalovce,Michalovce,48.7519,21.9212,1,Regional,0,SVK
SVK500,2023-03-22,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Presovsky,Poprad,Poprad,49.0588,20.2952,1,Regional,0,SVK
