event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SVN281,2022-01-13,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN282,2022-01-14,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN284,2022-01-20,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN276,2022-01-07,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN286,2022-01-28,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN285,2022-01-21,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN289,2022-02-04,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN290,2022-02-04,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Slovenj Gradec,,Slovenj Gradec,46.5083,15.0767,1,National,0,SVN
SVN291,2022-02-05,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN292,2022-02-11,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN295,2022-02-18,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN300,2022-03-01,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN299,2022-02-28,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN308,2022-03-10,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN306,2022-03-08,1,Protests,Peaceful protest,Protesters (Slovenia),Women (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN305,2022-03-07,1,Protests,Peaceful protest,Protesters (Slovenia),Journalists (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN312,2022-03-18,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN309,2022-03-11,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN313,2022-03-09,1,Strategic developments,Other,Protesters (Slovenia),Teachers (Slovenia); Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN317,2022-04-01,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN321,2022-04-08,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN319,2022-04-06,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN318,2022-04-01,1,Protests,Peaceful protest,Protesters (Slovenia),AI: Amnesty International; LGBTQ+ (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN322,2022-04-13,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia); Iskra,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN325,2022-04-22,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN329,2022-05-23,1,Strategic developments,Other,Protesters (Slovenia),Journalists (Slovenia); Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN333,2022-06-16,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN332,2022-06-12,1,Protests,Peaceful protest,Protesters (Slovenia),LGBTQ+ (Slovenia); Government of Slovenia (2022-),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN334,2022-06-20,1,Protests,Peaceful protest,Protesters (Slovenia),Journalists (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN335,2022-06-29,1,Protests,Peaceful protest,Protesters (Slovenia),Women (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN337,2022-07-15,1,Strategic developments,Other,Government of Slovenia (2022-),Police Forces of Slovenia (2022-),,,Slovenia,Metlika,,Metlika,45.6564,15.3107,2,National,0,SVN
SVN338,2022-09-05,1,Protests,Peaceful protest,Protesters (Slovenia),Women (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN340,2022-09-27,1,Protests,Peaceful protest,Protesters (Slovenia),,Protesters (Slovenia),LGBTQ+ (Slovenia),Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN342,2022-10-01,1,Protests,Peaceful protest,Protesters (Slovenia),Christian Group (Slovenia),Protesters (Slovenia),Anarchist Group (Slovenia),Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN341,2022-10-01,1,Protests,Peaceful protest,Protesters (Slovenia),Protesters (Iran); Women (Iran),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN343,2022-10-25,1,Violence against civilians,Attack,Unidentified Armed Group (International),,Civilians (Slovenia),Women (Slovenia),Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN345,2022-10-26,1,Protests,Peaceful protest,Protesters (Slovenia),Where Will We Sleep Tomorrow?,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN346,2022-11-11,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN348,2022-11-14,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Kamnica,46.5732,15.6128,1,Subnational,0,SVN
SVN347,2022-11-13,1,Strategic developments,Other,Government of Slovenia (2022-),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,International,0,SVN
SVN351,2022-11-24,1,Protests,Peaceful protest,Protesters (Slovenia),Farmers (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN352,2022-12-03,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN353,2022-12-10,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN354,2022-12-17,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN371,2022-12-05,1,Strategic developments,Arrests,Police Forces of Slovenia (2022-),,Civilians (International),Government of Russia (2000-),Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN328,2022-04-24,1,Strategic developments,Other,Government of Slovenia (2018-2022),GS: Freedom Movement (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,3,National,0,SVN
SVN330,2022-06-08,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Slovenia),,Civilians (Slovenia),LGBTQ+ (Slovenia),Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN331,2022-06-07,1,Protests,Peaceful protest,Protesters (Slovenia),Protesters (Ukraine),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN324,2022-04-10,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN310,2022-03-12,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN304,2022-03-08,1,Protests,Peaceful protest,Protesters (Russia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN307,2022-03-04,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN303,2022-03-03,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN302,2022-03-02,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN301,2022-03-01,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN298,2022-02-25,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN297,2022-02-25,1,Protests,Peaceful protest,Protesters (Slovenia),Protesters (Ukraine),,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,National,0,SVN
SVN296,2022-02-25,1,Protests,Peaceful protest,Protesters (Slovenia),Protesters (Ukraine),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
SVN350,2022-11-21,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Kranj,,Zgornje Bitnje,46.2206,14.334,2,National,0,SVN
SVN349,2022-11-21,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Skofja Loka,,Retece,46.1577,14.3693,2,National,0,SVN
SVN336,2022-06-26,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Jesenice,,Jesenice,46.4305,14.0669,1,National,0,SVN
SVN323,2022-01-26,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Jesenice,,Jesenice,46.4305,14.0669,1,National,0,SVN
SVN283,2022-01-19,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Jesenice,,Jesenice,46.4305,14.0669,1,National,0,SVN
SVN546,2022-10-28,1,Violence against civilians,Attack,Unidentified Armed Group (Slovenia),,Civilians (Slovenia),Government of Slovenia (2022-); SDS: Slovenian Democratic Party,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0,SVN
