event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
TOG462,2021-01-18,1,Protests,Peaceful protest,Protesters (Togo),Labor Group (Togo),,,Togo,Savanes,Tone,Dapaong,10.8639,0.205,1,National,0,TGO
TOG467,2021-02-16,1,Protests,Protest with intervention,Protesters (Togo),,Police Forces of Togo (2005-),,Togo,Savanes,Tone,Dapaong,10.8639,0.205,1,National,0,TGO
TOG479,2021-06-07,1,Riots,Mob violence,Rioters (Togo),Taxi Drivers (Togo); Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Golfe,Agoe,6.2319,1.215,1,National,0,TGO
TOG480,2021-06-17,2,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Vo,Wogba,6.2902,1.5106,1,National,1,TGO
TOG483,2021-08-03,1,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Golfe,Agoe,6.2319,1.215,2,National,1,TGO
TOG489,2021-10-20,1,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Golfe,Agoe,6.2319,1.215,1,National,1,TGO
TOG470,2021-03-18,1,Riots,Violent demonstration,Rioters (Togo),Taxi Drivers (Togo),Police Forces of Togo (2005-),,Togo,Savanes,Tone,Dapaong,10.8639,0.205,1,National,0,TGO
TOG471,2021-03-18,1,Riots,Violent demonstration,Rioters (Togo),Taxi Drivers (Togo),Police Forces of Togo (2005-),,Togo,Plateaux,Agou,Atakpame,6.5833,0.75,2,National,0,TGO
TOG488,2021-10-05,1,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Police Forces of Togo (2005-),Military Forces of Togo (2005-),Togo,Savanes,Tone,Dapaong,10.8639,0.205,1,National-Regional,0,TGO
TOG491,2021-03-04,2,Violence against civilians,Attack,Police Forces of Togo (2005-) Gendarmerie,,Civilians (Togo),Prisoners (Togo); Taxi Drivers (Togo),Togo,Maritime,Golfe,Agoe,6.2319,1.215,1,National,0,TGO
TOG465,2021-02-04,1,Protests,Peaceful protest,Protesters (Togo),Labor Group (Togo); Women (Togo),,,Togo,Savanes,Oti,Mango,10.3592,0.4708,1,National,0,TGO
TOG469,2021-03-18,1,Riots,Violent demonstration,Rioters (Togo),Taxi Drivers (Togo),Police Forces of Togo (2005-),,Togo,Savanes,Cinkasse,Cinkasse,11.1038,0.0094,1,National,0,TGO
TOG484,2021-08-08,1,Riots,Mob violence,Rioters (Togo),Gbalave-Tsadome Communal Group (Togo); Vigilante Group (Togo),,,Togo,Plateaux,Kloto,Gbalave,6.8628,0.6001,1,National-Regional,0,TGO
TOG461,2021-01-17,1,Protests,Peaceful protest,Protesters (Togo),,,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0,TGO
TOG463,2021-01-30,2,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0,TGO
TOG464,2021-02-01,1,Protests,Peaceful protest,Protesters (Togo),Health Workers (Togo),,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0,TGO
TOG466,2021-02-09,1,Protests,Peaceful protest,Protesters (Togo),,,,Togo,Savanes,Kpendjal,Mandouri,10.85,0.8178,1,National,0,TGO
TOG468,2021-02-19,1,Riots,Mob violence,Rioters (Togo),Taxi Drivers (Togo); Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0,TGO
TOG472,2021-03-12,1,Protests,Peaceful protest,Protesters (Togo),Students (Togo),,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0,TGO
