event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
TUR1288,2017-11-16,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Dereler,37.6073,42.7478,1,National,2,TUR
TUR1279,2017-11-14,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Dereler,37.6073,42.7478,1,National,1,TUR
TUR1166,2017-10-06,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Eruh,Eruh,37.7418,42.1742,2,National,0,TUR
TUR1165,2017-10-05,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Tunceli,Ovacik,Ovacik,39.3526,39.2089,2,National,2,TUR
TUR1161,2017-10-05,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Eruh,Eruh,37.7418,42.1742,2,National,5,TUR
TUR1085,2017-09-13,1,Protests,Peaceful protest,Protesters (Turkey),,,,Turkey,Ankara,Golbasi,Incek,39.8019,32.6909,1,National,0,TUR
TUR1083,2017-09-13,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Agri,Agri,Agri,39.7147,43.0402,3,National,5,TUR
TUR1066,2017-09-08,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Guclukonak,Guclukonak,37.4696,41.9059,2,National,4,TUR
TUR1058,2017-09-07,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Agri,Diyadin,Diyadin,39.5406,43.6713,2,National,5,TUR
TUR1045,2017-09-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Cukurca,Cukurca,37.2481,43.6136,2,National,1,TUR
TUR1011,2017-08-23,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Yenisehir,Diyarbakir,37.9136,40.2172,3,National,14,TUR
TUR1013,2017-08-23,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,14,TUR
TUR1009,2017-08-22,1,Battles,Armed clash,Military Forces of Turkey (2016-) Gendarmerie,,PKK: Kurdistan Workers Party,,Turkey,Van,Gurpinar,Gurpinar,38.3237,43.4099,2,National,3,TUR
TUR1003,2017-08-20,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Cermik,Cermik,38.1354,39.445,2,National,1,TUR
TUR996,2017-08-18,1,Protests,Peaceful protest,Protesters (Turkey),,,,Turkey,Trabzon,Macka,Macka,40.8107,39.6047,2,National,0,TUR
TUR991,2017-08-16,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,33,TUR
TUR982,2017-08-12,1,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Batman,Sason,Sason,38.3277,41.4138,2,National,2,TUR
TUR980,2017-08-12,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Bingol,Bingol,Bingol,38.8847,40.4939,3,National,2,TUR
TUR981,2017-08-12,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Eruh,Gorendoruk,37.6746,42.2756,1,National,1,TUR
TUR979,2017-08-11,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Semdinli,Tutunlu,37.1958,44.5283,1,National,3,TUR
TUR971,2017-08-11,1,Explosions/Remote violence,Air/drone strike,Police Forces of Turkey (2016-),Military Forces of Turkey (2016-) Gendarmerie,PKK: Kurdistan Workers Party,,Turkey,Siirt,Baykan,Cevrimtepe,38.0566,41.8458,1,National,3,TUR
TUR961,2017-08-08,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Kars,Kagizman,Kagizman,40.1392,43.1102,2,National,3,TUR
TUR938,2017-08-02,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Bingol,Bingol,Bingol,38.8847,40.4939,3,National,9,TUR
TUR942,2017-08-02,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Mus,Mus,Mus,38.7316,41.4848,3,National,9,TUR
TUR944,2017-08-02,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,9,TUR
TUR946,2017-08-02,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Van,Ipekyolu,Van,38.4946,43.3832,3,National,9,TUR
TUR933,2017-07-31,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Cukurca,Cukurca,37.2481,43.6136,2,National,2,TUR
TUR930,2017-07-30,1,Protests,Peaceful protest,Protesters (Turkey),SP: Felicity Party,,,Turkey,Istanbul,Fatih,Fatih,41.0225,28.9408,1,International,0,TUR
TUR927,2017-07-29,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Beytussebap,Beytussebap,37.5632,43.1658,2,National,9,TUR
TUR916,2017-07-24,1,Battles,Armed clash,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Turkey,Siirt,Baykan,Cukurca,38.2244,41.6491,1,National,1,TUR
TUR890,2017-07-21,1,Protests,Peaceful protest,Protesters (Turkey),,,,Turkey,Istanbul,Fatih,Beyazit,41.0098,28.9659,1,National,0,TUR
TUR907,2017-07-21,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Pervari,Pervari,37.9357,42.5493,2,National,6,TUR
TUR876,2017-07-18,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Bitlis,Bitlis,Bitlis,38.4011,42.1078,3,National,1,TUR
TUR852,2017-07-11,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Mardin,Dargecit,Dargecit,37.5462,41.7165,2,National,8,TUR
TUR850,2017-07-10,1,Battles,Armed clash,PKK: Kurdistan Workers Party,,Police Forces of Turkey (2016-),,Turkey,Hatay,Antakya,Alahan,36.3309,36.184,1,National,2,TUR
TUR851,2017-07-10,1,Battles,Armed clash,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Turkey,Hakkari,Cukurca,Cukurca,37.2481,43.6136,2,National,1,TUR
TUR844,2017-07-09,1,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,Civilians (Turkey),,Turkey,Bitlis,Bitlis,Bitlis,38.4011,42.1078,3,National,0,TUR
TUR848,2017-07-09,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,3,TUR
TUR849,2017-07-09,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Yuksekova,Yuksekova,37.5736,44.2872,2,National,4,TUR
TUR839,2017-07-07,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Hakkari,Ceylanli,37.4226,43.6234,1,National,2,TUR
TUR827,2017-07-04,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Van,Baskale,Baskale,38.0453,44.0172,2,National,2,TUR
TUR818,2017-07-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Turkey,Hakkari,Cukurca,Cukurca,37.2481,43.6136,2,National,1,TUR
TUR821,2017-07-03,1,Violence against civilians,Attack,PKK: Kurdistan Workers Party,,Civilians (Turkey),Labor Group (Turkey),Turkey,Sirnak,Uludere,Ortasu,37.3685,42.9581,1,National,2,TUR
TUR824,2017-07-03,1,Violence against civilians,Attack,PKK: Kurdistan Workers Party,,Civilians (Turkey),,Turkey,Van,Ipekyolu,Van,38.4946,43.3832,3,National,1,TUR
TUR823,2017-07-03,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,2,TUR
TUR826,2017-07-03,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Yuksekova,Yuksekova,37.5736,44.2872,2,National,4,TUR
TUR811,2017-07-02,1,Violence against civilians,Attack,PKK: Kurdistan Workers Party,,Civilians (Turkey),Labor Group (Turkey),Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,1,TUR
TUR804,2017-07-02,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Beytussebap,Beytussebap,37.5632,43.1658,2,National,3,TUR
TUR805,2017-07-02,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Mardin,Dargecit,Dargecit,37.5462,41.7165,2,National,5,TUR
TUR810,2017-07-02,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,3,TUR
TUR795,2017-07-01,1,Violence against civilians,Attack,PKK: Kurdistan Workers Party,,Civilians (Turkey),AKP: Justice and Development Party,Turkey,Van,Ozalp,Bogazkesen,38.7454,43.9268,1,National,1,TUR
TUR801,2017-07-01,1,Violence against civilians,Attack,PKK: Kurdistan Workers Party,,Civilians (Turkey),AKP: Justice and Development Party,Turkey,Diyarbakir,Lice,Lice,38.4667,40.6333,2,National,1,TUR
TUR796,2017-07-01,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Yenisehir,Diyarbakir,37.9136,40.2172,3,National,1,TUR
TUR565,2017-05-12,1,Battles,Armed clash,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Turkey,Sirnak,Uludere,Uludere,37.4407,42.8524,2,National,1,TUR
TUR531,2017-05-01,1,Protests,Excessive force against protesters,Protesters (Turkey),,Police Forces of Turkey (2016-),,Turkey,Istanbul,Sisli,Sisli,41.0605,28.9872,1,International,1,TUR
TUR500,2017-04-29,1,Strategic developments,Change to group/activity,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Yenisehir,Diyarbakir,37.9136,40.2172,3,National,0,TUR
TUR503,2017-04-29,1,Strategic developments,Change to group/activity,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Sirnak,Sirnak,Sirnak,37.5139,42.4543,3,National,0,TUR
TUR502,2017-04-29,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Siirt,Siirt,37.9284,41.9353,3,National,0,TUR
TUR506,2017-04-29,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Van,Ipekyolu,Van,38.4946,43.3832,3,National,5,TUR
TUR307,2017-03-30,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Hakkari,Yuksekova,Yuksekova,37.5736,44.2872,2,National,4,TUR
TUR297,2017-03-29,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Hani,Hani,38.4074,40.3858,2,National,1,TUR
TUR300,2017-03-29,1,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Lice,Lice,38.4667,40.6333,2,National,2,TUR
TUR231,2017-03-15,1,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,Military Forces of Turkey (2016-),,Turkey,Diyarbakir,Yenisehir,Diyarbakir,37.9136,40.2172,2,International,2,TUR
TUR225,2017-03-15,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Batman,Batman,Batman,37.8874,41.1322,3,National,4,TUR
TUR226,2017-03-15,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Bingol,Bingol,Bingol,38.8847,40.4939,3,National,5,TUR
TUR227,2017-03-15,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Bitlis,Bitlis,Bitlis,38.4011,42.1078,3,National,5,TUR
TUR230,2017-03-15,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Diyarbakir,Yenisehir,Diyarbakir,37.9136,40.2172,3,National,5,TUR
TUR238,2017-03-15,2,Battles,Armed clash,Military Forces of Turkey (2016-),,PKK: Kurdistan Workers Party,,Turkey,Siirt,Siirt,Siirt,37.9284,41.9353,3,National,5,TUR
