event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
TAZ893,2021-05-17,1,Violence against civilians,Attack,Police Forces of Tanzania (1964-),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kasulu,Nyarugusu Refugee Camp,-4.2251,30.394,1,New media,0,TZA
TAZ890,2021-05-08,1,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Pwani,Kibaha Urban,Kibaha,-6.7666,38.9167,1,New media-National,2,TZA
TAZ889,2021-04-28,2,Strategic developments,Disrupted weapons use,Police Forces of Tanzania (1964-),,Unidentified Armed Group (Tanzania),,Tanzania,Tabora,Tabora Urban,Tabora,-5.0167,32.8,1,National,0,TZA
TAZ887,2021-04-26,1,Violence against civilians,Attack,Private Security Forces (Tanzania),,Civilians (Tanzania),Pastoralists (Tanzania),Tanzania,Njombe,Makete,Mbarali,-8.85,33.85,2,National,3,TZA
TAZ886,2021-04-25,2,Violence against civilians,Attack,Police Forces of Tanzania (1964-) Wildlife Rangers,,Civilians (Tanzania),,Tanzania,Ruvuma,Songea Urban,Songea,-10.6833,35.65,2,National,0,TZA
TAZ882,2021-04-06,2,Strategic developments,Other,Civilians (Mozambique),Refugees/IDPs (Mozambique),,,Tanzania,Mtwara,Mtwara Urban,Mtwara,-10.2667,40.1833,1,New media-International,0,TZA
TAZ879,2021-03-06,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Tanzania),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kibondo,Nduta Refugee Camp,-3.5838,30.7152,1,New media,0,TZA
TAZ876,2021-03-04,2,Strategic developments,Arrests,Police Forces of Tanzania (1964-) Prison Guards,,Civilians (International),Refugees/IDPs (Burundi); Refugees/IDPs (Democratic Republic of Congo); Refugees/IDPs (Rwanda),Tanzania,Kigoma,Kigoma Urban,Kigoma,-4.8769,29.6267,1,National,0,TZA
TAZ875,2021-02-28,1,Protests,Protest with intervention,Protesters (Democratic Republic of Congo),Refugees/IDPs (Democratic Republic of Congo),Police Forces of Tanzania (1964-),,Tanzania,Kigoma,Kasulu,Nyarugusu Refugee Camp,-4.2251,30.394,2,New media,0,TZA
TAZ874,2021-02-23,2,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kibondo,Nduta Refugee Camp,-3.5838,30.7152,1,New media,2,TZA
TAZ873,2021-01-22,1,Violence against civilians,Attack,Military Forces of Tanzania (1964-),,Civilians (Tanzania),,Tanzania,Shinyanga,Shinyanga Urban,Shinyanga,-3.6666,33.4333,1,National,0,TZA
TAZ894,2021-05-31,1,Riots,Mob violence,Rioters (Tanzania),,Civilians (Tanzania),Christian Group (Tanzania); Women (Tanzania),Tanzania,Pwani,Kibaha Urban,Kibaha,-6.7666,38.9167,2,National,0,TZA
TAZ895,2021-06-07,2,Strategic developments,Arrests,Police Forces of Tanzania (1964-),,Civilians (Burundi),Civilians (Uganda); Civilians (Rwanda),Tanzania,Kagera,Karagwe,Karagwe,-1.4375,31.1736,1,National,0,TZA
TAZ896,2021-06-11,1,Protests,Excessive force against protesters,Protesters (Burundi),Refugees/IDPs (Democratic Republic of Congo); Refugees/IDPs (Burundi); Protesters (Democratic Republic of Congo),Police Forces of Tanzania (1964-),,Tanzania,Kigoma,Kasulu,Nyarugusu Refugee Camp,-4.2251,30.394,1,New media,0,TZA
TAZ897,2021-06-15,1,Protests,Peaceful protest,Protesters (Tanzania),Students (Tanzania); Women (Tanzania),,,Tanzania,Tabora,Kaliua,Katavi,-4.6667,31.6167,2,National,0,TZA
TAZ899,2021-07-11,2,Strategic developments,Other,Civilians (Burundi),Refugees/IDPs (Burundi),,,Tanzania,Kigoma,Kakonko,Mtendeli Refugee Camp,-3.4236,30.8912,1,New media,0,TZA
TAZ900,2021-07-16,2,Strategic developments,Looting/property destruction,Police Forces of Tanzania (1964-),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kigoma Urban,Kigoma,-4.8769,29.6267,1,New media,0,TZA
TAZ903,2021-07-21,1,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),Pastoralists (Tanzania),Tanzania,Lindi,Kilwa,Kilwa Masoko,-8.9251,39.5131,2,National,1,TZA
TAZ906,2021-07-18,2,Protests,Peaceful protest,Protesters (Tanzania),,,,Tanzania,Njombe,Ludewa,Mlangali,-9.7627,34.5132,1,National,0,TZA
TAZ908,2021-07-26,1,Strategic developments,Other,Civilians (Burundi),Refugees/IDPs (Burundi),,,Tanzania,Kigoma,Kibondo,Nduta Refugee Camp,-3.5838,30.7152,1,New media,0,TZA
TAZ914,2021-08-13,2,Battles,Armed clash,Police Forces of Tanzania (1964-),,Unidentified Communal Militia (Tanzania),Pastoralists (Tanzania),Tanzania,Morogoro,Kilombero,Mlimba,-8.7836,35.8094,2,National,1,TZA
TAZ909,2021-07-30,1,Strategic developments,Arrests,Police Forces of Tanzania (1964-),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kakonko,Kakonko,-3.2828,30.9642,2,New media,0,TZA
TAZ912,2021-08-08,2,Strategic developments,Looting/property destruction,Sungusungu Communal Militia (Tanzania),Police Forces of Tanzania (1964-),Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kakonko,Mtendeli Refugee Camp,-3.4236,30.8912,1,New media,0,TZA
TAZ926,2021-10-28,1,Violence against civilians,Attack,Unidentified Armed Group (Democratic Republic of Congo),,Civilians (Tanzania),Fishers (Tanzania),Tanzania,Rukwa,Nkasi,Mpasa,-8.1835,30.9576,2,National,0,TZA
TAZ929,2021-11-10,2,Protests,Peaceful protest,Protesters (Tanzania),Labor Group (Tanzania),,,Tanzania,Iringa,Iringa Urban,Iringa,-7.7667,35.7,1,National,0,TZA
TAZ931,2021-11-01,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Tanzania (1964-),,Civilians (Tanzania),CUF: Civic United Front,Tanzania,Lindi,Liwale,Lindi,-9.5,38.5,2,Other,0,TZA
TAZ934,2021-10-15,3,Battles,Armed clash,Police Forces of Tanzania (1964-),,Unidentified Armed Group (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kibondo,Nduta Refugee Camp,-3.5838,30.7152,2,New media,5,TZA
TAZ956,2021-12-28,1,Battles,Armed clash,Unidentified Communal Militia (Tanzania),Pastoralists (Tanzania),Unidentified Communal Militia (Tanzania),Farmers (Tanzania),Tanzania,Morogoro,Ulanga,Itete,-8.662,36.4169,1,National,1,TZA
TAZ964,2021-12-16,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Taxi Drivers (Tanzania),Tanzania,Mwanza,Misungwi,Misungwi,-2.8402,33.0712,2,National,1,TZA
TAZ883,2021-04-17,1,Protests,Peaceful protest,Protesters (Tanzania),Labor Group (Tanzania),,,Tanzania,Mtwara,Mtwara,Hiyari,-10.258,40.0435,1,National-International,0,TZA
TAZ974,2021-10-15,3,Violence against civilians,Attack,Police Forces of Tanzania (1964-),,Civilians (Tanzania),Labor Group (Tanzania),Tanzania,Mtwara,Mtwara Urban,Mtwara,-10.2667,40.1833,1,National,1,TZA
TAZ898,2021-07-09,1,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),,,Tanzania,Arusha,Arusha Urban,Arusha,-3.3666,36.6833,1,National,0,TZA
TAZ921,2021-10-17,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Government of Tanzania (1964-),Tanzania,Simiyu,Itilima,Simiyu,-2.95,34.2,2,National,0,TZA
TAZ892,2021-05-13,2,Riots,Mob violence,Rioters (Tanzania),,Civilians (Tanzania),Mtemba Communal Group (Tanzania),Tanzania,Mtwara,Mtwara,Mtemba,-10.4978,40.0403,1,National,0,TZA
TAZ948,2021-11-29,1,Riots,Mob violence,Rioters (Tanzania),,Military Forces of Tanzania (1964-),Civilians (Tanzania); Government of Tanzania (1964-),Tanzania,Katavi,Mpanda,Mwese,-5.9573,30.2392,2,National,0,TZA
