event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
UGA5042,2017-12-26,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Uganda),,,,Uganda,Kyankwanzi,Kiboga,Nsambya,1.2639,31.5086,1,National,0,UGA
UGA5044,2017-12-25,1,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Civilians (Uganda),,Uganda,Omoro,Omoro,Odek,2.6833,32.7167,1,National,1,UGA
UGA5043,2017-12-24,2,Violence against civilians,Attack,RNC: Rwanda National Congress,Mayi Mayi Militia (Raia Mutomboki),Civilians (Rwanda),Refugees/IDPs (Rwanda),Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National,0,UGA
UGA5046,2017-12-24,1,Battles,Armed clash,Military Forces of Uganda (1986-),,ADF: Allied Democratic Forces,,Uganda,Bundibugyo,Bwamba,Busunga,0.6374,29.9667,2,National,0,UGA
UGA5047,2017-12-18,1,Strategic developments,Other,Military Forces of Uganda (1986-),Police Forces of Uganda (1986-),,,Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National-International,0,UGA
UGA5041,2017-12-17,1,Strategic developments,Agreement,Military Forces of Uganda (1986-),,Military Forces of the Democratic Republic of Congo (2001-2019),,Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National,0,UGA
UGA5048,2017-12-12,1,Protests,Protest with intervention,Protesters (Uganda),Government of Uganda (1986-),Police Forces of Uganda (1986-),,Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National,0,UGA
UGA5040,2017-12-07,1,Protests,Peaceful protest,Protesters (Uganda),PAP: Pan-African Pyramid,,,Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National,0,UGA
UGA5045,2017-12-06,1,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,Civilians (South Sudan),Government of South Sudan (2011-),Uganda,Yumbe,Aringa,Yumbe,3.4696,31.247,3,International,1,UGA
UGA5038,2017-11-28,1,Riots,Mob violence,Police Forces of Uganda (1986-),,Rioters (Uganda),Vigilante Group (Uganda),Uganda,Adjumani,East Moyo,Adjumani,3.3614,31.8097,3,National,3,UGA
UGA5034,2017-11-25,1,Violence against civilians,Attack,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,Civilians (Uganda),Civilians (South Sudan),Uganda,Moyo,Moyo,Moyo,3.6527,31.7274,2,National,2,UGA
UGA5033,2017-11-22,1,Riots,Violent demonstration,Rioters (Uganda),Taxi Drivers (Uganda),,,Uganda,Kampala,Kampala,Kampala,0.3156,32.5656,1,National,0,UGA
