event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
UKR41990,2021-01-04,1,Protests,Peaceful protest,Protesters (Ukraine),,,,Ukraine,Poltava,Lubenskyi,Lubny,50.0163,32.9969,1,National,0,UKR
UKR41992,2021-01-07,1,Protests,Peaceful protest,Protesters (Ukraine),,,,Ukraine,Kharkiv,Bohodukhivskyi,Valky,49.836,35.6122,1,National,0,UKR
UKR41995,2021-01-06,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,Ukraine,Luhansk,Luhanskyi,Luhansk,48.567,39.3171,1,Local partner-New media,0,UKR
UKR41984,2021-01-06,1,Riots,Mob violence,Rioters (Ukraine),AutoMaidan,Police Forces of Ukraine (2019-),,Ukraine,Kyiv,Obukhivskyi,Vasylkiv,50.1869,30.3135,1,National,0,UKR
UKR41969,2021-01-08,1,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Ukraine,Donetsk,Donetskyi,Donetsk Filtration Station,48.1331,37.808,2,Other,0,UKR
UKR42014,2021-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Ukraine,Luhansk,Alchevskyi,Molodizhne,48.6433,38.4768,2,Other,0,UKR
UKR41966,2021-01-05,1,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Ukraine,Luhansk,Alchevskyi,Berezivske,48.6712,38.6027,2,Other,0,UKR
UKR41967,2021-01-05,1,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Ukraine,Luhansk,Alchevskyi,Kalynove-Borshchuvate,48.6197,38.4919,2,Other,0,UKR
UKR42018,2021-01-07,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Ukraine,Donetsk,Donetskyi,Donetsk Filtration Station,48.1331,37.808,2,Other,0,UKR
UKR42022,2021-01-08,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Ukraine,Donetsk,Donetskyi,Spartak,48.079,37.7635,2,Other,0,UKR
UKR42016,2021-01-05,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Ukraine,Luhansk,Alchevskyi,Molodizhne,48.6433,38.4768,2,Other,0,UKR
