event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
USA20001,2021-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Maryland,Baltimore City,Baltimore,39.2903,-76.6121,1,Subnational,0,USA
USA20009,2021-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Washington,Walla Walla,Walla Walla,46.0645,-118.343,1,Subnational,0,USA
USA20010,2021-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Florida,Orange,Winter Park,28.6,-81.3392,1,Subnational,0,USA
USA20011,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),Back the Blue; Pro-Police Group (United States),,,United States,North Carolina,Stanly,Albemarle,35.3501,-80.2001,1,Subnational,0,USA
USA20012,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),Native American Group (United States),,,United States,New Mexico,Bernalillo,Albuquerque,35.0844,-106.6511,1,Subnational,0,USA
USA20014,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),Health Workers (United States),,,United States,California,Los Angeles,Arcadia,34.1393,-118.0373,1,Subnational,0,USA
USA20037,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Louisiana,Tangipahoa,Ponchatoula,30.4391,-90.4437,1,Other-Subnational,0,USA
USA20038,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Washington,King,Seattle,47.6056,-122.333,1,Subnational,0,USA
USA20043,2021-01-02,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,,,United States,Wisconsin,Milwaukee,Wauwatosa,43.0495,-88.0076,1,Subnational,0,USA
USA20047,2021-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Minnesota,Crow Wing,Brainerd,46.358,-94.2008,1,Other-Subnational,0,USA
USA20050,2021-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Nevada,Clark,Las Vegas,36.1749,-115.1372,1,Subnational,0,USA
USA20052,2021-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Oklahoma,Pittsburg,McAlester,34.9334,-95.7697,1,Subnational,0,USA
USA20053,2021-01-03,1,Protests,Peaceful protest,Protesters (United States),CAIR: Council on American-Islamic Relations; Muslim Group (United States); BLM: Black Lives Matter; Somali Ethnic Group (United States),,,United States,Minnesota,Hennepin,Minneapolis,44.9833,-93.2666,1,Other-Subnational,0,USA
