event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
VNM450,2017-09-15,3,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),Prisoners (Vietnam),Vietnam,Ninh Thuan,Phan Rang-Thap Cham,Phan Rang-Thap Cham,11.5643,108.9886,1,National,1,VNM
VNM102,2017-02-28,1,Riots,Mob violence,Rioters (Vietnam),Labor Group (Vietnam),Private Security Forces (Vietnam),,Vietnam,Bac Ninh,Yen Phong,Yen Phong,21.2067,105.994,2,National,0,VNM
VNM105,2017-03-15,1,Protests,Peaceful protest,Protesters (Vietnam),Labor Group (Vietnam),,,Vietnam,Hanoi,Dong Da,Hanoi,21.0245,105.841,1,National,0,VNM
VNM106,2017-04-15,1,Battles,Armed clash,Hoanh Communal Militia (Vietnam),,Police Forces of Vietnam (1976-),,Vietnam,Hanoi,My Duc,Dong Tam,20.8049,105.671,1,National,0,VNM
VNM109,2017-04-19,1,Protests,Peaceful protest,Protesters (Vietnam),,,,Vietnam,Ba Ria-Vung Tau,Xuyen Moc,Tan Phuoc,10.5634,107.379,1,National,0,VNM
VNM110,2017-04-20,1,Protests,Peaceful protest,Protesters (Vietnam),,,,Vietnam,Ba Ria-Vung Tau,Xuyen Moc,Tan Phuoc,10.5634,107.379,1,National,0,VNM
VNM111,2017-04-21,1,Protests,Peaceful protest,Protesters (Vietnam),,,,Vietnam,Ba Ria-Vung Tau,Xuyen Moc,Tan Phuoc,10.5634,107.379,1,National,0,VNM
VNM114,2017-06-05,1,Protests,Peaceful protest,Protesters (Vietnam),Labor Group (Vietnam),,,Vietnam,Bac Lieu,Bac Lieu,Bac Lieu,9.2941,105.728,3,National,0,VNM
VNM115,2017-06-13,1,Violence against civilians,Attack,Unidentified Armed Group (Vietnam),,Civilians (Vietnam),Journalists (Vietnam),Vietnam,Hanoi,Dong Da,Hanoi,21.0245,105.841,1,National,0,VNM
VNM121,2017-07-07,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM122,2017-07-08,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM123,2017-07-09,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM124,2017-07-10,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM125,2017-07-11,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM126,2017-07-12,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM127,2017-07-13,1,Riots,Violent demonstration,Rioters (Vietnam),,,,Vietnam,Quang Nam,Dien Ban,Dien Ban,15.8991,108.225,2,National,0,VNM
VNM134,2017-11-15,2,Protests,Peaceful protest,Protesters (Vietnam),,,,Vietnam,Hai Phong,An Lao,An Lao,20.8229,106.558,2,National,0,VNM
VNM424,2017-01-02,1,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),,Vietnam,An Giang,Long Xuyen,Long Xuyen,10.3863,105.4351,3,Other,0,VNM
VNM427,2017-03-16,1,Protests,Protest with intervention,Protesters (Vietnam),Women (Vietnam),Police Forces of Vietnam (1976-),,Vietnam,Ho Chi Minh,Tan Binh,Ho Chi Minh,10.823,106.63,1,Other,0,VNM
VNM428,2017-03-21,1,Protests,Protest with intervention,Protesters (Vietnam),,Police Forces of Vietnam (1976-),,Vietnam,Ha Tinh,Ky Anh,Ky Anh,18.0686,106.298,2,Other,0,VNM
VNM429,2017-04-13,1,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),,Vietnam,Quang Binh,Dong Hoi,Dong Hoi,17.4688,106.622,3,Other,0,VNM
VNM432,2017-05-03,1,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),Buddhist Group (Vietnam),Vietnam,Vinh Long,Vinh Long,Vinh Long,10.2536,105.972,2,Other,1,VNM
VNM435,2017-07-15,3,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),,Vietnam,Ho Chi Minh,Tan Binh,Ho Chi Minh,10.823,106.63,1,Other,0,VNM
VNM436,2017-07-18,1,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),Prisoners (Vietnam),Vietnam,Gia Lai,Pleiku,Pleiku,13.9833,108.0,3,Other,1,VNM
VNM444,2017-02-14,1,Riots,Violent demonstration,Rioters (Vietnam),Christian Group (Vietnam),Police Forces of Vietnam (1976-),,Vietnam,Ha Tinh,Ky Anh,Ky Anh,18.0686,106.298,2,National,0,VNM
VNM479,2017-04-06,1,Protests,Peaceful protest,Protesters (Vietnam),Christian Group (Vietnam),,,Vietnam,Quang Binh,Dong Hoi,Dong Hoi,17.4688,106.622,3,International,0,VNM
VNM478,2017-04-06,1,Protests,Peaceful protest,Protesters (Vietnam),Christian Group (Vietnam),,,Vietnam,Ha Tinh,Ha Tinh,Ha Tinh,18.3565,105.899,3,International,0,VNM
VNM476,2017-01-15,2,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),Journalists (Vietnam),Vietnam,Ha Tinh,Ha Tinh,Ha Tinh,18.3565,105.899,1,International,0,VNM
VNM426,2017-02-27,1,Violence against civilians,Attack,Police Forces of Vietnam (1976-),,Civilians (Vietnam),Christian Group (Vietnam); Brotherhood for Democracy,Vietnam,Ha Tinh,Ha Tinh,Ha Tinh,18.3565,105.899,3,Local partner-Other,0,VNM
