event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
XKX35,2018-04-20,2,Violence against civilians,Attack,Unidentified Armed Group (Kosovo),Albanian Ethnic Group (Kosovo),Civilians (Kosovo),Journalists (Kosovo); Women (Kosovo),Kosovo,Mitrovica,North Mitrovica,North Mitrovica,42.8951,20.8653,1,International,0,XKX
XKX29,2018-03-29,2,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,2,National-International,1,XKX
XKX4,2018-01-08,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Peja,Kline,Rudice,42.6808,20.4894,1,International,0,XKX
XKX42,2018-05-29,2,Strategic developments,Other,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjakova,Gjakova,Gjakova,42.3803,20.4308,1,International,0,XKX
XKX44,2018-05-29,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjakova,Rahovec,Rahovec,42.4019,20.6515,1,International,0,XKX
XKX5,2018-01-09,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Peja,Istog,Llukac i Thate,42.7347,20.5094,1,International,0,XKX
XKX6,2018-01-13,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Peja,Istog,Osojan,42.7175,20.5656,1,International,0,XKX
XKX69,2018-08-11,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo); Students (Kosovo); Teachers (Kosovo),Kosovo,Pristina,Lipjan,Lipjan,42.5258,21.1224,2,International,0,XKX
XKX7,2018-01-14,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Peja,Istog,Istog,42.7822,20.4908,2,International,0,XKX
XKX71,2018-08-11,2,Violence against civilians,Attack,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo); Refugees/IDPs (Kosovo),Kosovo,Peja,Istog,Zhaq,42.7063,20.5016,1,International,0,XKX
XKX36,2018-04-23,2,Strategic developments,Other,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjakova,Gjakova,Gjakova,42.3803,20.4308,1,International,0,XKX
XKX59,2018-07-03,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),Albanian Ethnic Group (Kosovo),Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Pristina,Poduveja,Metergoc,42.8477,21.3977,1,International,0,XKX
XKX82,2018-09-08,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Ferizaj,Hani i Elezit,Hani i Elezit,42.1489,21.2979,2,National,0,XKX
XKX93,2018-09-19,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Pristina,Novoberde,Bostane,42.6016,21.4263,1,National,0,XKX
XKX87,2018-09-10,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Pristina,Fushe Kosove,Fushe Kosove,42.6375,21.0932,1,National,0,XKX
XKX78,2018-09-03,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Pristina,Fushe Kosove,Fushe Kosove,42.6375,21.0932,1,National,0,XKX
XKX94,2018-09-22,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Pristina,Novoberde,Bostane,42.6016,21.4263,1,International,0,XKX
XKX140,2018-12-04,1,Protests,Peaceful protest,Protesters (Kosovo),Serbian Ethnic Group (Kosovo); Labor Group (Kosovo),,,Kosovo,Ferizaj,Shterpca,Shterpca,42.2407,21.0258,1,International,0,XKX
XKX123,2018-11-23,1,Protests,Peaceful protest,Protesters (Kosovo),Serbian Ethnic Group (Kosovo),,,Kosovo,Mitrovica,Leposaviq,Jarinje,43.2003,20.7206,1,International,0,XKX
XKX119,2018-10-27,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2017-2020),,Unidentified Armed Group (Kosovo),,Kosovo,Mitrovica,North Mitrovica,North Mitrovica,42.8951,20.8653,1,International,0,XKX
XKX118,2018-10-23,1,Riots,Mob violence,Rioters (Kosovo),,Civilians (Kosovo),Albanian Ethnic Group (Kosovo),Kosovo,Mitrovica,North Mitrovica,North Mitrovica,42.8951,20.8653,1,National,0,XKX
XKX110,2018-10-14,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Kosovo,Mitrovica,Vushtrri,Vushtrri,42.8269,20.9703,2,National,0,XKX
XKX106,2018-10-09,1,Protests,Peaceful protest,Protesters (Kosovo),,,,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0,XKX
XKX101,2018-10-02,1,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Peja,Istog,Osojan,42.7175,20.5656,1,International,0,XKX
XKX97,2018-09-29,1,Strategic developments,Change to group/activity,Military Forces of Serbia (2017-),Government of Kosovo (2017-2020); Police Forces of Serbia (2017-),,,Kosovo,Mitrovica,Zubin Potok,Gazivode,42.9375,20.6711,2,International,0,XKX
XKX38,2018-05-03,1,Protests,Peaceful protest,Protesters (Kosovo),Journalists (Kosovo),,,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,International,0,XKX
XKX34,2018-04-12,1,Protests,Protest with intervention,Protesters (Kosovo),Students (Kosovo),Police Forces of Kosovo (2017-2020),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0,XKX
XKX10,2018-02-01,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Serbia),SDP: Social Democratic Party of Serbia,Kosovo,Mitrovica,North Mitrovica,North Mitrovica,42.8951,20.8653,1,International,0,XKX
