event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
YEM49489,2020-03-01,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Majzar,Al Khaniq,15.6403,44.757,1,Local partner-National,0,YEM
YEM49490,2020-03-01,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Marib City,Marib,15.461,45.3253,3,Local partner-National,0,YEM
YEM49620,2020-03-05,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Majzar,Majzar,15.85,44.775,2,Local partner-National,0,YEM
YEM49621,2020-03-05,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Suq Sirwah,15.4493,45.0189,2,Local partner-National,0,YEM
YEM49691,2020-03-07,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Sadah,Kitaf wa Al Boqee,Al Atfayn,17.1513,44.7239,1,Local partner-National,0,YEM
YEM49693,2020-03-07,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Sadah,Majz,Takhyah,17.154,43.591,1,Local partner-National,0,YEM
YEM49664,2020-03-06,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Suq Sirwah,15.4493,45.0189,2,Subnational,0,YEM
YEM49723,2020-03-08,1,Battles,Armed clash,Unidentified Armed Group (Yemen),,Hadramawt Tribal Alliance,,Yemen,Hadramawt,Al Qatn,Khashamir,15.9078,48.5856,1,Local partner-National,0,YEM
YEM49726,2020-03-08,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Suq Sirwah,15.4493,45.0189,2,Local partner-National,0,YEM
YEM49727,2020-03-08,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Sadah,Kitaf wa Al Boqee,Al Atfayn,17.1513,44.7239,1,Local partner-National,0,YEM
YEM49763,2020-03-09,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Majzar,Majzar,15.85,44.775,2,Local partner-National,0,YEM
YEM49764,2020-03-09,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Jabal Haylan,15.5242,45.0747,1,Local partner-National,0,YEM
YEM49811,2020-03-10,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Jabal Haylan,15.5242,45.0747,1,Local partner-National,0,YEM
YEM49890,2020-03-12,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Suq Sirwah,15.4493,45.0189,2,Local partner-National,0,YEM
YEM49922,2020-03-13,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Sanaa,Nihm,Al Faridah,15.7495,44.5863,1,Local partner-National,0,YEM
YEM49936,2020-03-14,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Ad Dali,Qaatabah,Subayra,13.8377,44.5877,1,Local partner-National,0,YEM
YEM49960,2020-03-14,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Majzar,Majzar,15.85,44.775,2,Local partner-National,0,YEM
YEM50030,2020-03-15,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Wadi Habab,15.4667,44.95,1,Local partner-National,0,YEM
YEM50079,2020-03-16,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Sanaa,Khwlan,Al Arqoub,15.319,44.8959,2,Local partner-National,0,YEM
YEM50200,2020-03-19,1,Strategic developments,Arrests,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),Civilians (Yemen),Fishers (Yemen); Labor Group (Yemen),Yemen,Al Mahrah,Al Ghaydah,Nishtun,15.8239,52.1842,1,Local partner-National,0,YEM
YEM50206,2020-03-19,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Suq Sirwah,15.4493,45.0189,2,Local partner-National,0,YEM
YEM50209,2020-03-19,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,,,Yemen,Marib,Sirwah,Wadi Habab,15.4667,44.95,1,Local partner-National,0,YEM
YEM50242,2020-03-20,1,Strategic developments,Change to group/activity,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),,,Yemen,Hadramawt,Al Abr,Al Abr,16.1333,47.2333,1,Local partner-National,0,YEM
