event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SAF9433,2017-12-17,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Gauteng,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,National,0,ZAF
SAF9432,2017-12-16,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Gauteng,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,National,0,ZAF
SAF9416,2017-11-29,1,Protests,Peaceful protest,Protesters (South Africa),EE: Equal Education,,,South Africa,Limpopo,Capricorn,Polokwane,-23.9045,29.4689,1,National,0,ZAF
SAF9396,2017-11-15,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,Buffalo City,Beacon Bay,-32.9703,27.944,1,National,0,ZAF
SAF9392,2017-11-14,1,Riots,Violent demonstration,Rioters (South Africa),,,,South Africa,Eastern Cape,Buffalo City,Beacon Bay,-32.9703,27.944,1,National,0,ZAF
SAF9321,2017-10-18,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa); EE: Equal Education,,,South Africa,Eastern Cape,Buffalo City,East London,-33.0153,27.9116,1,National,0,ZAF
SAF9318,2017-10-16,1,Protests,Peaceful protest,Protesters (South Africa),Police Union of South Africa; SAFTU: South African Federation of Trade Unions,,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0,ZAF
SAF9304,2017-10-09,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,Amathole,Idutywa,-32.0962,28.3049,1,National,0,ZAF
SAF9298,2017-10-06,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa); EE: Equal Education,,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0,ZAF
SAF9291,2017-10-04,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,Amathole,Ngcobo,-32.5858,27.3726,1,National,0,ZAF
SAF9277,2017-09-29,1,Riots,Violent demonstration,Rioters (South Africa),,,,South Africa,Gauteng,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,International,0,ZAF
SAF9266,2017-09-27,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Western Cape,Cape Winelands,Stellenbosch,-33.9346,18.8668,1,National,0,ZAF
SAF9232,2017-09-15,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Gauteng,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,National,0,ZAF
SAF9196,2017-09-05,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,KwaZulu-Natal,Sisonke,Umzinkulu,-30.2667,29.9333,1,National,0,ZAF
SAF9183,2017-08-30,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),Civilians (South Africa),,South Africa,Eastern Cape,Amathole,Ngcobo,-32.5858,27.3726,2,National,1,ZAF
SAF9181,2017-08-30,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,Buffalo City,Mdantsane,-32.9461,27.7279,1,National,0,ZAF
SAF9167,2017-08-28,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,Amathole,Butterworth,-32.3333,28.15,1,National,0,ZAF
SAF9158,2017-08-24,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),,,South Africa,Mpumalanga,Ehlanzeni,Middelplaas,-25.7181,31.5509,1,National,0,ZAF
SAF9109,2017-08-08,1,Protests,Peaceful protest,Protesters (South Africa),EFF: Economic Freedom Fighters,,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0,ZAF
SAF9084,2017-07-31,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),,,South Africa,Eastern Cape,Buffalo City,East London,-33.0153,27.9116,1,National,0,ZAF
SAF9057,2017-07-20,1,Protests,Peaceful protest,Protesters (South Africa),DA: Democratic Alliance,,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0,ZAF
SAF9019,2017-07-07,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Western Cape,City of Cape Town,Ocean View,-34.1486,18.3537,1,National,0,ZAF
SAF8976,2017-06-25,1,Protests,Peaceful protest,Protesters (Democratic Republic of Congo),,,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0,ZAF
SAF8963,2017-06-21,1,Riots,Violent demonstration,Rioters (South Africa),,,,South Africa,KwaZulu-Natal,iLembe,KwaDukuza,-29.3282,31.2895,2,Subnational,0,ZAF
