event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ZAM1299,2020-07-23,1,Protests,Peaceful protest,Protesters (Zambia),,,,Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,2,International,0,ZMB
ZAM1304,2020-08-26,2,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia),Civilians (Zambia),,Zambia,Lusaka,Kafue,Chilanga,-15.5708,28.2701,2,National,0,ZMB
ZAM1306,2020-08-30,1,Riots,Mob violence,Rioters (Zambia),UPND: United Party for National Development,Rioters (Zambia),PF: Patriotic Front,Zambia,Northern,Kasama,Kasama,-10.2166,31.2167,1,National,0,ZMB
ZAM1307,2020-09-08,1,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia),Unidentified Armed Group (Zambia),,Zambia,Southern,Choma,Batoka,-16.7648,27.2493,1,National,1,ZMB
ZAM1305,2020-08-29,1,Riots,Mob violence,Rioters (Zambia),,Civilians (Ethiopia),,Zambia,Eastern,Katete,Katete,-14.05,32.0833,1,National,1,ZMB
ZAM1310,2020-09-13,1,Violence against civilians,Attack,Unidentified Armed Group (Zambia),,Civilians (Zambia),Mafinga Communal Group (Zambia),Zambia,Muchinga,Mafinga,Muyombe,-10.5833,33.4667,2,National,1,ZMB
ZAM1311,2020-09-16,1,Riots,Mob violence,Rioters (Zambia),PF: Patriotic Front,Civilians (Zambia),UPND: United Party for National Development,Zambia,Northern,Kasama,Kasama,-10.2166,31.2167,1,National,0,ZMB
ZAM1312,2020-09-17,1,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia),Civilians (Zambia),,Zambia,Eastern,Chipata,Vwala,-13.5667,32.4666,1,National,1,ZMB
ZAM1324,2020-10-09,1,Protests,Peaceful protest,Protesters (Zambia),Miners (Zambia),,,Zambia,Copperbelt,Chililabombwe,Chililabombwe,-12.3666,27.8333,1,National,0,ZMB
ZAM1325,2020-10-10,2,Protests,Peaceful protest,Protesters (Zambia),Labor Group (Zambia),,,Zambia,Central,Mkushi,Mkushi,-13.6996,29.4975,1,National,0,ZMB
ZAM1318,2020-10-01,1,Protests,Peaceful protest,Protesters (Zambia),,,,Zambia,North-Western,Mufumbwe,Mufumbwe,-13.6833,24.8,1,National,0,ZMB
ZAM1321,2020-10-05,1,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia); Students (Zambia),Civilians (Zambia),Labor Group (Zambia),Zambia,North-Western,Mwinilunga,Mwinilunga,-11.85,24.3667,1,National,1,ZMB
ZAM1320,2020-10-05,1,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia); Students (Zambia),Civilians (Zambia),,Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,1,National,1,ZMB
ZAM1319,2020-10-04,2,Riots,Mob violence,Rioters (Zambia),PF: Patriotic Front,Civilians (Zambia),,Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,1,National,0,ZMB
ZAM1329,2020-10-15,1,Riots,Mob violence,Rioters (Zambia),,Civilians (Zambia),Teachers (Zambia),Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,1,Subnational,0,ZMB
ZAM1322,2020-10-05,1,Violence against civilians,Attack,PF: Patriotic Front,,Civilians (Zambia),UPND: United Party for National Development,Zambia,Muchinga,Nakonde,Nakonde,-9.3333,32.7667,1,National,0,ZMB
ZAM1331,2020-10-27,1,Riots,Mob violence,Rioters (Zambia),PF: Patriotic Front,Rioters (Zambia),PF: Patriotic Front,Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,1,National,0,ZMB
ZAM1333,2020-10-01,1,Riots,Mob violence,Rioters (Zambia),,Civilians (Zambia),Aid Workers (Zambia),Zambia,Western,Kaoma,Chilombu,-14.6397,24.8141,1,Local partner-Other,0,ZMB
ZAM1334,2020-11-15,1,Riots,Mob violence,Rioters (Zambia),PF: Patriotic Front,Civilians (Zambia),UPND: United Party for National Development,Zambia,Lusaka,Lusaka,Lusaka,-15.4166,28.2833,1,National,0,ZMB
ZAM1336,2020-11-29,2,Riots,Mob violence,Rioters (Zambia),Vigilante Group (Zambia),Civilians (Zambia),,Zambia,Copperbelt,Kitwe,Kitwe,-12.82,28.2,3,National,1,ZMB
ZAM1338,2020-12-19,1,Riots,Mob violence,Rioters (Zambia),,Civilians (Zambia),PF: Patriotic Front,Zambia,Southern,Monze,Monze,-16.3166,27.1833,1,National,0,ZMB
ZAM1335,2020-11-25,2,Riots,Mob violence,Rioters (Zambia),,Civilians (Zambia),PF: Patriotic Front; Government of Zambia (2011-2021),Zambia,Luapula,Mansa,Bahati,-11.0563,28.8518,2,National,0,ZMB
ZAM1302,2020-08-02,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Zambia),,Civilians (Zambia),Government of Zambia (2011-2021),Zambia,Copperbelt,Ndola,Chifubu,-12.9333,28.6091,1,National,0,ZMB
ZAM1295,2020-07-10,1,Riots,Mob violence,Rioters (Zambia),UPND: United Party for National Development,Rioters (Zambia),PF: Patriotic Front,Zambia,Copperbelt,Mufulira,Mufulira,-12.55,28.2667,1,National,0,ZMB
ZAM1294,2020-05-20,1,Riots,Violent demonstration,Rioters (Zambia),Taxi Drivers (Zambia),Police Forces of Zambia (2011-2021),,Zambia,Muchinga,Nakonde,Nakonde,-9.3333,32.7667,1,National,1,ZMB
