event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ZIM5834,2017-12-31,1,Protests,Excessive force against protesters,Military Forces of Zimbabwe (2017-),,Protesters (Zimbabwe),MRP: Mthwakazi Republic Party,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,-20.15,28.58,1,National,0,ZWE
ZIM5806,2017-12-29,1,Violence against civilians,Attack,ZANU-PF: Zimbabwe African National Union-Patriotic Front,,Civilians (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,National,0,ZWE
ZIM5843,2017-12-23,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,,,Zimbabwe,Mashonaland East,Marondera,Ushewokunze,-18.1667,31.2333,1,Local partner-Other,0,ZWE
ZIM5842,2017-12-22,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Mashonaland East,Goromonzi,Domboshava,-17.6086,31.1751,1,National,0,ZWE
ZIM5839,2017-12-15,3,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Mashonaland West,Kadoma Urban,Rimuka,-18.35,29.8833,1,Local partner-Other,0,ZWE
ZIM5808,2017-12-15,1,Riots,Mob violence,Rioters (Zimbabwe),,Police Forces of Zimbabwe (2017-),,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,-20.15,28.58,1,National,0,ZWE
ZIM5833,2017-12-15,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Police Forces of Zimbabwe (2017-),,Zimbabwe,Mashonaland East,Marondera Urban,Marondera,-18.1833,31.55,1,National,0,ZWE
ZIM5805,2017-12-13,2,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Manicaland,Chipinge Urban,Chipinge,-20.2,32.6167,2,National,0,ZWE
ZIM5807,2017-12-11,2,Riots,Mob violence,Rioters (Zimbabwe),,Police Forces of Zimbabwe (2017-),,Zimbabwe,Bulawayo,Bulawayo,Makokoba,-20.1419,28.5753,1,National,0,ZWE
ZIM5809,2017-12-11,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Bulawayo,Bulawayo,Makokoba,-20.1419,28.5753,1,National,0,ZWE
ZIM5811,2017-12-06,1,Battles,Armed clash,Police Forces of Zimbabwe (2017-),,Military Forces of Zimbabwe (2017-),,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,National,0,ZWE
