feature,mean_importance,target,horizon
acled_28d_lag,0.2646204575,Any protest (next N days),7
acled_7d_lag,0.24547877850000002,Any protest (next N days),7
riot_28d_lag,0.094489251675,Any protest (next N days),7
voice_accountability_est,0.0823502853525,Any protest (next N days),7
government_effectiveness_est,0.04483303259,Any protest (next N days),7
rule_of_law_est,0.04465503461275,Any protest (next N days),7
political_stability_est,0.041958813569749995,Any protest (next N days),7
violence_28d_lag,0.03414439556,Any protest (next N days),7
fao_food_index_yoy_lag3m,0.0321491573395,Any protest (next N days),7
unemployment_youth,0.02334488851,Any protest (next N days),7
gdp_per_capita_growth_z,0.0228521780515625,Any protest (next N days),7
fao_food_index_yoy_lag1m,0.020955974734,Any protest (next N days),7
unemployment_sa,0.0203487691225,Any protest (next N days),7
unemployment_total,0.01841344661575,Any protest (next N days),7
unemployment_rate,0.017558943222000002,Any protest (next N days),7
gdp_growth,0.0163584493275,Any protest (next N days),7
fao_oils_index_yoy,0.015041136222500001,Any protest (next N days),7
unemployment_sa_z,0.0136480985785,Any protest (next N days),7
government_effectiveness_est_z,0.0133433350440625,Any protest (next N days),7
inflation_cpi_yoy,0.012415332366500002,Any protest (next N days),7
gta_90d_count,0.012398558695,Any protest (next N days),7
gdp_growth_z,0.01234665019375,Any protest (next N days),7
protest_mobilisation_index,0.01135989431175,Any protest (next N days),7
gdp_per_capita_growth,0.01053520131025,Any protest (next N days),7
riot_7d_lag,0.010149620223,Any protest (next N days),7
inflation_cpi_yoy_z,0.0101243178515625,Any protest (next N days),7
fx_vol_30d,0.010102569341250001,Any protest (next N days),7
gta_harmful_events_z,0.009678066575250001,Any protest (next N days),7
labour_conflict_index_z,0.008285690352075,Any protest (next N days),7
economic_stress_index,0.00755349985625,Any protest (next N days),7
energy_cpi_inflation,0.007425013294000001,Any protest (next N days),7
unemployment_youth_z,0.0071857284484374995,Any protest (next N days),7
political_stability_est_z,0.006576465071875,Any protest (next N days),7
food_cpi_inflation,0.0064547004835,Any protest (next N days),7
rule_of_law_est_z,0.006435749975,Any protest (next N days),7
yield_us10y,0.00631876688,Any protest (next N days),7
unemployment_total_z,0.0058550165115625,Any protest (next N days),7
voice_accountability_est_z,0.005701052225625,Any protest (next N days),7
gta_liberalising_events_z,0.005610181843,Any protest (next N days),7
fao_cereals_index_yoy_lag6m,0.005168174237,Any protest (next N days),7
labour_conflict_index,0.00491011199925,Any protest (next N days),7
fao_food_index_yoy,0.00456566433065,Any protest (next N days),7
fao_food_yoy_x_youth_unemp,0.0045326477187499995,Any protest (next N days),7
fao_cereals_index_yoy_lag1m,0.0044100219284,Any protest (next N days),7
earnings_monthly,0.004404216046842105,Any protest (next N days),7
