country,roc_auc,pos_rate,n,target
NLD,0.2827,0.9989,1827,Any protest (next N days)
POL,0.3236,0.9989,1827,Any protest (next N days)
CHN,0.3523,0.9989,1827,Any protest (next N days)
VNM,0.3769,0.1056,1827,Any protest (next N days)
LAO,0.4029,0.0192,1827,Any protest (next N days)
ZAF,0.4578,0.9945,1827,Any protest (next N days)
KEN,0.5126,0.9765,1827,Any protest (next N days)
PHL,0.5301,0.9387,1827,Any protest (next N days)
MYS,0.5315,0.7345,1827,Any protest (next N days)
NOR,0.5725,0.9387,1827,Any protest (next N days)
ZWE,0.5869,0.486,1827,Any protest (next N days)
MOZ,0.6022,0.4882,1827,Any protest (next N days)
NAM,0.6135,0.7176,1827,Any protest (next N days)
HUN,0.6164,0.8604,1827,Any protest (next N days)
IRL,0.6222,0.942,1827,Any protest (next N days)
GRC,0.6774,0.9797,1827,Any protest (next N days)
THA,0.7409,0.9721,1827,Any protest (next N days)
PRT,0.744,0.9677,1827,Any protest (next N days)
CAN,0.9999,0.8035,1827,Any protest (next N days)
AUS,1.0,0.8013,1827,Any protest (next N days)
KOR,0.4099,0.058,1827,Elevated spike
TUR,0.4299,0.1182,1827,Elevated spike
PER,0.4685,0.1872,1827,Elevated spike
POL,0.4734,0.2184,1827,Elevated spike
IDN,0.4781,0.1297,1827,Elevated spike
GBR,0.4854,0.2014,1827,Elevated spike
THA,0.4895,0.1861,1827,Elevated spike
IND,0.49,0.1067,1827,Elevated spike
AUS,0.4979,0.1544,1827,Elevated spike
MEX,0.5,0.0876,1827,Elevated spike
MAR,0.5183,0.1834,1827,Elevated spike
KEN,0.5228,0.2343,1827,Elevated spike
NAM,0.5248,0.1762,1827,Elevated spike
ARG,0.5262,0.1626,1827,Elevated spike
CHL,0.5291,0.1905,1827,Elevated spike
ZWE,0.5306,0.0837,1827,Elevated spike
HUN,0.5376,0.2326,1827,Elevated spike
JPN,0.5377,0.145,1827,Elevated spike
MYS,0.5384,0.1949,1827,Elevated spike
DEU,0.5386,0.1927,1827,Elevated spike
SWE,0.5431,0.1483,1827,Elevated spike
BOL,0.5492,0.1877,1827,Elevated spike
ITA,0.5511,0.1965,1827,Elevated spike
PRT,0.5519,0.2162,1827,Elevated spike
FRA,0.5569,0.2381,1827,Elevated spike
NLD,0.5579,0.1921,1827,Elevated spike
CHN,0.5583,0.1215,1827,Elevated spike
USA,0.5727,0.127,1827,Elevated spike
PHL,0.5739,0.2162,1827,Elevated spike
ZAF,0.5775,0.168,1827,Elevated spike
NOR,0.5887,0.2425,1827,Elevated spike
BRA,0.589,0.1576,1827,Elevated spike
IRL,0.5898,0.2293,1827,Elevated spike
ESP,0.5957,0.2211,1827,Elevated spike
GRC,0.6047,0.2228,1827,Elevated spike
VNM,0.6069,0.0071,1827,Elevated spike
CAN,0.6201,0.1658,1827,Elevated spike
MOZ,0.6475,0.1045,1827,Elevated spike
