feature,importance,fold_id,horizon,model_name
num__acled_7d_lag,0.32219574,1,7,model5_xgboost_tuned
num__acled_28d_lag,0.30583093,1,7,model5_xgboost_tuned
num__riot_7d_lag,0.004184979,1,7,model5_xgboost_tuned
num__riot_28d_lag,0.029959282,1,7,model5_xgboost_tuned
num__violence_7d_lag,0.026702736,1,7,model5_xgboost_tuned
num__violence_28d_lag,0.032182958,1,7,model5_xgboost_tuned
num__protest_fat_7d_lag,0.0,1,7,model5_xgboost_tuned
num__protest_fat_28d_lag,0.0,1,7,model5_xgboost_tuned
num__fx_pct_7d,0.002654811,1,7,model5_xgboost_tuned
num__fx_pct_30d,0.0019989123,1,7,model5_xgboost_tuned
num__fx_pct_90d,0.0043683886,1,7,model5_xgboost_tuned
num__fx_vol_7d,0.007989819,1,7,model5_xgboost_tuned
num__fx_vol_30d,0.0036673413,1,7,model5_xgboost_tuned
num__oil_brent_pct_14d,0.0063577266,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d,0.012841542,1,7,model5_xgboost_tuned
num__yield_us10y,0.0031433667,1,7,model5_xgboost_tuned
num__fx_pct_30d_z,0.0035505325,1,7,model5_xgboost_tuned
num__fx_vol_30d_z,0.0009961068,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d_z,0.0,1,7,model5_xgboost_tuned
num__gdp_growth,0.006213317,1,7,model5_xgboost_tuned
num__gdp_per_capita_growth,0.009073761,1,7,model5_xgboost_tuned
num__inflation_cpi_yoy,0.014836115,1,7,model5_xgboost_tuned
num__unemployment_total,0.007499553,1,7,model5_xgboost_tuned
num__unemployment_youth,0.0038296613,1,7,model5_xgboost_tuned
num__unemployment_sa,0.0054561654,1,7,model5_xgboost_tuned
num__unemployment_sa_z,0.01115826,1,7,model5_xgboost_tuned
num__unemployment_rate,0.010805521,1,7,model5_xgboost_tuned
num__unemployment_rate_z,0.0060695894,1,7,model5_xgboost_tuned
num__earnings_monthly,0.0,1,7,model5_xgboost_tuned
num__earnings_monthly_z,0.0,1,7,model5_xgboost_tuned
num__political_stability_est,0.007861513,1,7,model5_xgboost_tuned
num__voice_accountability_est,0.008397771,1,7,model5_xgboost_tuned
num__government_effectiveness_est,0.0064380034,1,7,model5_xgboost_tuned
num__rule_of_law_est,0.004309175,1,7,model5_xgboost_tuned
num__fx_pct_30d_x_instability,0.009905664,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d_x_inflation,0.005959528,1,7,model5_xgboost_tuned
num__economic_stress_index,0.003713661,1,7,model5_xgboost_tuned
num__economic_stress_index_z,0.0039965194,1,7,model5_xgboost_tuned
num__labour_conflict_index,0.0012757163,1,7,model5_xgboost_tuned
num__labour_conflict_index_z,0.0031433695,1,7,model5_xgboost_tuned
num__protest_mobilisation_index,0.0,1,7,model5_xgboost_tuned
num__protest_mobilisation_index_z,0.004118561,1,7,model5_xgboost_tuned
num__food_cpi_inflation,0.0029817487,1,7,model5_xgboost_tuned
num__food_cpi_inflation_z,0.0050237835,1,7,model5_xgboost_tuned
num__energy_cpi_inflation,0.0052023865,1,7,model5_xgboost_tuned
num__energy_cpi_inflation_z,0.0035354586,1,7,model5_xgboost_tuned
num__month_sin,0.0033870083,1,7,model5_xgboost_tuned
num__month_cos,0.008341327,1,7,model5_xgboost_tuned
num__fao_food_index_yoy,0.008583935,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy,0.0021029084,1,7,model5_xgboost_tuned
num__fao_oils_index_yoy,0.008462935,1,7,model5_xgboost_tuned
num__fao_food_index_yoy_above90,0.0,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy_above90,0.0,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag1m,0.0032813514,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag3m,0.0023805725,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag6m,0.0035383257,1,7,model5_xgboost_tuned
num__fao_food_index_yoy_lag1m,0.0013564323,1,7,model5_xgboost_tuned
num__fao_food_index_yoy_lag3m,0.0,1,7,model5_xgboost_tuned
num__fao_cereals_yoy_x_instability,0.0003348998,1,7,model5_xgboost_tuned
num__fao_food_yoy_x_youth_unemp,0.0023850135,1,7,model5_xgboost_tuned
num__gta_harmful_events,0.0043112934,1,7,model5_xgboost_tuned
num__gta_harmful_events_z,0.0065624514,1,7,model5_xgboost_tuned
num__gta_liberalising_events,0.0,1,7,model5_xgboost_tuned
num__gta_liberalising_events_z,0.0033384194,1,7,model5_xgboost_tuned
num__gta_30d_count,0.004496596,1,7,model5_xgboost_tuned
num__gta_30d_count_z,0.0046832417,1,7,model5_xgboost_tuned
num__gta_90d_count,0.010036644,1,7,model5_xgboost_tuned
num__gta_90d_count_z,0.0029867108,1,7,model5_xgboost_tuned
num__fx_pct_7d,0.0047542155,1,7,model6_xgb_nolag
num__fx_pct_30d,0.0048512067,1,7,model6_xgb_nolag
num__fx_pct_90d,0.005076921,1,7,model6_xgb_nolag
num__fx_vol_7d,0.021927366,1,7,model6_xgb_nolag
num__fx_vol_30d,0.031840485,1,7,model6_xgb_nolag
num__oil_brent_pct_14d,0.0024171753,1,7,model6_xgb_nolag
num__oil_brent_pct_30d,0.002630444,1,7,model6_xgb_nolag
num__yield_us10y,0.039499182,1,7,model6_xgb_nolag
num__fx_pct_30d_z,0.008566117,1,7,model6_xgb_nolag
num__fx_vol_30d_z,0.0075156926,1,7,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.003265365,1,7,model6_xgb_nolag
num__gdp_growth,0.017083995,1,7,model6_xgb_nolag
num__gdp_per_capita_growth,0.026541352,1,7,model6_xgb_nolag
num__inflation_cpi_yoy,0.018312177,1,7,model6_xgb_nolag
num__unemployment_total,0.04484934,1,7,model6_xgb_nolag
num__unemployment_youth,0.037632845,1,7,model6_xgb_nolag
num__unemployment_sa,0.023021024,1,7,model6_xgb_nolag
num__unemployment_sa_z,0.021204872,1,7,model6_xgb_nolag
num__unemployment_rate,0.01525179,1,7,model6_xgb_nolag
num__unemployment_rate_z,0.006541336,1,7,model6_xgb_nolag
num__earnings_monthly,0.007697761,1,7,model6_xgb_nolag
num__earnings_monthly_z,0.0015698915,1,7,model6_xgb_nolag
num__political_stability_est,0.17901894,1,7,model6_xgb_nolag
num__voice_accountability_est,0.07575532,1,7,model6_xgb_nolag
num__government_effectiveness_est,0.041853618,1,7,model6_xgb_nolag
num__rule_of_law_est,0.13166508,1,7,model6_xgb_nolag
num__fx_pct_30d_x_instability,0.0018706478,1,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_inflation,0.0021249186,1,7,model6_xgb_nolag
num__economic_stress_index,0.007832727,1,7,model6_xgb_nolag
num__economic_stress_index_z,0.003861934,1,7,model6_xgb_nolag
num__labour_conflict_index,0.005404824,1,7,model6_xgb_nolag
num__labour_conflict_index_z,0.01461618,1,7,model6_xgb_nolag
num__protest_mobilisation_index,0.020922203,1,7,model6_xgb_nolag
num__protest_mobilisation_index_z,0.0069287466,1,7,model6_xgb_nolag
num__food_cpi_inflation,0.011667173,1,7,model6_xgb_nolag
num__food_cpi_inflation_z,0.0074238484,1,7,model6_xgb_nolag
num__energy_cpi_inflation,0.014060918,1,7,model6_xgb_nolag
num__energy_cpi_inflation_z,0.0042130356,1,7,model6_xgb_nolag
num__month_sin,0.0014712925,1,7,model6_xgb_nolag
num__month_cos,0.003870361,1,7,model6_xgb_nolag
num__fao_food_index_yoy,0.005335769,1,7,model6_xgb_nolag
num__fao_cereals_index_yoy,0.007406503,1,7,model6_xgb_nolag
num__fao_oils_index_yoy,0.0060856044,1,7,model6_xgb_nolag
num__fao_food_index_yoy_above90,0.0,1,7,model6_xgb_nolag
num__fao_cereals_index_yoy_above90,0.0,1,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag1m,0.0029964102,1,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag3m,0.004362058,1,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag6m,0.0043933736,1,7,model6_xgb_nolag
num__fao_food_index_yoy_lag1m,0.0029806271,1,7,model6_xgb_nolag
num__fao_food_index_yoy_lag3m,0.0046753986,1,7,model6_xgb_nolag
num__fao_cereals_yoy_x_instability,0.0021948926,1,7,model6_xgb_nolag
num__fao_food_yoy_x_youth_unemp,0.0029280623,1,7,model6_xgb_nolag
num__gta_harmful_events,0.0009297499,1,7,model6_xgb_nolag
num__gta_harmful_events_z,0.014610774,1,7,model6_xgb_nolag
num__gta_liberalising_events,0.0,1,7,model6_xgb_nolag
num__gta_liberalising_events_z,0.0067381854,1,7,model6_xgb_nolag
num__gta_30d_count,0.012092051,1,7,model6_xgb_nolag
num__gta_30d_count_z,0.0027680576,1,7,model6_xgb_nolag
