model_name,feature,mean_abs_shap
model5_xgb,num__country_strike_baseline,0.76497453
model5_xgb,num__country_protest_baseline,0.28615734
model5_xgb,num__gdelt_strike_28d_lag,0.11024526
model5_xgb,num__gdelt_protest_28d_lag,0.06925916
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.048263665
model5_xgb,num__rule_of_law_est,0.032098647
model5_xgb,num__gdp_per_capita_growth,0.031612046
model5_xgb,num__unemployment_rate,0.029909011
model5_xgb,num__yield_us10y,0.029649647
model5_xgb,num__fao_cereals_yoy_x_instability,0.025554078
model5_xgb,num__energy_cpi_inflation_z,0.022293817
model5_xgb,num__gta_90d_count,0.016643168
model5_xgb,num__fx_vol_30d,0.014076123
model5_xgb,num__unemployment_rate_z,0.013240483
model5_xgb,num__unemployment_youth,0.013171062
model5_xgb,num__dxy_level,0.0126520395
model5_xgb,num__gdelt_strike_7d_lag,0.011691397
model5_xgb,num__energy_cpi_inflation,0.010701342
model5_xgb,num__food_cpi_inflation,0.0105281975
model5_xgb,num__gta_30d_count,0.009144047
model5_xgb,num__voice_accountability_est,0.00857912
model5_xgb,num__fx_pct_30d_x_instability,0.0077326456
model5_xgb,num__gta_90d_count_z,0.0074641164
model5_xgb,num__unemployment_total,0.0072726402
model5_xgb,num__fx_vol_30d_z,0.0071631046
model5_xgb,num__unemployment_sa,0.0065897596
model5_xgb,num__gini_coef,0.0064136693
model5_xgb,num__copper_pct_90d,0.006361304
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.0060430495
model5_xgb,num__month_cos,0.0058698975
model5_xgb,num__dxy_vol_30d,0.005608489
model5_xgb,fe__country_iso3_PRT,0.0054289764
model5_xgb,num__fx_pct_30d,0.0053830626
model5_xgb,num__gta_liberalising_events_z,0.0052521084
model5_xgb,num__oil_brent_pct_30d_lag30d,0.00514331
model5_xgb,num__gta_harmful_events_z,0.004925071
model5_xgb,num__fao_food_index_yoy_lag3m,0.0048965844
model5_xgb,num__government_effectiveness_est,0.0044680233
model5_xgb,num__month_sin,0.0042839237
model5_xgb,num__fx_pct_30d_lag30d,0.0041601504
model5_xgb,fe__country_iso3_KOR,0.0041474514
model5_xgb,num__gdp_growth,0.0036984577
model5_xgb,num__food_cpi_inflation_z,0.0036570954
model5_xgb,num__inflation_cpi_yoy,0.0032965492
model5_xgb,num__gdelt_protest_region_14d,0.0026785554
model5_xgb,num__fao_oils_index_yoy_lag1m,0.0026649567
model5_xgb,num__fx_pct_90d,0.0026267946
model5_xgb,num__gold_pct_30d_x_gold_prod,0.0025860518
model5_xgb,fe__country_iso3_CHN,0.0024252099
model5_xgb,num__fao_food_index_yoy_lag6m,0.0024123683
model5_xgb,fe__country_iso3_POL,0.0023734786
model5_xgb,num__fao_food_index_yoy,0.0022336622
model5_xgb,num__oil_brent_pct_30d_lag90d,0.0017941408
model5_xgb,num__gta_30d_count_z,0.0011618589
model5_xgb,num__fao_cereals_index_yoy_lag3m,0.00097347406
model5_xgb,num__oil_brent_pct_30d_x_net_importer,0.0009059907
model5_xgb,num__fx_pct_30d_z,0.00054390176
model5_xgb,num__political_stability_est,0.00052417425
model5_xgb,num__fao_food_index_yoy_lag1m,0.0004803693
model5_xgb,fe__country_iso3_GRC,0.00042264425
model5_xgb,num__vix_level,5.6454966e-05
model5_xgb,fe__country_iso3_AUS,0.0
model5_xgb,fe__country_iso3_BOL,0.0
model5_xgb,fe__country_iso3_BRA,0.0
model5_xgb,fe__country_iso3_CAN,0.0
model5_xgb,fe__country_iso3_CHL,0.0
model5_xgb,fe__country_iso3_DEU,0.0
model5_xgb,fe__country_iso3_ESP,0.0
model5_xgb,fe__country_iso3_FRA,0.0
model5_xgb,fe__country_iso3_GBR,0.0
model5_xgb,fe__country_iso3_HUN,0.0
model5_xgb,fe__country_iso3_IDN,0.0
model5_xgb,fe__country_iso3_IND,0.0
model5_xgb,fe__country_iso3_IRL,0.0
model5_xgb,fe__country_iso3_ITA,0.0
model5_xgb,fe__country_iso3_JPN,0.0
model5_xgb,fe__country_iso3_KEN,0.0
model5_xgb,fe__country_iso3_LAO,0.0
model5_xgb,fe__country_iso3_MAR,0.0
model5_xgb,fe__country_iso3_MEX,0.0
model5_xgb,fe__country_iso3_MOZ,0.0
model5_xgb,fe__country_iso3_MYS,0.0
model5_xgb,fe__country_iso3_NAM,0.0
model5_xgb,fe__country_iso3_NLD,0.0
model5_xgb,fe__country_iso3_NOR,0.0
model5_xgb,fe__country_iso3_PER,0.0
model5_xgb,fe__country_iso3_PHL,0.0
model5_xgb,fe__country_iso3_SWE,0.0
model5_xgb,fe__country_iso3_THA,0.0
model5_xgb,fe__country_iso3_TUR,0.0
model5_xgb,fe__country_iso3_USA,0.0
model5_xgb,fe__country_iso3_VNM,0.0
model5_xgb,fe__country_iso3_ZAF,0.0
model5_xgb,fe__country_iso3_ZWE,0.0
model5_xgb,num__copper_pct_30d,0.0
model5_xgb,num__copper_pct_30d_x_copper_prod,0.0
model5_xgb,num__copper_vol_30d,0.0
model5_xgb,num__covid_period,0.0
model5_xgb,num__dxy_pct_30d,0.0
model5_xgb,num__fao_cereals_index_yoy,0.0
model5_xgb,num__fao_cereals_index_yoy_above90,0.0
model5_xgb,num__fao_cereals_index_yoy_lag6m,0.0
model5_xgb,num__fao_food_index_yoy_above90,0.0
model5_xgb,num__fao_oils_index_yoy,0.0
model5_xgb,num__fao_oils_index_yoy_lag3m,0.0
model5_xgb,num__fao_oils_index_yoy_lag6m,0.0
model5_xgb,num__fx_pct_30d_lag60d,0.0
model5_xgb,num__fx_pct_7d,0.0
model5_xgb,num__fx_trend_consistent,0.0
model5_xgb,num__fx_vol_7d,0.0
model5_xgb,num__gdelt_protest_7d_lag,0.0
model5_xgb,num__gdelt_strike_region_14d,0.0
model5_xgb,num__gold_pct_30d,0.0
model5_xgb,num__gold_vol_30d,0.0
model5_xgb,num__gta_harmful_events,0.0
model5_xgb,num__gta_liberalising_events,0.0
model5_xgb,num__inflation_accel,0.0
model5_xgb,num__inflation_cpi_yoy_z,0.0
model5_xgb,num__natgas_pct_30d,0.0
model5_xgb,num__oil_brent_pct_14d,0.0
model5_xgb,num__oil_brent_pct_30d,0.0
model5_xgb,num__oil_brent_pct_30d_lag60d,0.0
model5_xgb,num__oil_brent_pct_30d_x_inflation,0.0
model5_xgb,num__oil_brent_pct_30d_z,0.0
model5_xgb,num__platinum_pct_30d,0.0
model5_xgb,num__platinum_pct_30d_x_plat_prod,0.0
model5_xgb,num__silver_pct_30d,0.0
model5_xgb,num__vix_7d_ma,0.0
model5_xgb,num__vix_pct_30d,0.0
model5_xgb,num__vix_pct_30d_lag30d,0.0
model5_xgb,num__vix_pct_30d_lag60d,0.0
model6_xgb_nolag,num__country_strike_baseline,0.83547467
model6_xgb_nolag,num__country_protest_baseline,0.35008
model6_xgb_nolag,num__fao_food_yoy_x_youth_unemp,0.062257748
model6_xgb_nolag,num__rule_of_law_est,0.04246887
model6_xgb_nolag,num__fao_cereals_yoy_x_instability,0.03395851
model6_xgb_nolag,num__unemployment_sa,0.020684749
model6_xgb_nolag,num__energy_cpi_inflation,0.01915874
model6_xgb_nolag,num__unemployment_rate,0.018904857
model6_xgb_nolag,num__gdp_per_capita_growth,0.01629654
model6_xgb_nolag,num__unemployment_total,0.01619808
model6_xgb_nolag,num__government_effectiveness_est,0.0148193855
model6_xgb_nolag,num__gta_90d_count,0.013308361
model6_xgb_nolag,num__fx_pct_30d_x_instability,0.012316028
model6_xgb_nolag,num__food_cpi_inflation,0.010178753
model6_xgb_nolag,num__gini_coef,0.010158319
model6_xgb_nolag,num__yield_us10y,0.009536691
model6_xgb_nolag,num__gdp_growth,0.009469182
model6_xgb_nolag,fe__country_iso3_MYS,0.0073710517
model6_xgb_nolag,num__energy_cpi_inflation_z,0.007044745
model6_xgb_nolag,num__inflation_cpi_yoy,0.006681104
model6_xgb_nolag,fe__country_iso3_KOR,0.0066244346
model6_xgb_nolag,num__fx_vol_30d,0.005902538
model6_xgb_nolag,num__dxy_vol_30d,0.005871242
model6_xgb_nolag,num__food_cpi_inflation_z,0.0052293222
model6_xgb_nolag,num__month_cos,0.0050154193
model6_xgb_nolag,num__gold_pct_30d_x_gold_prod,0.004619866
model6_xgb_nolag,num__dxy_level,0.0037240025
model6_xgb_nolag,num__gta_liberalising_events_z,0.0031714577
model6_xgb_nolag,num__fao_cereals_index_yoy_lag1m,0.0030973642
model6_xgb_nolag,fe__country_iso3_PHL,0.0029861522
model6_xgb_nolag,num__fao_oils_index_yoy_lag6m,0.0025305422
