feature,importance,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.043537248,1,protest,7,model5_xgb
num__gdelt_protest_28d_lag,0.11077083,1,protest,7,model5_xgb
num__gdelt_strike_7d_lag,0.0,1,protest,7,model5_xgb
num__gdelt_strike_28d_lag,0.019164756,1,protest,7,model5_xgb
num__gdelt_protest_region_14d,0.0073730764,1,protest,7,model5_xgb
num__gdelt_strike_region_14d,0.006363779,1,protest,7,model5_xgb
num__fx_pct_7d,0.0,1,protest,7,model5_xgb
num__fx_pct_30d,0.004715138,1,protest,7,model5_xgb
num__fx_pct_90d,0.0061258124,1,protest,7,model5_xgb
num__fx_vol_7d,0.0,1,protest,7,model5_xgb
num__fx_vol_30d,0.013271676,1,protest,7,model5_xgb
num__oil_brent_pct_14d,0.015789483,1,protest,7,model5_xgb
num__oil_brent_pct_30d,0.0,1,protest,7,model5_xgb
num__yield_us10y,0.0031035251,1,protest,7,model5_xgb
num__fx_pct_30d_z,0.0,1,protest,7,model5_xgb
num__fx_vol_30d_z,0.007894843,1,protest,7,model5_xgb
num__oil_brent_pct_30d_z,0.0,1,protest,7,model5_xgb
num__copper_pct_30d,0.0068723587,1,protest,7,model5_xgb
num__copper_pct_90d,0.0,1,protest,7,model5_xgb
num__copper_vol_30d,0.0,1,protest,7,model5_xgb
num__gold_pct_30d,0.0,1,protest,7,model5_xgb
num__gold_vol_30d,0.011454778,1,protest,7,model5_xgb
num__platinum_pct_30d,0.0,1,protest,7,model5_xgb
num__silver_pct_30d,0.006640035,1,protest,7,model5_xgb
num__natgas_pct_30d,0.011607284,1,protest,7,model5_xgb
num__vix_level,0.0074787084,1,protest,7,model5_xgb
num__vix_pct_30d,0.0,1,protest,7,model5_xgb
num__vix_7d_ma,0.008207232,1,protest,7,model5_xgb
num__dxy_level,0.011661298,1,protest,7,model5_xgb
num__dxy_pct_30d,0.006659931,1,protest,7,model5_xgb
num__dxy_vol_30d,0.0,1,protest,7,model5_xgb
num__oil_brent_pct_30d_lag30d,0.005122973,1,protest,7,model5_xgb
num__oil_brent_pct_30d_lag60d,0.00547478,1,protest,7,model5_xgb
num__oil_brent_pct_30d_lag90d,0.009383606,1,protest,7,model5_xgb
num__vix_pct_30d_lag30d,0.0,1,protest,7,model5_xgb
num__vix_pct_30d_lag60d,0.012130847,1,protest,7,model5_xgb
num__fx_pct_30d_lag30d,0.006768747,1,protest,7,model5_xgb
num__fx_pct_30d_lag60d,0.007662383,1,protest,7,model5_xgb
num__gdp_growth,0.0,1,protest,7,model5_xgb
num__gdp_per_capita_growth,0.015749259,1,protest,7,model5_xgb
num__inflation_cpi_yoy,0.008389803,1,protest,7,model5_xgb
num__inflation_cpi_yoy_z,0.0,1,protest,7,model5_xgb
num__unemployment_total,0.021657556,1,protest,7,model5_xgb
num__unemployment_youth,0.0064592087,1,protest,7,model5_xgb
num__unemployment_sa,0.021915872,1,protest,7,model5_xgb
num__unemployment_rate,0.016686913,1,protest,7,model5_xgb
num__unemployment_rate_z,0.012230788,1,protest,7,model5_xgb
num__political_stability_est,0.0076957815,1,protest,7,model5_xgb
num__voice_accountability_est,0.008766463,1,protest,7,model5_xgb
num__government_effectiveness_est,0.003903836,1,protest,7,model5_xgb
num__rule_of_law_est,0.011270562,1,protest,7,model5_xgb
num__fx_pct_30d_x_instability,0.011498203,1,protest,7,model5_xgb
num__oil_brent_pct_30d_x_inflation,0.0,1,protest,7,model5_xgb
num__food_cpi_inflation,0.008462844,1,protest,7,model5_xgb
num__food_cpi_inflation_z,0.013022556,1,protest,7,model5_xgb
num__energy_cpi_inflation,0.00675651,1,protest,7,model5_xgb
num__energy_cpi_inflation_z,0.0,1,protest,7,model5_xgb
num__gini_coef,0.011613171,1,protest,7,model5_xgb
num__covid_period,0.0,1,protest,7,model5_xgb
num__fx_trend_consistent,0.0,1,protest,7,model5_xgb
num__inflation_accel,0.0,1,protest,7,model5_xgb
num__country_protest_baseline,0.1594074,1,protest,7,model5_xgb
num__country_strike_baseline,0.09523033,1,protest,7,model5_xgb
num__copper_pct_30d_x_copper_prod,0.0,1,protest,7,model5_xgb
num__gold_pct_30d_x_gold_prod,0.0,1,protest,7,model5_xgb
num__platinum_pct_30d_x_plat_prod,0.0,1,protest,7,model5_xgb
num__oil_brent_pct_30d_x_net_importer,0.0,1,protest,7,model5_xgb
num__month_sin,0.0,1,protest,7,model5_xgb
num__month_cos,0.008577707,1,protest,7,model5_xgb
num__fao_food_index_yoy,0.0073511233,1,protest,7,model5_xgb
num__fao_cereals_index_yoy,0.005690451,1,protest,7,model5_xgb
num__fao_oils_index_yoy,0.01312001,1,protest,7,model5_xgb
num__fao_food_index_yoy_above90,0.0,1,protest,7,model5_xgb
num__fao_cereals_index_yoy_above90,0.0,1,protest,7,model5_xgb
num__fao_cereals_index_yoy_lag1m,0.00855615,1,protest,7,model5_xgb
num__fao_cereals_index_yoy_lag3m,0.0,1,protest,7,model5_xgb
num__fao_cereals_index_yoy_lag6m,0.0076696915,1,protest,7,model5_xgb
num__fao_food_index_yoy_lag1m,0.007306246,1,protest,7,model5_xgb
num__fao_food_index_yoy_lag3m,0.0,1,protest,7,model5_xgb
num__fao_food_index_yoy_lag6m,0.0,1,protest,7,model5_xgb
num__fao_oils_index_yoy_lag1m,0.0,1,protest,7,model5_xgb
num__fao_oils_index_yoy_lag3m,0.0,1,protest,7,model5_xgb
num__fao_oils_index_yoy_lag6m,0.0,1,protest,7,model5_xgb
num__fao_cereals_yoy_x_instability,0.011250975,1,protest,7,model5_xgb
num__fao_food_yoy_x_youth_unemp,0.0055699395,1,protest,7,model5_xgb
num__gta_harmful_events,0.0,1,protest,7,model5_xgb
num__gta_harmful_events_z,0.008787166,1,protest,7,model5_xgb
num__gta_liberalising_events,0.0,1,protest,7,model5_xgb
num__gta_liberalising_events_z,0.0,1,protest,7,model5_xgb
num__gta_30d_count,0.008703572,1,protest,7,model5_xgb
num__gta_30d_count_z,0.009506554,1,protest,7,model5_xgb
num__gta_90d_count,0.011251404,1,protest,7,model5_xgb
num__gta_90d_count_z,0.0,1,protest,7,model5_xgb
fe__country_iso3_AUS,0.0,1,protest,7,model5_xgb
fe__country_iso3_BOL,0.0,1,protest,7,model5_xgb
fe__country_iso3_BRA,0.0,1,protest,7,model5_xgb
fe__country_iso3_CAN,0.0,1,protest,7,model5_xgb
fe__country_iso3_CHL,0.006300692,1,protest,7,model5_xgb
fe__country_iso3_CHN,0.0,1,protest,7,model5_xgb
fe__country_iso3_DEU,0.0,1,protest,7,model5_xgb
fe__country_iso3_ESP,0.0,1,protest,7,model5_xgb
fe__country_iso3_FRA,0.0,1,protest,7,model5_xgb
fe__country_iso3_GBR,0.0,1,protest,7,model5_xgb
fe__country_iso3_GRC,0.010676633,1,protest,7,model5_xgb
fe__country_iso3_HUN,0.0,1,protest,7,model5_xgb
fe__country_iso3_IDN,0.0,1,protest,7,model5_xgb
fe__country_iso3_IND,0.0,1,protest,7,model5_xgb
fe__country_iso3_IRL,0.0,1,protest,7,model5_xgb
fe__country_iso3_ITA,0.0,1,protest,7,model5_xgb
fe__country_iso3_JPN,0.0,1,protest,7,model5_xgb
fe__country_iso3_KEN,0.0,1,protest,7,model5_xgb
fe__country_iso3_KOR,0.0,1,protest,7,model5_xgb
fe__country_iso3_LAO,0.0,1,protest,7,model5_xgb
fe__country_iso3_MAR,0.0,1,protest,7,model5_xgb
fe__country_iso3_MEX,0.0,1,protest,7,model5_xgb
fe__country_iso3_MOZ,0.014551185,1,protest,7,model5_xgb
fe__country_iso3_MYS,0.029693583,1,protest,7,model5_xgb
fe__country_iso3_NAM,0.0,1,protest,7,model5_xgb
