target,model_name,year,expanding,static,delta_bss
protest_7d,model1_markets,2020,0.3425,0.1717,0.1708
protest_7d,model2_full,2020,0.3438,0.1014,0.2424
protest_7d,model3_structural,2020,0.3378,0.0916,0.2462
protest_7d,model4_fao,2020,0.2318,-0.307,0.5389
protest_7d,model_lr_nolag,2020,0.2178,-0.3419,0.5597
protest_7d,model1_markets,2021,0.4158,0.4241,-0.0083
protest_7d,model2_full,2021,0.4143,0.4115,0.0029
protest_7d,model3_structural,2021,0.4156,0.4218,-0.0062
protest_7d,model4_fao,2021,0.3854,-0.1505,0.5358
protest_7d,model_lr_nolag,2021,0.3613,-0.233,0.5943
strike_7d,model1_markets,2020,0.2438,0.0906,0.1532
strike_7d,model2_full,2020,0.2254,0.0479,0.1775
strike_7d,model3_structural,2020,0.254,0.0308,0.2232
strike_7d,model4_fao,2020,0.0769,-1.3354,1.4123
strike_7d,model_lr_nolag,2020,0.0723,-1.4693,1.5416
strike_7d,model1_markets,2021,0.395,0.4037,-0.0087
strike_7d,model2_full,2021,0.4153,0.4246,-0.0093
strike_7d,model3_structural,2021,0.4352,0.4642,-0.029
strike_7d,model4_fao,2021,0.4207,0.3082,0.1125
strike_7d,model_lr_nolag,2021,0.4083,0.2825,0.1258
