target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8465,0.8172,0.1943,0.1717,0.3758582037270562
protest_7d,static,2,0.873,0.8358,0.1335,0.4241,0.3654204268729408
strike_7d,static,1,0.8849,0.7897,0.1585,0.0906,0.2248143477651674
strike_7d,static,2,0.9077,0.8149,0.0998,0.4037,0.2125769946998997
protest_7d,expanding,2020-01,0.8642,0.86,0.147,0.4024,
protest_7d,expanding,2020-02,0.8699,0.8786,0.1442,0.4204,
protest_7d,expanding,2020-03,0.8036,0.7309,0.2804,-0.3972,
protest_7d,expanding,2020-04,0.8448,0.7884,0.152,0.2979,
protest_7d,expanding,2020-05,0.8873,0.8666,0.1314,0.4457,
protest_7d,expanding,2020-06,0.8903,0.8924,0.1361,0.4543,
protest_7d,expanding,2020-07,0.862,0.8467,0.1414,0.4135,
protest_7d,expanding,2020-08,0.8645,0.8538,0.1533,0.3333,
protest_7d,expanding,2020-09,0.9011,0.8825,0.1072,0.5322,
protest_7d,expanding,2020-10,0.8777,0.8417,0.1314,0.4358,
protest_7d,expanding,2020-11,0.8659,0.8403,0.1337,0.4291,
protest_7d,expanding,2020-12,0.9028,0.8291,0.1375,0.3424,
protest_7d,expanding,2021-01,0.8618,0.815,0.1333,0.4068,
protest_7d,expanding,2021-02,0.8267,0.82,0.1565,0.3513,
protest_7d,expanding,2021-03,0.8854,0.873,0.1309,0.4606,
protest_7d,expanding,2021-04,0.9123,0.8809,0.1205,0.4961,
protest_7d,expanding,2021-05,0.8864,0.8424,0.1285,0.4426,
protest_7d,expanding,2021-06,0.8636,0.8487,0.1384,0.4205,
protest_7d,expanding,2021-07,0.8735,0.8239,0.141,0.3664,
protest_7d,expanding,2021-08,0.8715,0.815,0.1349,0.4071,
protest_7d,expanding,2021-09,0.9028,0.8774,0.1171,0.4941,
protest_7d,expanding,2021-10,0.8484,0.8123,0.1489,0.3446,
protest_7d,expanding,2021-11,0.906,0.8747,0.1198,0.4888,
protest_7d,expanding,2021-12,0.8762,0.7903,0.1418,0.3106,
strike_7d,expanding,2020-01,0.8682,0.7505,0.1346,0.2847,
strike_7d,expanding,2020-02,0.8613,0.7862,0.129,0.2827,
strike_7d,expanding,2020-03,0.8821,0.7756,0.1063,0.3901,
strike_7d,expanding,2020-04,0.8953,0.8169,0.2715,-0.719,
strike_7d,expanding,2020-05,0.921,0.8614,0.1384,0.191,
strike_7d,expanding,2020-06,0.9147,0.86,0.1213,0.3693,
strike_7d,expanding,2020-07,0.9082,0.8336,0.1159,0.3387,
strike_7d,expanding,2020-08,0.932,0.8512,0.1055,0.4128,
strike_7d,expanding,2020-09,0.9037,0.8066,0.1009,0.4271,
strike_7d,expanding,2020-10,0.9177,0.8024,0.1038,0.3051,
strike_7d,expanding,2020-11,0.9151,0.8347,0.0926,0.4404,
strike_7d,expanding,2020-12,0.8644,0.7659,0.1408,0.2029,
strike_7d,expanding,2021-01,0.9305,0.8352,0.0917,0.4046,
strike_7d,expanding,2021-02,0.9213,0.8646,0.0941,0.4149,
strike_7d,expanding,2021-03,0.9119,0.8062,0.1061,0.4009,
strike_7d,expanding,2021-04,0.882,0.7907,0.1096,0.3873,
strike_7d,expanding,2021-05,0.894,0.8171,0.1076,0.3659,
strike_7d,expanding,2021-06,0.8997,0.8116,0.0977,0.4363,
strike_7d,expanding,2021-07,0.9143,0.8308,0.0877,0.4191,
strike_7d,expanding,2021-08,0.9219,0.8021,0.0977,0.4468,
strike_7d,expanding,2021-09,0.9252,0.8303,0.0932,0.4777,
strike_7d,expanding,2021-10,0.9272,0.8424,0.0953,0.4537,
strike_7d,expanding,2021-11,0.8938,0.8261,0.1007,0.3883,
strike_7d,expanding,2021-12,0.8979,0.7885,0.1189,0.1442,
