feature,coefficient,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.4598955930582157,1,protest,7,model2_full,protest_7d
num__gdelt_strike_7d_lag,-0.1816577319366174,1,protest,7,model2_full,protest_7d
num__gdelt_strike_28d_lag,0.4169290057414636,1,protest,7,model2_full,protest_7d
num__gdelt_protest_region_14d,0.1166135183514091,1,protest,7,model2_full,protest_7d
num__gdelt_strike_region_14d,-0.1324510235110804,1,protest,7,model2_full,protest_7d
num__fx_pct_7d,0.0226622000937197,1,protest,7,model2_full,protest_7d
num__fx_pct_30d,-0.700689786840197,1,protest,7,model2_full,protest_7d
num__fx_pct_90d,-0.1502790150271269,1,protest,7,model2_full,protest_7d
num__fx_vol_7d,-0.0104238817346947,1,protest,7,model2_full,protest_7d
num__fx_vol_30d,-0.2276959607496495,1,protest,7,model2_full,protest_7d
num__oil_brent_pct_14d,0.0324133622285578,1,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d,0.074943092539926,1,protest,7,model2_full,protest_7d
num__yield_us10y,-0.11519940994143,1,protest,7,model2_full,protest_7d
num__fx_pct_30d_z,0.0731803188584915,1,protest,7,model2_full,protest_7d
num__fx_vol_30d_z,0.0307561094396001,1,protest,7,model2_full,protest_7d
num__copper_pct_30d,0.0170219306555414,1,protest,7,model2_full,protest_7d
num__copper_pct_90d,0.0625988690938926,1,protest,7,model2_full,protest_7d
num__copper_vol_30d,0.0301357702445308,1,protest,7,model2_full,protest_7d
num__gold_pct_30d,-0.0998525381971511,1,protest,7,model2_full,protest_7d
num__gold_vol_30d,0.0331361744583157,1,protest,7,model2_full,protest_7d
num__platinum_pct_30d,-0.0028248435294527,1,protest,7,model2_full,protest_7d
num__silver_pct_30d,-0.0180145589306206,1,protest,7,model2_full,protest_7d
num__natgas_pct_30d,0.059891850489459,1,protest,7,model2_full,protest_7d
num__vix_pct_30d,-0.015246108966148,1,protest,7,model2_full,protest_7d
num__vix_7d_ma,0.0933091162887994,1,protest,7,model2_full,protest_7d
num__dxy_level,0.1694303491737345,1,protest,7,model2_full,protest_7d
num__dxy_pct_30d,-0.1314720194393305,1,protest,7,model2_full,protest_7d
num__dxy_vol_30d,0.0694039480096794,1,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag30d,-0.0390012777860597,1,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag60d,0.0753381164438226,1,protest,7,model2_full,protest_7d
num__oil_brent_pct_30d_lag90d,-0.0215502207395143,1,protest,7,model2_full,protest_7d
num__vix_pct_30d_lag30d,0.0096882703180442,1,protest,7,model2_full,protest_7d
num__vix_pct_30d_lag60d,-0.0204572558946782,1,protest,7,model2_full,protest_7d
num__fx_pct_30d_lag30d,0.0240951404576244,1,protest,7,model2_full,protest_7d
