feature,coefficient,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.28642894720742845,1,protest,7,model0_persistence
num__gdelt_protest_28d_lag,0.5015195716073134,1,protest,7,model0_persistence
num__gdelt_strike_7d_lag,-0.12739696297663977,1,protest,7,model0_persistence
num__gdelt_strike_28d_lag,0.27310284700360576,1,protest,7,model0_persistence
num__gdelt_protest_region_14d,0.17592298890470123,1,protest,7,model0_persistence
num__gdelt_strike_region_14d,-0.14517638324275997,1,protest,7,model0_persistence
fe__country_iso3_AUS,2.7736720594176245,1,protest,7,model0_persistence
fe__country_iso3_BOL,-1.0174619088776222,1,protest,7,model0_persistence
fe__country_iso3_BRA,0.11757592285571251,1,protest,7,model0_persistence
fe__country_iso3_CAN,3.271719308542932,1,protest,7,model0_persistence
fe__country_iso3_CHL,-0.5713440736346862,1,protest,7,model0_persistence
fe__country_iso3_CHN,0.3891545061614747,1,protest,7,model0_persistence
fe__country_iso3_DEU,1.600778028366681,1,protest,7,model0_persistence
fe__country_iso3_ESP,0.9311901477858772,1,protest,7,model0_persistence
fe__country_iso3_FRA,1.9592648736031342,1,protest,7,model0_persistence
fe__country_iso3_GBR,2.884444810957085,1,protest,7,model0_persistence
fe__country_iso3_GRC,0.3566576442171853,1,protest,7,model0_persistence
fe__country_iso3_HUN,-0.6185408486562175,1,protest,7,model0_persistence
fe__country_iso3_IDN,0.7850828846496378,1,protest,7,model0_persistence
fe__country_iso3_IND,2.948242640968907,1,protest,7,model0_persistence
fe__country_iso3_IRL,2.071768196327315,1,protest,7,model0_persistence
fe__country_iso3_ITA,0.45989186482289884,1,protest,7,model0_persistence
fe__country_iso3_JPN,0.07526601563860955,1,protest,7,model0_persistence
fe__country_iso3_KEN,0.18239850672509725,1,protest,7,model0_persistence
fe__country_iso3_KOR,1.4200106056657182,1,protest,7,model0_persistence
fe__country_iso3_LAO,-2.1229195389332816,1,protest,7,model0_persistence
fe__country_iso3_MAR,0.29794580542481364,1,protest,7,model0_persistence
fe__country_iso3_MEX,-0.1461550866106959,1,protest,7,model0_persistence
fe__country_iso3_MOZ,-4.695198986912455,1,protest,7,model0_persistence
fe__country_iso3_MYS,1.9303744161496637,1,protest,7,model0_persistence
fe__country_iso3_NAM,-2.308330772871745,1,protest,7,model0_persistence
fe__country_iso3_NLD,0.07608423903062525,1,protest,7,model0_persistence
fe__country_iso3_NOR,-0.8453017128904151,1,protest,7,model0_persistence
fe__country_iso3_PER,-1.0228159005586368,1,protest,7,model0_persistence
fe__country_iso3_PHL,1.7243015342525507,1,protest,7,model0_persistence
fe__country_iso3_POL,0.11576439880128644,1,protest,7,model0_persistence
fe__country_iso3_PRT,-0.6068163098981485,1,protest,7,model0_persistence
fe__country_iso3_SWE,-0.37117418129587587,1,protest,7,model0_persistence
fe__country_iso3_THA,0.8919919201051703,1,protest,7,model0_persistence
fe__country_iso3_TUR,1.071621273338679,1,protest,7,model0_persistence
fe__country_iso3_USA,2.7512968909228825,1,protest,7,model0_persistence
fe__country_iso3_VNM,-0.8433138775087266,1,protest,7,model0_persistence
fe__country_iso3_ZAF,3.0133184131887907,1,protest,7,model0_persistence
