feature,importance
num__gdelt_strike_28d_lag,0.1311187
fe__country_iso3_ZAF,0.117939115
fe__country_iso3_IND,0.07694026
num__gdelt_strike_7d_lag,0.07612117
num__unemployment_youth,0.053560756
num__gdelt_protest_28d_lag,0.05179987
num__gdelt_protest_7d_lag,0.045018047
num__unemployment_total,0.035961345
num__gini_coef,0.032587633
num__rule_of_law_est,0.03233037
num__political_stability_est,0.02842881
fe__country_iso3_ZWE,0.027456094
fe__country_iso3_JPN,0.026364777
fe__country_iso3_GBR,0.022328336
fe__country_iso3_MOZ,0.021889726
