feature,coefficient,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.27039053604659985,1,strike,7,model0_persistence
num__gdelt_protest_28d_lag,-1.3663804731085605,1,strike,7,model0_persistence
num__gdelt_strike_7d_lag,0.6146360463174247,1,strike,7,model0_persistence
num__gdelt_strike_28d_lag,0.6587922717442035,1,strike,7,model0_persistence
num__gdelt_protest_region_14d,-0.07074786598403977,1,strike,7,model0_persistence
num__gdelt_strike_region_14d,0.3246912995381306,1,strike,7,model0_persistence
num__gdelt_protest_7d_lag,0.39949337169245003,1,strike,7,model1_markets
num__gdelt_protest_28d_lag,-0.6209773633111643,1,strike,7,model1_markets
num__gdelt_strike_7d_lag,0.23545850089190737,1,strike,7,model1_markets
num__gdelt_strike_28d_lag,0.0757454285872127,1,strike,7,model1_markets
num__gdelt_protest_region_14d,-0.353508175850983,1,strike,7,model1_markets
num__gdelt_strike_region_14d,0.9136533035616318,1,strike,7,model1_markets
num__fx_pct_7d,-0.11204241320200763,1,strike,7,model1_markets
num__fx_pct_30d,-0.21188964047914313,1,strike,7,model1_markets
num__fx_pct_90d,-0.03388874014686396,1,strike,7,model1_markets
num__fx_vol_7d,0.08186433111618141,1,strike,7,model1_markets
num__fx_vol_30d,-1.5461915974252964,1,strike,7,model1_markets
num__oil_brent_pct_14d,0.09334962002483922,1,strike,7,model1_markets
num__oil_brent_pct_30d,1.0574838128783488,1,strike,7,model1_markets
num__yield_us10y,-0.2809726021053887,1,strike,7,model1_markets
num__fx_pct_30d_z,-0.628409637965673,1,strike,7,model1_markets
num__fx_vol_30d_z,-0.34582183265433897,1,strike,7,model1_markets
num__oil_brent_pct_30d_z,-1.1446255164291435,1,strike,7,model1_markets
num__copper_pct_30d,0.05219522743607308,1,strike,7,model1_markets
num__copper_pct_90d,-0.7344996278658826,1,strike,7,model1_markets
num__copper_vol_30d,-0.18410722185244585,1,strike,7,model1_markets
num__gold_pct_30d,-0.4833804837507776,1,strike,7,model1_markets
num__gold_vol_30d,0.0668081689089885,1,strike,7,model1_markets
num__platinum_pct_30d,-0.8794555497935818,1,strike,7,model1_markets
num__silver_pct_30d,0.880336039960775,1,strike,7,model1_markets
